[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgb_e100_sanity_12839453.pbs101_20260206_162355.log
[job] name=train_rgb_e100_sanity id=12839453.pbs101 host=x1000c0s5b0n1 time=Fri Feb  6 16:23:55 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 470424.437500
[e001 s0050/1030] loss = 19531.751415
[e001 s0100/1030] loss = 9808.636775
[e001 s0150/1030] loss = 6557.627047
[e001 s0200/1030] loss = 4929.674824
[e001 s0250/1030] loss = 3949.805215
[e001 s0300/1030] loss = 3296.444113
[e001 s0350/1030] loss = 2828.219686
[e001 s0400/1030] loss = 2477.080602
[e001 s0450/1030] loss = 2204.597028
[e001 s0500/1030] loss = 1985.490468
[e001 s0550/1030] loss = 1805.927146
[e001 s0600/1030] loss = 1656.183248
[e001 s0650/1030] loss = 1529.266714
[e001 s0700/1030] loss = 1420.745978
[e001 s0750/1030] loss = 1326.603095
[e001 s0800/1030] loss = 1244.146989
[e001 s0850/1030] loss = 1171.555132
[e001 s0900/1030] loss = 1106.761860
[e001 s0950/1030] loss = 1048.908495
[e001 s1000/1030] loss = 996.695000
Epoch 001: train_loss = 967.790617  MAE/GAME0 = 22.028  RMSE = 41.327  GAME1 = 23.192  GAME2 = 24.111  GAME3 = 24.423  lr = 1.00e-05  time = 20.0s
[e002 s0001/1030] loss = 0.068661
[e002 s0050/1030] loss = 3.877815
[e002 s0100/1030] loss = 4.339358
[e002 s0150/1030] loss = 5.125348
[e002 s0200/1030] loss = 4.877848
[e002 s0250/1030] loss = 4.601503
[e002 s0300/1030] loss = 5.056830
[e002 s0350/1030] loss = 5.690672
[e002 s0400/1030] loss = 5.770266
[e002 s0450/1030] loss = 6.069318
[e002 s0500/1030] loss = 5.853096
[e002 s0550/1030] loss = 5.643365
[e002 s0600/1030] loss = 5.467121
[e002 s0650/1030] loss = 5.765031
[e002 s0700/1030] loss = 5.724402
[e002 s0750/1030] loss = 5.514476
[e002 s0800/1030] loss = 5.417159
[e002 s0850/1030] loss = 5.421830
[e002 s0900/1030] loss = 5.266760
