[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgb_e100_sanity_12844479.pbs101_20260207_171920.log
[job] name=train_rgb_e100_sanity id=12844479.pbs101 host=x1000c0s5b0n0 time=Sat Feb  7 17:19:20 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 470571.843750
[e001 s0050/1030] loss = 19540.295300
[e001 s0100/1030] loss = 9812.935048
[e001 s0150/1030] loss = 6560.511248
[e001 s0200/1030] loss = 4931.883358
[e001 s0250/1030] loss = 3951.587474
[e001 s0300/1030] loss = 3297.956209
[e001 s0350/1030] loss = 2829.532771
[e001 s0400/1030] loss = 2478.243991
[e001 s0450/1030] loss = 2205.657288
[e001 s0500/1030] loss = 1986.451186
[e001 s0550/1030] loss = 1806.812316
[e001 s0600/1030] loss = 1657.008771
[e001 s0650/1030] loss = 1530.037689
[e001 s0700/1030] loss = 1421.471705
[e001 s0750/1030] loss = 1327.292876
[e001 s0800/1030] loss = 1244.802854
[e001 s0850/1030] loss = 1172.182346
[e001 s0900/1030] loss = 1107.361306
[e001 s0950/1030] loss = 1049.484690
[e001 s1000/1030] loss = 997.250157
Epoch 001: train_loss = 968.333479  MAE/GAME0 = 22.029  RMSE = 41.329  GAME1 = 23.196  GAME2 = 24.112  GAME3 = 24.422  lr = 1.00e-05  time = 41.9s
[e002 s0001/1030] loss = 0.075800
[e002 s0050/1030] loss = 3.989926
[e002 s0100/1030] loss = 4.455670
[e002 s0150/1030] loss = 5.248836
[e002 s0200/1030] loss = 5.006837
[e002 s0250/1030] loss = 4.740222
[e002 s0300/1030] loss = 5.205672
[e002 s0350/1030] loss = 5.844114
[e002 s0400/1030] loss = 5.930811
[e002 s0450/1030] loss = 6.233928
[e002 s0500/1030] loss = 6.011207
[e002 s0550/1030] loss = 5.798320
[e002 s0600/1030] loss = 5.620623
[e002 s0650/1030] loss = 5.928743
[e002 s0700/1030] loss = 5.887815
[e002 s0750/1030] loss = 5.673403
[e002 s0800/1030] loss = 5.575500
[e002 s0850/1030] loss = 5.578501
[e002 s0900/1030] loss = 5.421523
[e002 s0950/1030] loss = 5.426193
[e002 s1000/1030] loss = 5.340918
Epoch 002: train_loss = 5.277092  MAE/GAME0 = 22.821  RMSE = 41.908  GAME1 = 23.184  GAME2 = 23.520  GAME3 = 23.607  lr = 1.00e-05  time = 7.6s
[e003 s0001/1030] loss = 0.354496
[e003 s0050/1030] loss = 2.266822
[e003 s0100/1030] loss = 2.531837
[e003 s0150/1030] loss = 3.640984
[e003 s0200/1030] loss = 6.144893
[e003 s0250/1030] loss = 5.306491
[e003 s0300/1030] loss = 5.092840
[e003 s0350/1030] loss = 4.676625
[e003 s0400/1030] loss = 4.800159
[e003 s0450/1030] loss = 4.546912
[e003 s0500/1030] loss = 4.396879
[e003 s0550/1030] loss = 4.215880
[e003 s0600/1030] loss = 4.162278
[e003 s0650/1030] loss = 4.040388
