[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgb_e400_13008785.pbs101_20260228_144230.log
[job] name=train_rgb_e400 id=13008785.pbs101 host=x1000c0s0b0n0 time=Sat Feb 28 14:42:30 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 492938.125000
[e001 s0050/1030] loss = 34657.221303
[e001 s0100/1030] loss = 17329.839862
[e001 s0150/1030] loss = 11553.943603
[e001 s0200/1030] loss = 8666.172899
[e001 s0250/1030] loss = 6934.181291
[e001 s0300/1030] loss = 5778.942423
[e001 s0350/1030] loss = 4954.193663
[e001 s0400/1030] loss = 4335.458773
[e001 s0450/1030] loss = 3854.973889
[e001 s0500/1030] loss = 3469.777811
[e001 s0550/1030] loss = 3154.582310
[e001 s0600/1030] loss = 2892.020617
[e001 s0650/1030] loss = 2669.834903
[e001 s0700/1030] loss = 2479.472355
[e001 s0750/1030] loss = 2314.493154
[e001 s0800/1030] loss = 2170.105682
[e001 s0850/1030] loss = 2042.825073
[e001 s0900/1030] loss = 1929.575542
[e001 s0950/1030] loss = 1828.451786
[e001 s1000/1030] loss = 1737.237971
Epoch 001: train_loss = 1686.778240  MAE/GAME0 = 23.245  RMSE = 42.247  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.246  lr = 5.07e-06  time = 62.1s
[e002 s0001/1030] loss = 1.352046
[e002 s0050/1030] loss = 2.918249
[e002 s0100/1030] loss = 3.545688
[e002 s0150/1030] loss = 3.726733
[e002 s0200/1030] loss = 3.551911
[e002 s0250/1030] loss = 3.438091
[e002 s0300/1030] loss = 3.738853
[e002 s0350/1030] loss = 4.894391
[e002 s0400/1030] loss = 4.963069
[e002 s0450/1030] loss = 5.446732
[e002 s0500/1030] loss = 5.235643
[e002 s0550/1030] loss = 5.141809
[e002 s0600/1030] loss = 5.075588
[e002 s0650/1030] loss = 4.949371
[e002 s0700/1030] loss = 4.929783
[e002 s0750/1030] loss = 4.806606
[e002 s0800/1030] loss = 4.761496
[e002 s0850/1030] loss = 4.723928
[e002 s0900/1030] loss = 4.636021
[e002 s0950/1030] loss = 4.594933
[e002 s1000/1030] loss = 4.672225
Epoch 002: train_loss = 4.601846  MAE/GAME0 = 15.488  RMSE = 37.365  GAME1 = 17.641  GAME2 = 19.670  GAME3 = 20.818  lr = 5.28e-06  time = 23.2s
[e003 s0001/1030] loss = 1.087309
[e003 s0050/1030] loss = 2.460166
[e003 s0100/1030] loss = 2.581106
[e003 s0150/1030] loss = 4.493861
[e003 s0200/1030] loss = 6.290970
[e003 s0250/1030] loss = 5.333996
[e003 s0300/1030] loss = 5.203220
[e003 s0350/1030] loss = 4.622749
[e003 s0400/1030] loss = 4.460169
[e003 s0450/1030] loss = 4.196142
[e003 s0500/1030] loss = 3.944572
[e003 s0550/1030] loss = 3.715273
[e003 s0600/1030] loss = 3.571637
[e003 s0650/1030] loss = 3.448911
[e003 s0700/1030] loss = 3.340082
[e003 s0750/1030] loss = 3.346889
[e003 s0800/1030] loss = 3.248209
[e003 s0850/1030] loss = 3.170930
[e003 s0900/1030] loss = 3.124235
