[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgb_e400_13018770.pbs101_20260301_125931.log
[job] name=train_rgb_e400 id=13018770.pbs101 host=x1000c2s5b0n0 time=Sun Mar  1 12:59:31 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:454: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 1627210.625000
[e001 s0050/1030] loss = 191519.704587
[e001 s0100/1030] loss = 95772.017793
[e001 s0150/1030] loss = 63848.757983
[e001 s0200/1030] loss = 47898.446304
[e001 s0250/1030] loss = 38319.999896
[e001 s0300/1030] loss = 31933.791355
[e001 s0350/1030] loss = 27372.637224
[e001 s0400/1030] loss = 23951.596887
[e001 s0450/1030] loss = 21291.541108
[e001 s0500/1030] loss = 19162.688310
[e001 s0550/1030] loss = 17420.864637
[e001 s0600/1030] loss = 15969.446089
[e001 s0650/1030] loss = 14741.304549
[e001 s0700/1030] loss = 13688.694173
[e001 s0750/1030] loss = 12776.433510
[e001 s0800/1030] loss = 11978.174618
[e001 s0850/1030] loss = 11273.948438
[e001 s0900/1030] loss = 10647.858721
[e001 s0950/1030] loss = 10088.270995
[e001 s1000/1030] loss = 9584.066219
Epoch 001: train_loss = 9305.058093  MAE/GAME0 = 23.111  RMSE = 42.209  GAME1 = 23.378  GAME2 = 23.378  GAME3 = 23.378  lr = 5.07e-06  time = 25.7s
[e002 s0001/1030] loss = 1.352047
[e002 s0050/1030] loss = 2.918256
[e002 s0100/1030] loss = 3.545696
[e002 s0150/1030] loss = 3.726753
[e002 s0200/1030] loss = 4.375350
[e002 s0250/1030] loss = 4.096141
[e002 s0300/1030] loss = 4.287245
[e002 s0350/1030] loss = 5.363756
[e002 s0400/1030] loss = 5.373778
[e002 s0450/1030] loss = 5.811810
[e002 s0500/1030] loss = 5.562665
[e002 s0550/1030] loss = 5.439247
[e002 s0600/1030] loss = 5.348254
[e002 s0650/1030] loss = 5.202512
[e002 s0700/1030] loss = 5.164735
[e002 s0750/1030] loss = 5.018035
[e002 s0800/1030] loss = 4.954147
[e002 s0850/1030] loss = 4.901696
[e002 s0900/1030] loss = 4.804621
[e002 s0950/1030] loss = 4.757291
[e002 s1000/1030] loss = 4.841862
Epoch 002: train_loss = 4.789923  MAE/GAME0 = 28.993  RMSE = 54.171  GAME1 = 30.833  GAME2 = 31.340  GAME3 = 31.417  lr = 5.28e-06  time = 19.9s
[e003 s0001/1030] loss = 1.585050
[e003 s0050/1030] loss = 2.949060
[e003 s0100/1030] loss = 3.263509
[e003 s0150/1030] loss = 5.508385
[e003 s0200/1030] loss = 7.677855
[e003 s0250/1030] loss = 6.693478
[e003 s0300/1030] loss = 6.589845
[e003 s0350/1030] loss = 5.906963
[e003 s0400/1030] loss = 5.900769
[e003 s0450/1030] loss = 5.652208
[e003 s0500/1030] loss = 5.384045
[e003 s0550/1030] loss = 5.119124
[e003 s0600/1030] loss = 5.019788
[e003 s0650/1030] loss = 4.907654
[e003 s0700/1030] loss = 4.863479
[e003 s0750/1030] loss = 4.874299
[e003 s0800/1030] loss = 4.783809
[e003 s0850/1030] loss = 4.726529
[e003 s0900/1030] loss = 4.712547
[e003 s0950/1030] loss = 4.688323
[e003 s1000/1030] loss = 4.591313
Epoch 003: train_loss = 4.631227  MAE/GAME0 = 23.797  RMSE = 43.634  GAME1 = 24.516  GAME2 = 24.600  GAME3 = 24.605  lr = 5.62e-06  time = 20.0s
[e004 s0001/1030] loss = 0.351566
[e004 s0050/1030] loss = 3.791834
[e004 s0100/1030] loss = 3.472015
[e004 s0150/1030] loss = 3.591482
[e004 s0200/1030] loss = 3.419045
[e004 s0250/1030] loss = 3.363584
[e004 s0300/1030] loss = 3.526742
[e004 s0350/1030] loss = 3.817597
[e004 s0400/1030] loss = 3.577483
[e004 s0450/1030] loss = 3.690751
[e004 s0500/1030] loss = 3.504517
[e004 s0550/1030] loss = 3.495707
[e004 s0600/1030] loss = 3.650114
[e004 s0650/1030] loss = 3.737031
[e004 s0700/1030] loss = 3.605349
[e004 s0750/1030] loss = 3.678870
[e004 s0800/1030] loss = 3.755860
[e004 s0850/1030] loss = 4.227505
[e004 s0900/1030] loss = 4.148515
[e004 s0950/1030] loss = 11.962767
[e004 s1000/1030] loss = 11.807726
Epoch 004: train_loss = 11.662409  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 6.10e-06  time = 19.9s
[e005 s0001/1030] loss = 0.467377
[e005 s0050/1030] loss = 2.381993
[e005 s0100/1030] loss = 3.337475
[e005 s0150/1030] loss = 3.777477
[e005 s0200/1030] loss = 3.930043
[e005 s0250/1030] loss = 4.527481
[e005 s0300/1030] loss = 4.510635
[e005 s0350/1030] loss = 4.282277
[e005 s0400/1030] loss = 4.730811
[e005 s0450/1030] loss = 4.615697
[e005 s0500/1030] loss = 4.533022
[e005 s0550/1030] loss = 4.572760
[e005 s0600/1030] loss = 4.483604
[e005 s0650/1030] loss = 5.056902
[e005 s0700/1030] loss = 4.986151
[e005 s0750/1030] loss = 5.066231
[e005 s0800/1030] loss = 4.913168
[e005 s0850/1030] loss = 4.881632
[e005 s0900/1030] loss = 4.816940
[e005 s0950/1030] loss = 4.705130
[e005 s1000/1030] loss = 4.658874
Epoch 005: train_loss = 4.629053  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 6.71e-06  time = 20.2s
[e006 s0001/1030] loss = 1.008857
[e006 s0050/1030] loss = 9.503907
[e006 s0100/1030] loss = 6.248098
[e006 s0150/1030] loss = 5.924322
[e006 s0200/1030] loss = 5.181451
[e006 s0250/1030] loss = 4.691239
[e006 s0300/1030] loss = 4.549565
[e006 s0350/1030] loss = 4.419314
[e006 s0400/1030] loss = 5.383055
[e006 s0450/1030] loss = 5.212762
[e006 s0500/1030] loss = 5.407915
[e006 s0550/1030] loss = 5.183819
[e006 s0600/1030] loss = 4.951873
[e006 s0650/1030] loss = 5.203185
[e006 s0700/1030] loss = 5.105921
[e006 s0750/1030] loss = 5.144518
[e006 s0800/1030] loss = 5.094732
[e006 s0850/1030] loss = 4.968480
[e006 s0900/1030] loss = 4.935996
[e006 s0950/1030] loss = 5.069934
[e006 s1000/1030] loss = 5.032245
Epoch 006: train_loss = 4.998070  MAE/GAME0 = 24.184  RMSE = 43.945  GAME1 = 25.402  GAME2 = 25.655  GAME3 = 25.692  lr = 7.45e-06  time = 20.0s
[e007 s0001/1030] loss = 1.236869
[e007 s0050/1030] loss = 3.586988
[e007 s0100/1030] loss = 3.710951
[e007 s0150/1030] loss = 3.970596
[e007 s0200/1030] loss = 3.872443
[e007 s0250/1030] loss = 11.646736
[e007 s0300/1030] loss = 10.104669
[e007 s0350/1030] loss = 9.641460
[e007 s0400/1030] loss = 10.298368
[e007 s0450/1030] loss = 9.821483
[e007 s0500/1030] loss = 9.145933
[e007 s0550/1030] loss = 8.856473
[e007 s0600/1030] loss = 8.345759
[e007 s0650/1030] loss = 7.958345
[e007 s0700/1030] loss = 7.563902
[e007 s0750/1030] loss = 7.284481
[e007 s0800/1030] loss = 7.001055
[e007 s0850/1030] loss = 6.770623
[e007 s0900/1030] loss = 6.830482
[e007 s0950/1030] loss = 6.659759
[e007 s1000/1030] loss = 6.508548
Epoch 007: train_loss = 6.447101  MAE/GAME0 = 23.196  RMSE = 42.235  GAME1 = 23.358  GAME2 = 23.378  GAME3 = 23.391  lr = 8.32e-06  time = 19.8s
[e008 s0001/1030] loss = 15.040712
[e008 s0050/1030] loss = 2.706287
[e008 s0100/1030] loss = 3.660583
[e008 s0150/1030] loss = 4.992208
[e008 s0200/1030] loss = 4.493676
[e008 s0250/1030] loss = 4.384005
[e008 s0300/1030] loss = 4.234108
[e008 s0350/1030] loss = 4.027435
[e008 s0400/1030] loss = 3.883081
[e008 s0450/1030] loss = 5.113508
[e008 s0500/1030] loss = 5.023885
[e008 s0550/1030] loss = 4.766615
[e008 s0600/1030] loss = 5.000010
[e008 s0650/1030] loss = 5.291712
[e008 s0700/1030] loss = 5.593685
[e008 s0750/1030] loss = 5.418960
[e008 s0800/1030] loss = 5.298624
[e008 s0850/1030] loss = 5.203905
[e008 s0900/1030] loss = 5.155981
[e008 s0950/1030] loss = 4.997895
[e008 s1000/1030] loss = 4.943089
Epoch 008: train_loss = 4.879163  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 9.30e-06  time = 19.8s
[e009 s0001/1030] loss = 1.534932
[e009 s0050/1030] loss = 8.389183
[e009 s0100/1030] loss = 6.372836
[e009 s0150/1030] loss = 6.686062
[e009 s0200/1030] loss = 7.947461
[e009 s0250/1030] loss = 6.818456
[e009 s0300/1030] loss = 6.629799
[e009 s0350/1030] loss = 6.360239
[e009 s0400/1030] loss = 6.095350
[e009 s0450/1030] loss = 5.716092
[e009 s0500/1030] loss = 5.490657
[e009 s0550/1030] loss = 5.302814
[e009 s0600/1030] loss = 5.092182
[e009 s0650/1030] loss = 5.087556
[e009 s0700/1030] loss = 4.927733
[e009 s0750/1030] loss = 4.901305
[e009 s0800/1030] loss = 4.796012
[e009 s0850/1030] loss = 4.764117
