[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgb_e400_13053642.pbs101_20260304_195546.log
[job] name=train_rgb_e400 id=13053642.pbs101 host=x1000c1s3b0n0 time=Wed Mar  4 19:55:46 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:454: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 4174131.750000
[e001 s0050/1030] loss = 463167.040549
[e001 s0100/1030] loss = 231583.902561
[e001 s0150/1030] loss = 154389.493109
[e001 s0200/1030] loss = 115792.645370
[e001 s0250/1030] loss = 92634.464597
[e001 s0300/1030] loss = 77195.528071
[e001 s0350/1030] loss = 66167.833891
[e001 s0400/1030] loss = 57897.015136
[e001 s0450/1030] loss = 51464.354783
[e001 s0500/1030] loss = 46318.013283
[e001 s0550/1030] loss = 42107.359578
[e001 s0600/1030] loss = 38598.510922
[e001 s0650/1030] loss = 35629.480054
[e001 s0700/1030] loss = 33084.621233
[e001 s0750/1030] loss = 30879.077726
[e001 s0800/1030] loss = 28949.216920
[e001 s0850/1030] loss = 27246.429377
[e001 s0900/1030] loss = 25732.809886
[e001 s0950/1030] loss = 24378.576982
[e001 s1000/1030] loss = 23159.711636
Epoch 001: train_loss = 22485.199528  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 5.07e-06  time = 23.1s
[e002 s0001/1030] loss = 0.468154
[e002 s0050/1030] loss = 0.904283
[e002 s0100/1030] loss = 1.090512
[e002 s0150/1030] loss = 1.138144
[e002 s0200/1030] loss = 1.097880
[e002 s0250/1030] loss = 1.061230
[e002 s0300/1030] loss = 1.141574
[e002 s0350/1030] loss = 1.446329
[e002 s0400/1030] loss = 1.468563
[e002 s0450/1030] loss = 1.594499
[e002 s0500/1030] loss = 1.538489
[e002 s0550/1030] loss = 1.513736
[e002 s0600/1030] loss = 1.500012
[e002 s0650/1030] loss = 1.486417
[e002 s0700/1030] loss = 1.482525
[e002 s0750/1030] loss = 1.444212
[e002 s0800/1030] loss = 1.429638
[e002 s0850/1030] loss = 1.506541
[e002 s0900/1030] loss = 1.475882
[e002 s0950/1030] loss = 1.459153
[e002 s1000/1030] loss = 1.478344
Epoch 002: train_loss = 1.463048  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 5.28e-06  time = 16.8s
[e003 s0001/1030] loss = 0.516209
[e003 s0050/1030] loss = 0.923328
[e003 s0100/1030] loss = 1.521284
[e003 s0150/1030] loss = 1.938369
[e003 s0200/1030] loss = 2.438946
[e003 s0250/1030] loss = 2.122216
[e003 s0300/1030] loss = 2.061166
[e003 s0350/1030] loss = 1.848804
[e003 s0400/1030] loss = 1.832766
[e003 s0450/1030] loss = 1.755663
