[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_e100_sanity_13018400.pbs101_20260301_114050.log
[job] name=train_rgbt_adaptive_fpn_e100_sanity id=13018400.pbs101 host=x1000c1s2b0n0 time=Sun Mar  1 11:40:50 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start rgb = outputs/train_rgb_e400/13008785.pbs101_20260228_144230/best.pth
[init] warm-start t = outputs/train_t_e400/13008786.pbs101_20260228_144232/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start rgb. from outputs/train_rgb_e400/13008785.pbs101_20260228_144230/best.pth (missing=265 unexpected=33)
[init] warm-start t. from outputs/train_t_e400/13008786.pbs101_20260228_144232/best.pth (missing=265 unexpected=33)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts_v2/train_rgbt_adaptive_fpn.py:289: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 678480.562500
[e001 s0050/1030] loss = 75795.482905
[e001 s0100/1030] loss = 37914.751885
[e001 s0150/1030] loss = 25277.215913
[e001 s0200/1030] loss = 18958.627142
[e001 s0250/1030] loss = 15168.144501
[e001 s0300/1030] loss = 12640.578433
[e001 s0350/1030] loss = 10835.595960
[e001 s0400/1030] loss = 9481.685781
[e001 s0450/1030] loss = 8429.397903
[e001 s0500/1030] loss = 7586.759426
[e001 s0550/1030] loss = 6897.292923
[e001 s0600/1030] loss = 6322.838686
[e001 s0650/1030] loss = 5836.743869
[e001 s0700/1030] loss = 5420.173541
[e001 s0750/1030] loss = 5059.147587
[e001 s0800/1030] loss = 4743.219065
[e001 s0850/1030] loss = 4464.578506
[e001 s0900/1030] loss = 4216.787118
[e001 s0950/1030] loss = 3995.283805
[e001 s1000/1030] loss = 3795.728389
Epoch 001: train_loss = 3685.313076  MAE/GAME0 = 61683.702  RMSE = 160084.447  GAME1 = 61701.820  GAME2 = 61740.374  GAME3 = 61772.789  lr = 2.75e-05  time = 50.5s
[e002 s0001/1030] loss = 1.352047
[e002 s0050/1030] loss = 2.918256
[e002 s0100/1030] loss = 3.545696
[e002 s0150/1030] loss = 3.726753
[e002 s0200/1030] loss = 3.551983
[e002 s0250/1030] loss = 3.437447
[e002 s0300/1030] loss = 3.738333
[e002 s0350/1030] loss = 4.893260
[e002 s0400/1030] loss = 4.962094
[e002 s0450/1030] loss = 5.445869
[e002 s0500/1030] loss = 5.233318
[e002 s0550/1030] loss = 5.139840
[e002 s0600/1030] loss = 5.073798
[e002 s0650/1030] loss = 4.947594
[e002 s0700/1030] loss = 4.928025
[e002 s0750/1030] loss = 4.797106
[e002 s0800/1030] loss = 4.747026
[e002 s0850/1030] loss = 4.706759
[e002 s0900/1030] loss = 4.620514
[e002 s0950/1030] loss = 4.582874
[e002 s1000/1030] loss = 4.676166
Epoch 002: train_loss = 4.629053  MAE/GAME0 = 8632.789  RMSE = 34413.120  GAME1 = 8674.676  GAME2 = 8710.766  GAME3 = 8730.335  lr = 5.00e-05  time = 38.7s
[e003 s0001/1030] loss = 1.585050
[e003 s0050/1030] loss = 2.949060
[e003 s0100/1030] loss = 3.263509
[e003 s0150/1030] loss = 5.508385
[e003 s0200/1030] loss = 7.677855
[e003 s0250/1030] loss = 6.693478
[e003 s0300/1030] loss = 6.589845
[e003 s0350/1030] loss = 5.906963
[e003 s0400/1030] loss = 5.900769
[e003 s0450/1030] loss = 5.652208
[e003 s0500/1030] loss = 5.384045
[e003 s0550/1030] loss = 5.119124
[e003 s0600/1030] loss = 5.019788
[e003 s0650/1030] loss = 4.907654
[e003 s0700/1030] loss = 4.863479
[e003 s0750/1030] loss = 4.874299
[e003 s0800/1030] loss = 4.781010
[e003 s0850/1030] loss = 4.723895
[e003 s0900/1030] loss = 4.710059
[e003 s0950/1030] loss = 4.685966
[e003 s1000/1030] loss = 4.589074
Epoch 003: train_loss = 4.629053  MAE/GAME0 = 12923.685  RMSE = 24609.563  GAME1 = 12958.098  GAME2 = 12991.953  GAME3 = 13022.432  lr = 4.96e-05  time = 38.7s
[e004 s0001/1030] loss = 0.351566
[e004 s0050/1030] loss = 3.791834
[e004 s0100/1030] loss = 3.472015
[e004 s0150/1030] loss = 3.570301
[e004 s0200/1030] loss = 3.403159
[e004 s0250/1030] loss = 3.350875
[e004 s0300/1030] loss = 3.516151
[e004 s0350/1030] loss = 3.808519
[e004 s0400/1030] loss = 3.569540
[e004 s0450/1030] loss = 3.683691
[e004 s0500/1030] loss = 3.498163
[e004 s0550/1030] loss = 3.489930
[e004 s0600/1030] loss = 3.644818
[e004 s0650/1030] loss = 3.732143
[e004 s0700/1030] loss = 3.600811
[e004 s0750/1030] loss = 3.674633
[e004 s0800/1030] loss = 3.751889
[e004 s0850/1030] loss = 4.223767
[e004 s0900/1030] loss = 4.144985
[e004 s0950/1030] loss = 4.392976
[e004 s1000/1030] loss = 4.616424
Epoch 004: train_loss = 4.680563  MAE/GAME0 = 309739189595.338  RMSE = 455499577807.738  GAME1 = 309739190382.080  GAME2 = 309739190579.200  GAME3 = 309739190195.200  lr = 4.85e-05  time = 67.2s
[e005 s0001/1030] loss = 0.467377
[e005 s0050/1030] loss = 2.381993
[e005 s0100/1030] loss = 3.337475
[e005 s0150/1030] loss = 3.777477
[e005 s0200/1030] loss = 3.930043
[e005 s0250/1030] loss = 4.527481
[e005 s0300/1030] loss = 4.510635
[e005 s0350/1030] loss = 9.930333
[e005 s0400/1030] loss = 9.672860
[e005 s0450/1030] loss = 9.008630
[e005 s0500/1030] loss = 8.486661
[e005 s0550/1030] loss = 8.166977
[e005 s0600/1030] loss = 7.778303
[e005 s0650/1030] loss = 8.098163
[e005 s0700/1030] loss = 7.810179
[e005 s0750/1030] loss = 7.701991
[e005 s0800/1030] loss = 7.410627
[e005 s0850/1030] loss = 7.232182
[e005 s0900/1030] loss = 7.036904
[e005 s0950/1030] loss = 6.808254
[e005 s1000/1030] loss = 6.656842
Epoch 005: train_loss = 6.568827  MAE/GAME0 = 477252568642.493  RMSE = 1138446058726.214  GAME1 = 477252570214.160  GAME2 = 477252568519.188  GAME3 = 477252567918.399  lr = 4.67e-05  time = 66.8s
[e006 s0001/1030] loss = 1.008857
[e006 s0050/1030] loss = 1.902145
[e006 s0100/1030] loss = 2.447217
[e006 s0150/1030] loss = 3.390401
[e006 s0200/1030] loss = 3.281011
[e006 s0250/1030] loss = 3.170886
[e006 s0300/1030] loss = 3.282604
[e006 s0350/1030] loss = 3.333347
[e006 s0400/1030] loss = 4.432834
[e006 s0450/1030] loss = 4.368121
[e006 s0500/1030] loss = 4.647739
[e006 s0550/1030] loss = 4.492749
[e006 s0600/1030] loss = 4.318392
[e006 s0650/1030] loss = 4.618434
[e006 s0700/1030] loss = 4.562938
[e006 s0750/1030] loss = 4.637734
[e006 s0800/1030] loss = 4.619622
[e006 s0850/1030] loss = 4.521318
[e006 s0900/1030] loss = 4.513676
[e006 s0950/1030] loss = 4.669841
[e006 s1000/1030] loss = 4.652157
Epoch 006: train_loss = 4.629053  MAE/GAME0 = 7479186569488520.000  RMSE = 27249287526688452.000  GAME1 = 7479186441213714.000  GAME2 = 7479186458567647.000  GAME3 = 7479186654895153.000  lr = 4.42e-05  time = 67.6s
[e007 s0001/1030] loss = 1.236869
[e007 s0050/1030] loss = 3.586988
[e007 s0100/1030] loss = 3.710951
[e007 s0150/1030] loss = 3.970596
[e007 s0200/1030] loss = 3.872443
[e007 s0250/1030] loss = 4.156378
[e007 s0300/1030] loss = 3.862704
[e007 s0350/1030] loss = 4.291204
[e007 s0400/1030] loss = 5.616894
[e007 s0450/1030] loss = 5.660173
[e007 s0500/1030] loss = 230.679357
[e007 s0550/1030] loss = 210.250494
[e007 s0600/1030] loss = 192.956945
[e007 s0650/1030] loss = 178.368671
[e007 s0700/1030] loss = 165.802062
[e007 s0750/1030] loss = 154.973430
[e007 s0800/1030] loss = 145.459445
[e007 s0850/1030] loss = 137.084402
[e007 s0900/1030] loss = 129.904606
[e007 s0950/1030] loss = 123.256298
[e007 s1000/1030] loss = 117.275260
Epoch 007: train_loss = 113.987598  MAE/GAME0 = 1668667.850  RMSE = 23597604.837  GAME1 = 1668667.930  GAME2 = 1668668.250  GAME3 = 1668668.250  lr = 4.11e-05  time = 67.9s
[e008 s0001/1030] loss = 15.040712
[e008 s0050/1030] loss = 2.706287
[e008 s0100/1030] loss = 3.660583
[e008 s0150/1030] loss = 4.992208
[e008 s0200/1030] loss = 4.493676
[e008 s0250/1030] loss = 8.038923
[e008 s0300/1030] loss = 7.279865
[e008 s0350/1030] loss = 6.638085
[e008 s0400/1030] loss = 6.167399
[e008 s0450/1030] loss = 7.144013
[e008 s0500/1030] loss = 6.851339
[e008 s0550/1030] loss = 6.427938
[e008 s0600/1030] loss = 6.522889
[e008 s0650/1030] loss = 6.697446
[e008 s0700/1030] loss = 6.530993
[e008 s0750/1030] loss = 6.293781
[e008 s0800/1030] loss = 6.118768
[e008 s0850/1030] loss = 5.975807
[e008 s0900/1030] loss = 5.889425
[e008 s0950/1030] loss = 5.692738
[e008 s1000/1030] loss = 5.603189
Epoch 008: train_loss = 5.520037  MAE/GAME0 = 65.450  RMSE = 89.862  GAME1 = 65.450  GAME2 = 65.450  GAME3 = 65.450  lr = 3.75e-05  time = 67.0s
[e009 s0001/1030] loss = 1.534932
[e009 s0050/1030] loss = 8.389183
[e009 s0100/1030] loss = 6.372836
[e009 s0150/1030] loss = 6.686062
[e009 s0200/1030] loss = 7.947461
[e009 s0250/1030] loss = 6.818456
[e009 s0300/1030] loss = 6.629799
[e009 s0350/1030] loss = 6.360239
[e009 s0400/1030] loss = 6.095350
[e009 s0450/1030] loss = 5.716092
[e009 s0500/1030] loss = 5.490657
[e009 s0550/1030] loss = 5.302814
[e009 s0600/1030] loss = 5.092182
[e009 s0650/1030] loss = 5.087556
[e009 s0700/1030] loss = 4.927733
[e009 s0750/1030] loss = 4.901305
[e009 s0800/1030] loss = 4.796012
[e009 s0850/1030] loss = 4.747582
[e009 s0900/1030] loss = 4.700868
[e009 s0950/1030] loss = 4.583453
[e009 s1000/1030] loss = 4.533551
Epoch 009: train_loss = 4.629053  MAE/GAME0 = 65.450  RMSE = 89.862  GAME1 = 65.450  GAME2 = 65.450  GAME3 = 65.450  lr = 3.36e-05  time = 67.7s
[e010 s0001/1030] loss = 1.079379
[e010 s0050/1030] loss = 4.038631
[e010 s0100/1030] loss = 3.750319
[e010 s0150/1030] loss = 4.554699
