[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_e400_13020566.pbs101_20260301_165555.log
[job] name=train_rgbt_adaptive_fpn_e400 id=13020566.pbs101 host=x1000c0s5b0n1 time=Sun Mar  1 16:55:55 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start rgb = outputs/train_rgb_e400/13018770.pbs101_20260301_125931/best.pth
[init] warm-start t = outputs/train_t_e400/13018771.pbs101_20260301_125932/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start rgb. from outputs/train_rgb_e400/13018770.pbs101_20260301_125931/best.pth (missing=0 unexpected=5)
[init] warm-start t. from outputs/train_t_e400/13018771.pbs101_20260301_125932/best.pth (missing=0 unexpected=5)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts_v2/train_rgbt_adaptive_fpn.py:289: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 162337.875000
[e001 s0050/1030] loss = 13062.228588
[e001 s0100/1030] loss = 6532.312163
[e001 s0150/1030] loss = 4355.589432
[e001 s0200/1030] loss = 3269.909097
[e001 s0250/1030] loss = 2618.012927
[e001 s0300/1030] loss = 2182.135455
[e001 s0350/1030] loss = 1871.216265
[e001 s0400/1030] loss = 1637.853547
[e001 s0450/1030] loss = 1457.102584
[e001 s0500/1030] loss = 1311.693639
[e001 s0550/1030] loss = 1192.847321
[e001 s0600/1030] loss = 1093.819527
[e001 s0650/1030] loss = 1009.956954
[e001 s0700/1030] loss = 938.157120
[e001 s0750/1030] loss = 875.932261
[e001 s0800/1030] loss = 821.454696
[e001 s0850/1030] loss = 773.506159
[e001 s0900/1030] loss = 730.774346
[e001 s0950/1030] loss = 692.745389
[e001 s1000/1030] loss = 658.316894
