[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_e400_13053604.pbs101_20260304_193938.log
[job] name=train_rgbt_adaptive_fpn_e400 id=13053604.pbs101 host=x1000c1s4b0n0 time=Wed Mar  4 19:39:38 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start rgb = outputs/train_rgb_e400/13018770.pbs101_20260301_125931/best.pth
[init] warm-start t = outputs/train_t_e400/13018771.pbs101_20260301_125932/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start rgb. from outputs/train_rgb_e400/13018770.pbs101_20260301_125931/best.pth (missing=0 unexpected=5)
[init] warm-start t. from outputs/train_t_e400/13018771.pbs101_20260301_125932/best.pth (missing=0 unexpected=5)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts_v2/train_rgbt_adaptive_fpn.py:289: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 108743.953125
[e001 s0050/1030] loss = 17252.339231
[e001 s0100/1030] loss = 8701.586684
[e001 s0150/1030] loss = 5802.284172
[e001 s0200/1030] loss = 4364.944764
[e001 s0250/1030] loss = 3497.939683
[e001 s0300/1030] loss = 2915.407751
[e001 s0350/1030] loss = 2500.825703
[e001 s0400/1030] loss = 2188.761806
[e001 s0450/1030] loss = 1946.798813
[e001 s0500/1030] loss = 1752.420246
[e001 s0550/1030] loss = 1593.870578
[e001 s0600/1030] loss = 1461.721348
[e001 s0650/1030] loss = 1350.206788
[e001 s0700/1030] loss = 1254.103395
[e001 s0750/1030] loss = 1170.815451
[e001 s0800/1030] loss = 1097.907687
[e001 s0850/1030] loss = 1034.643994
[e001 s0900/1030] loss = 977.404524
[e001 s0950/1030] loss = 926.395032
[e001 s1000/1030] loss = 880.284054
