[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_e400_13080064.pbs101_20260307_172602.log
[job] name=train_rgbt_adaptive_fpn_e400 id=13080064.pbs101 host=x1000c1s0b0n1 time=Sat Mar  7 17:26:02 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start rgb = outputs/train_rgb_e400/13053642.pbs101_20260304_195546/best.pth
[init] warm-start t = outputs/train_t_e400/13053643.pbs101_20260304_195552/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start rgb. from outputs/train_rgb_e400/13053642.pbs101_20260304_195546/best.pth (missing=0 unexpected=5)
[init] warm-start t. from outputs/train_t_e400/13053643.pbs101_20260304_195552/best.pth (missing=0 unexpected=5)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts_v2/train_rgbt_adaptive_fpn.py:289: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 295300.468750
[e001 s0050/1030] loss = 47604.359267
[e001 s0100/1030] loss = 24126.474510
[e001 s0150/1030] loss = 16313.356066
[e001 s0200/1030] loss = 12245.866439
[e001 s0250/1030] loss = 9797.041453
[e001 s0300/1030] loss = 8164.342118
[e001 s0350/1030] loss = 6999.232959
[e001 s0400/1030] loss = 6124.592311
[e001 s0450/1030] loss = 5444.423383
[e001 s0500/1030] loss = 4900.299305
[e001 s0550/1030] loss = 4454.892326
[e001 s0600/1030] loss = 4083.749275
[e001 s0650/1030] loss = 3769.700071
[e001 s0700/1030] loss = 3503.808309
[e001 s0750/1030] loss = 3270.318996
[e001 s0800/1030] loss = 3066.005611
[e001 s0850/1030] loss = 2885.759910
[e001 s0900/1030] loss = 2725.518960
[e001 s0950/1030] loss = 2582.196105
[e001 s1000/1030] loss = 2453.987333
Epoch 001: train_loss = 2382.554574  MAE/GAME0 = 1141374222243758.000  RMSE = 1601924199171967.000  GAME1 = 1141374219971462.250  GAME2 = 1141374222991361.000  GAME3 = 1141374220894209.000  lr = 3.04e-06  time = 43.8s
[e002 s0001/1030] loss = 0.468154
[e002 s0050/1030] loss = 0.904283
[e002 s0100/1030] loss = 1.090512
[e002 s0150/1030] loss = 1.138144
[e002 s0200/1030] loss = 1.097880
[e002 s0250/1030] loss = 1.061230
[e002 s0300/1030] loss = 1.141574
[e002 s0350/1030] loss = 1.446329
[e002 s0400/1030] loss = 1.468563
[e002 s0450/1030] loss = 1.594499
[e002 s0500/1030] loss = 1.538489
[e002 s0550/1030] loss = 1.825702
[e002 s0600/1030] loss = 1.785982
[e002 s0650/1030] loss = 1.729694
[e002 s0700/1030] loss = 1.708425
[e002 s0750/1030] loss = 1.655052
[e002 s0800/1030] loss = 1.627300
[e002 s0850/1030] loss = 1.603693
[e002 s0900/1030] loss = 1.567636
[e002 s0950/1030] loss = 1.546078
[e002 s1000/1030] loss = 1.560922
Epoch 002: train_loss = 1.543222  MAE/GAME0 = 4300695.916  RMSE = 7198867.760  GAME1 = 4300762.298  GAME2 = 4300774.247  GAME3 = 4300774.452  lr = 3.17e-06  time = 38.6s
[e003 s0001/1030] loss = 0.516209
[e003 s0050/1030] loss = 0.923328
[e003 s0100/1030] loss = 1.026887
[e003 s0150/1030] loss = 1.608770
[e003 s0200/1030] loss = 2.191748
[e003 s0250/1030] loss = 1.924457
[e003 s0300/1030] loss = 1.896367
[e003 s0350/1030] loss = 1.707547
[e003 s0400/1030] loss = 1.709167
[e003 s0450/1030] loss = 1.645797
[e003 s0500/1030] loss = 1.572850
[e003 s0550/1030] loss = 1.500356
[e003 s0600/1030] loss = 1.475894
[e003 s0650/1030] loss = 1.447888
[e003 s0700/1030] loss = 1.437695
[e003 s0750/1030] loss = 1.439497
[e003 s0800/1030] loss = 1.413545
[e003 s0850/1030] loss = 1.398882
[e003 s0900/1030] loss = 1.395967
[e003 s0950/1030] loss = 1.391532
[e003 s1000/1030] loss = 1.364577
Epoch 003: train_loss = 1.376637  MAE/GAME0 = 965841.954  RMSE = 1515399.929  GAME1 = 965845.598  GAME2 = 965868.684  GAME3 = 965923.624  lr = 3.37e-06  time = 39.1s
[e004 s0001/1030] loss = 0.147331
[e004 s0050/1030] loss = 1.148132
[e004 s0100/1030] loss = 1.074600
[e004 s0150/1030] loss = 1.115157
[e004 s0200/1030] loss = 1.058585
[e004 s0250/1030] loss = 1.043765
[e004 s0300/1030] loss = 1.083425
[e004 s0350/1030] loss = 1.169914
[e004 s0400/1030] loss = 1.099140
[e004 s0450/1030] loss = 1.130483
[e004 s0500/1030] loss = 1.075545
[e004 s0550/1030] loss = 1.072441
[e004 s0600/1030] loss = 1.114140
[e004 s0650/1030] loss = 1.138071
[e004 s0700/1030] loss = 1.100474
[e004 s0750/1030] loss = 1.122010
[e004 s0800/1030] loss = 1.144979
[e004 s0850/1030] loss = 1.269327
[e004 s0900/1030] loss = 1.247196
[e004 s0950/1030] loss = 1.298288
[e004 s1000/1030] loss = 1.360544
Epoch 004: train_loss = 1.376637  MAE/GAME0 = 1482733.391  RMSE = 3022230.242  GAME1 = 1482764.207  GAME2 = 1482806.735  GAME3 = 1482817.288  lr = 3.66e-06  time = 38.5s
[e005 s0001/1030] loss = 0.176121
[e005 s0050/1030] loss = 0.745576
[e005 s0100/1030] loss = 1.005346
[e005 s0150/1030] loss = 1.130985
[e005 s0200/1030] loss = 1.184409
[e005 s0250/1030] loss = 1.338314
[e005 s0300/1030] loss = 1.343908
[e005 s0350/1030] loss = 1.281406
[e005 s0400/1030] loss = 1.403792
[e005 s0450/1030] loss = 1.373725
[e005 s0500/1030] loss = 1.348319
[e005 s0550/1030] loss = 1.358307
[e005 s0600/1030] loss = 1.335508
[e005 s0650/1030] loss = 1.488380
[e005 s0700/1030] loss = 1.470044
[e005 s0750/1030] loss = 1.491733
[e005 s0800/1030] loss = 1.449655
[e005 s0850/1030] loss = 1.442917
[e005 s0900/1030] loss = 1.426715
[e005 s0950/1030] loss = 1.396313
[e005 s1000/1030] loss = 1.384959
Epoch 005: train_loss = 1.376637  MAE/GAME0 = 144.492  RMSE = 471.896  GAME1 = 158.855  GAME2 = 165.411  GAME3 = 166.146  lr = 4.03e-06  time = 37.8s
[e006 s0001/1030] loss = 0.350466
[e006 s0050/1030] loss = 0.609835
[e006 s0100/1030] loss = 0.769773
[e006 s0150/1030] loss = 1.034367
[e006 s0200/1030] loss = 1.003321
[e006 s0250/1030] loss = 0.976030
[e006 s0300/1030] loss = 1.010231
[e006 s0350/1030] loss = 1.019725
[e006 s0400/1030] loss = 1.313961
[e006 s0450/1030] loss = 1.299383
[e006 s0500/1030] loss = 1.376961
[e006 s0550/1030] loss = 1.334196
[e006 s0600/1030] loss = 1.285664
[e006 s0650/1030] loss = 1.370932
[e006 s0700/1030] loss = 1.356022
[e006 s0750/1030] loss = 1.377349
[e006 s0800/1030] loss = 1.374431
[e006 s0850/1030] loss = 2.593397
[e006 s0900/1030] loss = 2.521141
[e006 s0950/1030] loss = 2.499408
[e006 s1000/1030] loss = 2.440404
Epoch 006: train_loss = 2.403464  MAE/GAME0 = 4772.990  RMSE = 13617.423  GAME1 = 4811.544  GAME2 = 4839.705  GAME3 = 4847.678  lr = 4.47e-06  time = 65.9s
[e007 s0001/1030] loss = 0.448847
[e007 s0050/1030] loss = 1.132453
[e007 s0100/1030] loss = 1.149526
[e007 s0150/1030] loss = 1.232116
[e007 s0200/1030] loss = 1.199482
[e007 s0250/1030] loss = 1.909382
[e007 s0300/1030] loss = 1.714227
[e007 s0350/1030] loss = 1.749203
[e007 s0400/1030] loss = 2.042098
