[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_e400_fast_13009855.pbs101_20260228_184155.log
[job] name=train_rgbt_adaptive_fpn_e400_fast id=13009855.pbs101 host=x1000c0s0b0n0 time=Sat Feb 28 18:41:55 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start rgb = outputs/train_rgb_e400/13008785.pbs101_20260228_144230/best.pth
[init] warm-start t = outputs/train_t_e400/13008786.pbs101_20260228_144232/best.pth
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
[init] warm-start rgb. from outputs/train_rgb_e400/13008785.pbs101_20260228_144230/best.pth (missing=265 unexpected=33)
[init] warm-start t. from outputs/train_t_e400/13008786.pbs101_20260228_144232/best.pth (missing=265 unexpected=33)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts_v2/train_rgbt_adaptive_fpn.py:289: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
/app/apps/pytorch/2.6.0-py3-cu11.8/lib/python3.13/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
[e001 s0001/1030] loss = 767891.375000
[e001 s0050/1030] loss = 499620.167499
[e001 s0100/1030] loss = 250005.284536
[e001 s0150/1030] loss = 166677.343552
[e001 s0200/1030] loss = 125008.722871
[e001 s0250/1030] loss = 100008.221084
[e001 s0300/1030] loss = 83340.642253
[e001 s0350/1030] loss = 71435.650663
[e001 s0400/1030] loss = 62506.733645
[e001 s0450/1030] loss = 55562.773782
[e001 s0500/1030] loss = 50006.797716
[e001 s0550/1030] loss = 45460.964097
[e001 s0600/1030] loss = 41673.230652
[e001 s0650/1030] loss = 38469.949699
[e001 s0700/1030] loss = 35722.436098
[e001 s0750/1030] loss = 33341.259307
[e001 s0800/1030] loss = 31257.698802
[e001 s0850/1030] loss = 29419.382965
[e001 s0900/1030] loss = 27785.213552
[e001 s0950/1030] loss = 26323.266742
[e001 s1000/1030] loss = 25007.312179
Epoch 001: train_loss = 24279.083297  MAE/GAME0 = 9316.439  RMSE = 18440.209  GAME1 = 9328.034  GAME2 = 9337.522  GAME3 = 9342.444  lr = 5.07e-06  time = 53.8s
[e002 s0001/1030] loss = 1.352047
[e002 s0050/1030] loss = 2.918256
[e002 s0100/1030] loss = 3.545696
[e002 s0150/1030] loss = 3.726753
[e002 s0200/1030] loss = 35.136212
[e002 s0250/1030] loss = 28.704831
[e002 s0300/1030] loss = 24.794486
[e002 s0350/1030] loss = 22.941391
[e002 s0400/1030] loss = 20.754209
[e002 s0450/1030] loss = 19.483304
[e002 s0500/1030] loss = 17.867009
[e002 s0550/1030] loss = 16.625015
[e002 s0600/1030] loss = 15.601874
[e002 s0650/1030] loss = 14.665818
[e002 s0700/1030] loss = 13.952091
[e002 s0750/1030] loss = 13.219567
[e002 s0800/1030] loss = 12.643083
[e002 s0850/1030] loss = 12.138342
[e002 s0900/1030] loss = 11.639231
[e002 s0950/1030] loss = 11.232185
[e002 s1000/1030] loss = 10.993012
Epoch 002: train_loss = 10.761913  MAE/GAME0 = 1326.398  RMSE = 6436.167  GAME1 = 1338.773  GAME2 = 1343.209  GAME3 = 1345.055  lr = 5.28e-06  time = 41.7s
[e003 s0001/1030] loss = 1.585050
[e003 s0050/1030] loss = 2.949060
[e003 s0100/1030] loss = 3.263509
[e003 s0150/1030] loss = 5.508385
[e003 s0200/1030] loss = 7.677855
[e003 s0250/1030] loss = 6.693478
[e003 s0300/1030] loss = 6.589845
[e003 s0350/1030] loss = 5.906963
[e003 s0400/1030] loss = 5.900769
[e003 s0450/1030] loss = 5.652208
[e003 s0500/1030] loss = 5.384045
[e003 s0550/1030] loss = 5.119124
[e003 s0600/1030] loss = 5.019788
[e003 s0650/1030] loss = 4.907654
[e003 s0700/1030] loss = 4.863479
[e003 s0750/1030] loss = 4.874299
[e003 s0800/1030] loss = 4.781010
[e003 s0850/1030] loss = 4.723895
[e003 s0900/1030] loss = 4.710059
[e003 s0950/1030] loss = 4.685966
[e003 s1000/1030] loss = 4.589074
Epoch 003: train_loss = 4.629053  MAE/GAME0 = 1445.218  RMSE = 6559.689  GAME1 = 1455.004  GAME2 = 1461.506  GAME3 = 1463.805  lr = 5.62e-06  time = 42.2s
[e004 s0001/1030] loss = 0.351566
[e004 s0050/1030] loss = 3.791834
[e004 s0100/1030] loss = 3.472015
[e004 s0150/1030] loss = 3.570301
[e004 s0200/1030] loss = 3.403159
[e004 s0250/1030] loss = 3.350875
[e004 s0300/1030] loss = 3.516151
[e004 s0350/1030] loss = 6.709257
[e004 s0400/1030] loss = 6.107685
[e004 s0450/1030] loss = 5.939821
[e004 s0500/1030] loss = 5.528680
[e004 s0550/1030] loss = 5.335854
[e004 s0600/1030] loss = 5.336916
[e004 s0650/1030] loss = 5.294078
[e004 s0700/1030] loss = 5.051180
[e004 s0750/1030] loss = 5.028311
[e004 s0800/1030] loss = 5.020962
[e004 s0850/1030] loss = 5.418189
[e004 s0900/1030] loss = 5.273050
[e004 s0950/1030] loss = 5.405821
[e004 s1000/1030] loss = 5.578627
Epoch 004: train_loss = 5.614740  MAE/GAME0 = 417.708  RMSE = 1586.028  GAME1 = 426.610  GAME2 = 429.583  GAME3 = 430.190  lr = 6.10e-06  time = 71.4s
[e005 s0001/1030] loss = 0.467377
[e005 s0050/1030] loss = 2.381993
[e005 s0100/1030] loss = 3.337475
[e005 s0150/1030] loss = 3.777477
[e005 s0200/1030] loss = 3.930043
[e005 s0250/1030] loss = 4.527481
[e005 s0300/1030] loss = 4.510635
[e005 s0350/1030] loss = 4.282277
[e005 s0400/1030] loss = 4.730811
[e005 s0450/1030] loss = 4.615697
[e005 s0500/1030] loss = 4.533022
[e005 s0550/1030] loss = 4.572760
[e005 s0600/1030] loss = 4.483604
[e005 s0650/1030] loss = 5.056902
[e005 s0700/1030] loss = 4.986151
[e005 s0750/1030] loss = 5.066231
[e005 s0800/1030] loss = 4.913168
[e005 s0850/1030] loss = 4.881632
[e005 s0900/1030] loss = 4.816940
[e005 s0950/1030] loss = 4.705130
[e005 s1000/1030] loss = 4.658874
Epoch 005: train_loss = 4.629053  MAE/GAME0 = 154.308  RMSE = 590.147  GAME1 = 159.023  GAME2 = 160.389  GAME3 = 160.836  lr = 6.71e-06  time = 70.5s
[e006 s0001/1030] loss = 1.008857
[e006 s0050/1030] loss = 1.902145
[e006 s0100/1030] loss = 2.447217
[e006 s0150/1030] loss = 3.390401
[e006 s0200/1030] loss = 3.281011
[e006 s0250/1030] loss = 3.170886
[e006 s0300/1030] loss = 3.282604
[e006 s0350/1030] loss = 3.333347
[e006 s0400/1030] loss = 4.432834
[e006 s0450/1030] loss = 4.368121
[e006 s0500/1030] loss = 4.647739
[e006 s0550/1030] loss = 4.492749
[e006 s0600/1030] loss = 4.318392
[e006 s0650/1030] loss = 4.618434
[e006 s0700/1030] loss = 4.562938
[e006 s0750/1030] loss = 4.637734
[e006 s0800/1030] loss = 4.619622
[e006 s0850/1030] loss = 4.521318
[e006 s0900/1030] loss = 4.513676
[e006 s0950/1030] loss = 4.669841
[e006 s1000/1030] loss = 4.652157
Epoch 006: train_loss = 4.629053  MAE/GAME0 = 1214.957  RMSE = 5097.091  GAME1 = 1222.508  GAME2 = 1225.271  GAME3 = 1225.787  lr = 7.45e-06  time = 70.7s
[e007 s0001/1030] loss = 1.236869
[e007 s0050/1030] loss = 3.630099
[e007 s0100/1030] loss = 3.732506
[e007 s0150/1030] loss = 3.984966
[e007 s0200/1030] loss = 3.883221
[e007 s0250/1030] loss = 4.165000
[e007 s0300/1030] loss = 3.869890
[e007 s0350/1030] loss = 4.297363
[e007 s0400/1030] loss = 5.622283
[e007 s0450/1030] loss = 5.664963
[e007 s0500/1030] loss = 5.405065
[e007 s0550/1030] loss = 5.455684
[e007 s0600/1030] loss = 5.228369
[e007 s0650/1030] loss = 5.080754
[e007 s0700/1030] loss = 4.891853
[e007 s0750/1030] loss = 4.790569
[e007 s0800/1030] loss = 4.663013
[e007 s0850/1030] loss = 4.570113
[e007 s0900/1030] loss = 4.752222
[e007 s0950/1030] loss = 4.690881
[e007 s1000/1030] loss = 4.638114
Epoch 007: train_loss = 4.631145  MAE/GAME0 = 310.598  RMSE = 1605.958  GAME1 = 317.101  GAME2 = 318.878  GAME3 = 319.265  lr = 8.32e-06  time = 70.4s
[e008 s0001/1030] loss = 15.040712
[e008 s0050/1030] loss = 2.706287
[e008 s0100/1030] loss = 3.660583
[e008 s0150/1030] loss = 4.992208
[e008 s0200/1030] loss = 4.493676
[e008 s0250/1030] loss = 4.384005
[e008 s0300/1030] loss = 4.234101
[e008 s0350/1030] loss = 4.027429
[e008 s0400/1030] loss = 3.883075
[e008 s0450/1030] loss = 5.113503
[e008 s0500/1030] loss = 5.023880
[e008 s0550/1030] loss = 4.766612
[e008 s0600/1030] loss = 5.000007
[e008 s0650/1030] loss = 5.291709
[e008 s0700/1030] loss = 5.225685
[e008 s0750/1030] loss = 5.075493
[e008 s0800/1030] loss = 4.976624
[e008 s0850/1030] loss = 4.900847
[e008 s0900/1030] loss = 4.869759
[e008 s0950/1030] loss = 4.726738
[e008 s1000/1030] loss = 4.685489
Epoch 008: train_loss = 4.629066  MAE/GAME0 = 1493.245  RMSE = 4345.065  GAME1 = 1503.258  GAME2 = 1507.412  GAME3 = 1508.995  lr = 9.30e-06  time = 70.7s
[e009 s0001/1030] loss = 1.534932
[e009 s0050/1030] loss = 8.389183
[e009 s0100/1030] loss = 6.372836
[e009 s0150/1030] loss = 6.686062
[e009 s0200/1030] loss = 7.947461
[e009 s0250/1030] loss = 6.818456
[e009 s0300/1030] loss = 6.629799
[e009 s0350/1030] loss = 6.360239
[e009 s0400/1030] loss = 6.095350
[e009 s0450/1030] loss = 5.716092
[e009 s0500/1030] loss = 5.490657
[e009 s0550/1030] loss = 5.302814
[e009 s0600/1030] loss = 5.092182
[e009 s0650/1030] loss = 5.087556
[e009 s0700/1030] loss = 4.927733
[e009 s0750/1030] loss = 4.901305
[e009 s0800/1030] loss = 4.796012
[e009 s0850/1030] loss = 4.747582
[e009 s0900/1030] loss = 4.700868
[e009 s0950/1030] loss = 4.583453
[e009 s1000/1030] loss = 4.533551
