[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_cal_align_tuned_e400_13439345.pbs101_20260330_121126.log
[job] name=train_rgbt_adaptive_fpn_lite_cal_align_tuned_e400 id=13439345.pbs101 host=x1000c0s0b0n0 time=Mon Mar 30 12:11:26 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=18 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt_align.py:535: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=177096
[e001 s0001/1030] loss = 0.916400
[e001 s0050/1030] loss = 0.518710
[e001 s0100/1030] loss = 0.465674
[e001 s0150/1030] loss = 0.417469
[e001 s0200/1030] loss = 0.433957
[e001 s0250/1030] loss = 0.436098
[e001 s0300/1030] loss = 0.455164
[e001 s0350/1030] loss = 0.449489
[e001 s0400/1030] loss = 0.488270
[e001 s0450/1030] loss = 1.066299
[e001 s0500/1030] loss = 1.006725
[e001 s0550/1030] loss = 0.960468
[e001 s0600/1030] loss = 0.936153
[e001 s0650/1030] loss = 0.925352
[e001 s0700/1030] loss = 0.914666
[e001 s0750/1030] loss = 0.894128
[e001 s0800/1030] loss = 0.868916
[e001 s0850/1030] loss = 0.899239
[e001 s0900/1030] loss = 0.876793
[e001 s0950/1030] loss = 0.878640
[e001 s1000/1030] loss = 0.855309
Epoch 001: train_loss = 0.858952  MAE/GAME0 = 18.450  RMSE = 42.118  GAME1 = 22.294  GAME2 = 26.486  GAME3 = 31.281  lr = 1.01e-06  kd = 1.00  time = 19.9s
[e002 s0001/1030] loss = 0.211138
[e002 s0050/1030] loss = 0.458945
[e002 s0100/1030] loss = 0.472189
[e002 s0150/1030] loss = 0.519827
[e002 s0200/1030] loss = 0.538058
[e002 s0250/1030] loss = 0.577525
[e002 s0300/1030] loss = 0.591401
[e002 s0350/1030] loss = 0.934274
[e002 s0400/1030] loss = 0.928447
[e002 s0450/1030] loss = 1.255572
[e002 s0500/1030] loss = 1.229554
[e002 s0550/1030] loss = 1.163524
[e002 s0600/1030] loss = 1.145451
[e002 s0650/1030] loss = 1.155155
[e002 s0700/1030] loss = 1.122176
[e002 s0750/1030] loss = 1.078661
[e002 s0800/1030] loss = 1.067533
[e002 s0850/1030] loss = 1.063613
[e002 s0900/1030] loss = 1.032219
[e002 s0950/1030] loss = 1.005300
[e002 s1000/1030] loss = 0.990875
Epoch 002: train_loss = 0.975448  MAE/GAME0 = 18.451  RMSE = 42.122  GAME1 = 22.295  GAME2 = 26.487  GAME3 = 31.282  lr = 1.06e-06  kd = 1.00  time = 13.4s
[e003 s0001/1030] loss = 0.001007
[e003 s0050/1030] loss = 0.416634
[e003 s0100/1030] loss = 0.555639
[e003 s0150/1030] loss = 0.581002
[e003 s0200/1030] loss = 2.035278
[e003 s0250/1030] loss = 1.686746
[e003 s0300/1030] loss = 1.535730
[e003 s0350/1030] loss = 1.387722
[e003 s0400/1030] loss = 1.300545
[e003 s0450/1030] loss = 1.190214
[e003 s0500/1030] loss = 1.126748
[e003 s0550/1030] loss = 1.066812
[e003 s0600/1030] loss = 1.051835
[e003 s0650/1030] loss = 1.002578
[e003 s0700/1030] loss = 0.980109
[e003 s0750/1030] loss = 0.953585
[e003 s0800/1030] loss = 0.927628
[e003 s0850/1030] loss = 0.925003
[e003 s0900/1030] loss = 0.959136
[e003 s0950/1030] loss = 0.947367
[e003 s1000/1030] loss = 0.929021
Epoch 003: train_loss = 0.943235  MAE/GAME0 = 18.450  RMSE = 42.119  GAME1 = 22.294  GAME2 = 26.487  GAME3 = 31.282  lr = 1.12e-06  kd = 1.00  time = 13.3s
[e004 s0001/1030] loss = 0.150935
[e004 s0050/1030] loss = 0.351531
[e004 s0100/1030] loss = 0.464482
[e004 s0150/1030] loss = 0.511449
