[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_cal_conf_tuned_e400_13458824.pbs101_20260401_123119.log
[job] name=train_rgbt_adaptive_fpn_lite_cal_conf_tuned_e400 id=13458824.pbs101 host=x1000c2s6b0n0 time=Wed Apr  1 12:31:19 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] confidence-aware thermal fusion: thermal_conf_floor=0.35
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=18 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt_align.py:670: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=175775
[e001 s0001/1030] loss = 0.934536
[e001 s0050/1030] loss = 0.531530
[e001 s0100/1030] loss = 0.473625
[e001 s0150/1030] loss = 0.421218
[e001 s0200/1030] loss = 0.439773
[e001 s0250/1030] loss = 0.442508
[e001 s0300/1030] loss = 0.461829
[e001 s0350/1030] loss = 0.456005
[e001 s0400/1030] loss = 0.497807
[e001 s0450/1030] loss = 1.091045
[e001 s0500/1030] loss = 1.031545
[e001 s0550/1030] loss = 0.983576
[e001 s0600/1030] loss = 0.958514
[e001 s0650/1030] loss = 0.946979
[e001 s0700/1030] loss = 0.936138
[e001 s0750/1030] loss = 0.915362
[e001 s0800/1030] loss = 0.889639
[e001 s0850/1030] loss = 0.919496
[e001 s0900/1030] loss = 0.896110
[e001 s0950/1030] loss = 0.897746
[e001 s1000/1030] loss = 0.872898
Epoch 001: train_loss = 0.876081  MAE/GAME0 = 19.016  RMSE = 43.263  GAME1 = 22.756  GAME2 = 26.809  GAME3 = 31.428  lr = 1.01e-06  kd = 1.00  time = 36.7s
[e002 s0001/1030] loss = 0.197126
[e002 s0050/1030] loss = 0.461187
[e002 s0100/1030] loss = 0.478374
[e002 s0150/1030] loss = 0.528220
[e002 s0200/1030] loss = 0.544586
[e002 s0250/1030] loss = 0.585564
[e002 s0300/1030] loss = 0.599211
[e002 s0350/1030] loss = 0.948147
[e002 s0400/1030] loss = 0.954636
[e002 s0450/1030] loss = 1.282980
[e002 s0500/1030] loss = 1.256051
[e002 s0550/1030] loss = 1.188093
[e002 s0600/1030] loss = 1.169705
[e002 s0650/1030] loss = 1.179740
[e002 s0700/1030] loss = 1.144704
[e002 s0750/1030] loss = 1.100591
[e002 s0800/1030] loss = 1.090242
[e002 s0850/1030] loss = 1.085648
[e002 s0900/1030] loss = 1.053550
[e002 s0950/1030] loss = 1.025715
[e002 s1000/1030] loss = 1.010202
Epoch 002: train_loss = 0.994218  MAE/GAME0 = 19.014  RMSE = 43.259  GAME1 = 22.754  GAME2 = 26.808  GAME3 = 31.427  lr = 1.06e-06  kd = 1.00  time = 12.0s
[e003 s0001/1030] loss = 0.000999
[e003 s0050/1030] loss = 0.422264
[e003 s0100/1030] loss = 0.565455
[e003 s0150/1030] loss = 0.585273
[e003 s0200/1030] loss = 2.108214
[e003 s0250/1030] loss = 1.745055
[e003 s0300/1030] loss = 1.587807
[e003 s0350/1030] loss = 1.433286
[e003 s0400/1030] loss = 1.343340
[e003 s0450/1030] loss = 1.228714
[e003 s0500/1030] loss = 1.162184
[e003 s0550/1030] loss = 1.099426
[e003 s0600/1030] loss = 1.083831
[e003 s0650/1030] loss = 1.032031
[e003 s0700/1030] loss = 1.008476
[e003 s0750/1030] loss = 0.981006
[e003 s0800/1030] loss = 0.953498
[e003 s0850/1030] loss = 0.950996
[e003 s0900/1030] loss = 0.985434
[e003 s0950/1030] loss = 0.973043
[e003 s1000/1030] loss = 0.954206
Epoch 003: train_loss = 0.968662  MAE/GAME0 = 19.012  RMSE = 43.255  GAME1 = 22.753  GAME2 = 26.807  GAME3 = 31.427  lr = 1.12e-06  kd = 1.00  time = 12.3s
[e004 s0001/1030] loss = 0.137906
[e004 s0050/1030] loss = 0.354008
[e004 s0100/1030] loss = 0.468137
