[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_cal_distill_base_e400_13247110.pbs101_20260319_142324.log
[job] name=train_rgbt_adaptive_fpn_lite_cal_distill_base_e400 id=13247110.pbs101 host=x1000c2s1b0n1 time=Thu Mar 19 14:23:24 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] teacher base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=14 unexpected=0)
[init] teacher base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=0 unexpected=0) lambda_kd_map=0.25 lambda_kd_cnt=0.005 kd_warmup_epochs=20
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:519: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=174182
[e001 s0001/1030] loss = 0.248059
[e001 s0050/1030] loss = 0.422115
[e001 s0100/1030] loss = 0.292806
[e001 s0150/1030] loss = 0.253775
[e001 s0200/1030] loss = 0.246904
[e001 s0250/1030] loss = 0.285111
[e001 s0300/1030] loss = 0.272093
[e001 s0350/1030] loss = 0.284658
[e001 s0400/1030] loss = 0.282690
[e001 s0450/1030] loss = 0.673570
[e001 s0500/1030] loss = 0.629077
[e001 s0550/1030] loss = 0.590547
[e001 s0600/1030] loss = 0.569246
[e001 s0650/1030] loss = 0.545832
[e001 s0700/1030] loss = 0.528522
[e001 s0750/1030] loss = 0.513134
[e001 s0800/1030] loss = 0.498457
[e001 s0850/1030] loss = 0.507534
[e001 s0900/1030] loss = 0.494561
[e001 s0950/1030] loss = 0.495961
[e001 s1000/1030] loss = 0.483729
Epoch 001: train_loss = 0.486035  MAE/GAME0 = 18.451  RMSE = 42.117  GAME1 = 22.295  GAME2 = 26.487  GAME3 = 31.282  lr = 1.01e-06  kd = 0.05  time = 41.8s
[e002 s0001/1030] loss = 0.103507
[e002 s0050/1030] loss = 0.180693
[e002 s0100/1030] loss = 0.224785
[e002 s0150/1030] loss = 0.236863
[e002 s0200/1030] loss = 0.248758
[e002 s0250/1030] loss = 0.248433
[e002 s0300/1030] loss = 0.255387
[e002 s0350/1030] loss = 0.764099
[e002 s0400/1030] loss = 0.715842
[e002 s0450/1030] loss = 0.714308
[e002 s0500/1030] loss = 0.664341
[e002 s0550/1030] loss = 0.632317
[e002 s0600/1030] loss = 0.614368
[e002 s0650/1030] loss = 0.589520
[e002 s0700/1030] loss = 0.565454
[e002 s0750/1030] loss = 0.543472
[e002 s0800/1030] loss = 0.530655
[e002 s0850/1030] loss = 0.525433
[e002 s0900/1030] loss = 0.510245
[e002 s0950/1030] loss = 0.497091
[e002 s1000/1030] loss = 0.494625
