[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_cal_dualstem_tuned_e400_13466817.pbs101_20260402_120016.log
[job] name=train_rgbt_adaptive_fpn_lite_cal_dualstem_tuned_e400 id=13466817.pbs101 host=x1000c3s4b0n1 time=Thu Apr  2 12:00:16 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] skipped 2 mismatched checkpoint tensors while warm-starting
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=38 unexpected=16)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt_align.py:693: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16281408 head_params=174182
[e001 s0001/1030] loss = 4.514998
[e001 s0050/1030] loss = 2.543692
[e001 s0100/1030] loss = 2.070915
[e001 s0150/1030] loss = 1.840071
[e001 s0200/1030] loss = 1.986480
[e001 s0250/1030] loss = 2.114431
[e001 s0300/1030] loss = 2.095814
[e001 s0350/1030] loss = 2.141555
[e001 s0400/1030] loss = 2.282528
[e001 s0450/1030] loss = 3.269137
[e001 s0500/1030] loss = 3.159550
[e001 s0550/1030] loss = 3.075676
[e001 s0600/1030] loss = 3.057100
[e001 s0650/1030] loss = 3.069651
[e001 s0700/1030] loss = 3.090233
[e001 s0750/1030] loss = 3.073050
[e001 s0800/1030] loss = 3.015420
[e001 s0850/1030] loss = 3.104822
[e001 s0900/1030] loss = 3.049046
[e001 s0950/1030] loss = 3.183054
[e001 s1000/1030] loss = 3.166125
Epoch 001: train_loss = 3.155359  MAE/GAME0 = 53.924  RMSE = 81.392  GAME1 = 66.767  GAME2 = 74.004  GAME3 = 77.941  lr = 1.01e-06  kd = 1.00  time = 37.8s
[e002 s0001/1030] loss = 0.066966
[e002 s0050/1030] loss = 1.654616
[e002 s0100/1030] loss = 1.765421
[e002 s0150/1030] loss = 2.373950
[e002 s0200/1030] loss = 2.242186
[e002 s0250/1030] loss = 2.403982
[e002 s0300/1030] loss = 2.822018
[e002 s0350/1030] loss = 3.527260
[e002 s0400/1030] loss = 3.524269
[e002 s0450/1030] loss = 3.970517
[e002 s0500/1030] loss = 3.835539
[e002 s0550/1030] loss = 3.708269
[e002 s0600/1030] loss = 3.662061
[e002 s0650/1030] loss = 3.650015
[e002 s0700/1030] loss = 3.661278
[e002 s0750/1030] loss = 3.537511
[e002 s0800/1030] loss = 3.548428
[e002 s0850/1030] loss = 3.549130
[e002 s0900/1030] loss = 3.477961
[e002 s0950/1030] loss = 3.473664
[e002 s1000/1030] loss = 3.462288
Epoch 002: train_loss = 3.430423  MAE/GAME0 = 53.924  RMSE = 81.392  GAME1 = 66.766  GAME2 = 74.004  GAME3 = 77.941  lr = 1.06e-06  kd = 1.00  time = 9.7s
[e003 s0001/1030] loss = 0.000113
[e003 s0050/1030] loss = 1.916856
[e003 s0100/1030] loss = 2.244057
[e003 s0150/1030] loss = 2.561837
[e003 s0200/1030] loss = 5.266921
[e003 s0250/1030] loss = 4.588294
[e003 s0300/1030] loss = 4.414392
[e003 s0350/1030] loss = 4.062459
[e003 s0400/1030] loss = 4.151263
[e003 s0450/1030] loss = 3.916442
[e003 s0500/1030] loss = 3.789439
[e003 s0550/1030] loss = 3.677799
[e003 s0600/1030] loss = 3.626695
[e003 s0650/1030] loss = 3.517411
[e003 s0700/1030] loss = 3.467995
[e003 s0750/1030] loss = 3.419829
[e003 s0800/1030] loss = 3.405487
[e003 s0850/1030] loss = 3.429909
[e003 s0900/1030] loss = 3.493947
[e003 s0950/1030] loss = 3.504700
[e003 s1000/1030] loss = 3.450826
Epoch 003: train_loss = 3.472908  MAE/GAME0 = 53.924  RMSE = 81.392  GAME1 = 66.766  GAME2 = 74.003  GAME3 = 77.940  lr = 1.12e-06  kd = 1.00  time = 9.9s
[e004 s0001/1030] loss = 0.082738
[e004 s0050/1030] loss = 2.726383
