[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_cal_misalign_tuned_e400_13441164.pbs101_20260330_163245.log
[job] name=train_rgbt_adaptive_fpn_lite_cal_misalign_tuned_e400 id=13441164.pbs101 host=x1000c0s1b0n1 time=Mon Mar 30 16:32:45 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] misalign-aware training: align_max_shift_px=4.0 synthetic_shift_px=4.0 synthetic_shift_p=0.75 lambda_shift_sup=0.5 lambda_conf_sup=0.2 thermal_conf_floor=0.25
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=20 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt_align.py:658: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=177113
[e001 s0001/1030] loss = 0.939087
[e001 s0050/1030] loss = 0.718594
[e001 s0100/1030] loss = 0.603709
[e001 s0150/1030] loss = 0.550944
[e001 s0200/1030] loss = 0.569712
[e001 s0250/1030] loss = 0.579486
[e001 s0300/1030] loss = 0.591975
[e001 s0350/1030] loss = 0.579942
[e001 s0400/1030] loss = 0.612121
[e001 s0450/1030] loss = 1.273588
[e001 s0500/1030] loss = 1.214361
[e001 s0550/1030] loss = 1.158241
[e001 s0600/1030] loss = 1.131412
[e001 s0650/1030] loss = 1.114527
[e001 s0700/1030] loss = 1.100393
[e001 s0750/1030] loss = 1.080052
[e001 s0800/1030] loss = 1.054172
[e001 s0850/1030] loss = 1.079207
[e001 s0900/1030] loss = 1.049908
[e001 s0950/1030] loss = 1.052885
[e001 s1000/1030] loss = 1.029116
Epoch 001: train_loss = 1.030510  MAE/GAME0 = 19.140  RMSE = 43.489  GAME1 = 22.862  GAME2 = 26.887  GAME3 = 31.470  lr = 1.01e-06  kd = 1.00  time = 30.7s
[e002 s0001/1030] loss = 0.185057
[e002 s0050/1030] loss = 0.612646
[e002 s0100/1030] loss = 0.621521
[e002 s0150/1030] loss = 0.698334
[e002 s0200/1030] loss = 0.702294
[e002 s0250/1030] loss = 0.739271
[e002 s0300/1030] loss = 0.747135
[e002 s0350/1030] loss = 1.098237
[e002 s0400/1030] loss = 1.072322
[e002 s0450/1030] loss = 1.399159
[e002 s0500/1030] loss = 1.374956
[e002 s0550/1030] loss = 1.305836
[e002 s0600/1030] loss = 1.288283
[e002 s0650/1030] loss = 1.296662
[e002 s0700/1030] loss = 1.264585
[e002 s0750/1030] loss = 1.218800
[e002 s0800/1030] loss = 1.206613
[e002 s0850/1030] loss = 1.202370
[e002 s0900/1030] loss = 1.171407
[e002 s0950/1030] loss = 1.140438
[e002 s1000/1030] loss = 1.128341
Epoch 002: train_loss = 1.112412  MAE/GAME0 = 19.141  RMSE = 43.492  GAME1 = 22.862  GAME2 = 26.888  GAME3 = 31.470  lr = 1.06e-06  kd = 1.00  time = 14.5s
[e003 s0001/1030] loss = 0.056599
[e003 s0050/1030] loss = 0.496322
[e003 s0100/1030] loss = 0.711885
[e003 s0150/1030] loss = 0.735991
[e003 s0200/1030] loss = 2.363124
[e003 s0250/1030] loss = 1.971029
[e003 s0300/1030] loss = 1.811344
[e003 s0350/1030] loss = 1.651267
[e003 s0400/1030] loss = 1.567721
[e003 s0450/1030] loss = 1.440177
[e003 s0500/1030] loss = 1.371204
[e003 s0550/1030] loss = 1.305770
[e003 s0600/1030] loss = 1.282025
[e003 s0650/1030] loss = 1.224888
[e003 s0700/1030] loss = 1.195978
[e003 s0750/1030] loss = 1.163871
[e003 s0800/1030] loss = 1.134223
[e003 s0850/1030] loss = 1.136151
[e003 s0900/1030] loss = 1.174956
[e003 s0950/1030] loss = 1.160243
[e003 s1000/1030] loss = 1.141374
