[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_cal_tuned_e400_13233054.pbs101_20260318_222804.log
[job] name=train_rgbt_adaptive_fpn_lite_cal_tuned_e400 id=13233054.pbs101 host=x1000c3s7b0n0 time=Wed Mar 18 22:28:04 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=14 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:493: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=174182
[e001 s0001/1030] loss = 0.248059
[e001 s0050/1030] loss = 0.422115
[e001 s0100/1030] loss = 0.292806
[e001 s0150/1030] loss = 0.253775
[e001 s0200/1030] loss = 0.246904
[e001 s0250/1030] loss = 0.285111
[e001 s0300/1030] loss = 0.272092
[e001 s0350/1030] loss = 0.284657
[e001 s0400/1030] loss = 0.282690
[e001 s0450/1030] loss = 0.673570
[e001 s0500/1030] loss = 0.629076
[e001 s0550/1030] loss = 0.590547
[e001 s0600/1030] loss = 0.569246
[e001 s0650/1030] loss = 0.545831
[e001 s0700/1030] loss = 0.528522
[e001 s0750/1030] loss = 0.513134
[e001 s0800/1030] loss = 0.498457
[e001 s0850/1030] loss = 0.507534
[e001 s0900/1030] loss = 0.494561
[e001 s0950/1030] loss = 0.495961
[e001 s1000/1030] loss = 0.483728
Epoch 001: train_loss = 0.486035  MAE/GAME0 = 18.451  RMSE = 42.117  GAME1 = 22.295  GAME2 = 26.487  GAME3 = 31.282  lr = 1.01e-06  time = 34.4s
[e002 s0001/1030] loss = 0.103507
[e002 s0050/1030] loss = 0.180692
[e002 s0100/1030] loss = 0.224784
[e002 s0150/1030] loss = 0.236862
[e002 s0200/1030] loss = 0.248757
[e002 s0250/1030] loss = 0.248433
[e002 s0300/1030] loss = 0.255386
[e002 s0350/1030] loss = 0.764098
[e002 s0400/1030] loss = 0.715840
[e002 s0450/1030] loss = 0.714307
[e002 s0500/1030] loss = 0.664339
[e002 s0550/1030] loss = 0.632316
[e002 s0600/1030] loss = 0.614366
[e002 s0650/1030] loss = 0.589519
[e002 s0700/1030] loss = 0.565452
[e002 s0750/1030] loss = 0.543470
[e002 s0800/1030] loss = 0.530654
[e002 s0850/1030] loss = 0.525431
[e002 s0900/1030] loss = 0.510243
[e002 s0950/1030] loss = 0.497090
[e002 s1000/1030] loss = 0.494624
Epoch 002: train_loss = 0.486013  MAE/GAME0 = 18.450  RMSE = 42.116  GAME1 = 22.294  GAME2 = 26.487  GAME3 = 31.281  lr = 1.06e-06  time = 23.9s
[e003 s0001/1030] loss = 0.072614
[e003 s0050/1030] loss = 0.189536
[e003 s0100/1030] loss = 0.259064
[e003 s0150/1030] loss = 0.399846
[e003 s0200/1030] loss = 1.284795
[e003 s0250/1030] loss = 1.062909
[e003 s0300/1030] loss = 0.969211
[e003 s0350/1030] loss = 0.859523
[e003 s0400/1030] loss = 0.789602
[e003 s0450/1030] loss = 0.733223
[e003 s0500/1030] loss = 0.684372
[e003 s0550/1030] loss = 0.638570
[e003 s0600/1030] loss = 0.607208
[e003 s0650/1030] loss = 0.575729
[e003 s0700/1030] loss = 0.556775
[e003 s0750/1030] loss = 0.537392
[e003 s0800/1030] loss = 0.517318
[e003 s0850/1030] loss = 0.510134
[e003 s0900/1030] loss = 0.501927
[e003 s0950/1030] loss = 0.498886
[e003 s1000/1030] loss = 0.485773
Epoch 003: train_loss = 0.485996  MAE/GAME0 = 18.450  RMSE = 42.115  GAME1 = 22.294  GAME2 = 26.486  GAME3 = 31.281  lr = 1.12e-06  time = 23.9s
[e004 s0001/1030] loss = 0.090413
[e004 s0050/1030] loss = 0.316518
[e004 s0100/1030] loss = 0.291177
[e004 s0150/1030] loss = 0.261334
[e004 s0200/1030] loss = 0.249114
[e004 s0250/1030] loss = 0.243982
