[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_e400_13104989.pbs101_20260310_174424.log
[job] name=train_rgbt_adaptive_fpn_lite_e400 id=13104989.pbs101 host=x1000c1s4b0n0 time=Tue Mar 10 17:44:24 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=9 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:474: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 0.289487
[e001 s0050/1030] loss = 0.407478
[e001 s0100/1030] loss = 0.286505
[e001 s0150/1030] loss = 0.240951
[e001 s0200/1030] loss = 0.231015
[e001 s0250/1030] loss = 0.251807
[e001 s0300/1030] loss = 0.240469
[e001 s0350/1030] loss = 0.245052
[e001 s0400/1030] loss = 0.240622
[e001 s0450/1030] loss = 0.677427
[e001 s0500/1030] loss = 0.627416
[e001 s0550/1030] loss = 0.586025
[e001 s0600/1030] loss = 0.558861
[e001 s0650/1030] loss = 0.532333
[e001 s0700/1030] loss = 0.510324
[e001 s0750/1030] loss = 0.493300
[e001 s0800/1030] loss = 0.476543
[e001 s0850/1030] loss = 0.482455
[e001 s0900/1030] loss = 0.467541
[e001 s0950/1030] loss = 0.463116
[e001 s1000/1030] loss = 0.448944
Epoch 001: train_loss = 0.447366  MAE/GAME0 = 23.526  RMSE = 50.775  GAME1 = 26.144  GAME2 = 29.615  GAME3 = 33.148  lr = 5.07e-06  time = 91.9s
[e002 s0001/1030] loss = 0.068962
[e002 s0050/1030] loss = 0.147356
[e002 s0100/1030] loss = 0.176970
[e002 s0150/1030] loss = 0.199867
[e002 s0200/1030] loss = 0.203341
[e002 s0250/1030] loss = 0.195829
[e002 s0300/1030] loss = 0.203885
[e002 s0350/1030] loss = 0.808723
[e002 s0400/1030] loss = 0.736687
[e002 s0450/1030] loss = 0.696452
[e002 s0500/1030] loss = 0.645671
[e002 s0550/1030] loss = 0.609370
[e002 s0600/1030] loss = 0.583152
[e002 s0650/1030] loss = 0.553689
[e002 s0700/1030] loss = 0.527803
[e002 s0750/1030] loss = 0.503368
[e002 s0800/1030] loss = 0.485045
[e002 s0850/1030] loss = 0.481646
[e002 s0900/1030] loss = 0.463311
[e002 s0950/1030] loss = 0.447449
[e002 s1000/1030] loss = 0.439283
Epoch 002: train_loss = 0.431196  MAE/GAME0 = 21.637  RMSE = 51.203  GAME1 = 25.083  GAME2 = 28.840  GAME3 = 32.969  lr = 5.28e-06  time = 29.3s
[e003 s0001/1030] loss = 0.032679
[e003 s0050/1030] loss = 0.135705
[e003 s0100/1030] loss = 0.185088
[e003 s0150/1030] loss = 0.263391
[e003 s0200/1030] loss = 1.258887
[e003 s0250/1030] loss = 1.034508
[e003 s0300/1030] loss = 0.909651
[e003 s0350/1030] loss = 0.801105
[e003 s0400/1030] loss = 0.722933
[e003 s0450/1030] loss = 0.662779
[e003 s0500/1030] loss = 0.612886
[e003 s0550/1030] loss = 0.568964
[e003 s0600/1030] loss = 0.535563
[e003 s0650/1030] loss = 0.508658
[e003 s0700/1030] loss = 0.489294
[e003 s0750/1030] loss = 0.470372
[e003 s0800/1030] loss = 0.451955
[e003 s0850/1030] loss = 0.440506
[e003 s0900/1030] loss = 0.430583
[e003 s0950/1030] loss = 0.429684
[e003 s1000/1030] loss = 0.414814
Epoch 003: train_loss = 0.412484  MAE/GAME0 = 22.567  RMSE = 52.584  GAME1 = 26.068  GAME2 = 29.882  GAME3 = 33.833  lr = 5.62e-06  time = 29.0s
[e004 s0001/1030] loss = 0.071017
[e004 s0050/1030] loss = 0.184885
[e004 s0100/1030] loss = 0.192913
[e004 s0150/1030] loss = 0.180217
[e004 s0200/1030] loss = 0.169162
[e004 s0250/1030] loss = 0.161333
[e004 s0300/1030] loss = 0.163636
[e004 s0350/1030] loss = 0.180089
