[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_shift_tuned_e400_seed1_13331733.pbs101_20260323_132214.log
[job] name=train_rgbt_adaptive_fpn_lite_shift_tuned_e400_seed1 id=13331733.pbs101 host=x1000c2s0b0n0 time=Mon Mar 23 13:22:14 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] thermal_shift_px = 4  thermal_shift_p = 0.75
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=9 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt_shift.py:526: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=173124
[e001 s0001/1030] loss = 0.088020
[e001 s0050/1030] loss = 0.232543
[e001 s0100/1030] loss = 0.203635
[e001 s0150/1030] loss = 0.245866
[e001 s0200/1030] loss = 0.300344
[e001 s0250/1030] loss = 0.347848
[e001 s0300/1030] loss = 0.358789
[e001 s0350/1030] loss = 0.357951
[e001 s0400/1030] loss = 0.339448
[e001 s0450/1030] loss = 0.744334
[e001 s0500/1030] loss = 0.685324
[e001 s0550/1030] loss = 0.677455
[e001 s0600/1030] loss = 0.642348
[e001 s0650/1030] loss = 0.614739
[e001 s0700/1030] loss = 0.585291
[e001 s0750/1030] loss = 0.560796
[e001 s0800/1030] loss = 0.556443
[e001 s0850/1030] loss = 0.543553
[e001 s0900/1030] loss = 0.529002
[e001 s0950/1030] loss = 0.516206
[e001 s1000/1030] loss = 0.503592
Epoch 001: train_loss = 0.495251  MAE/GAME0 = 18.449  RMSE = 42.114  GAME1 = 22.293  GAME2 = 26.485  GAME3 = 31.280  lr = 1.52e-06  kd = 1.00  time = 26.7s
[e002 s0001/1030] loss = 0.044409
[e002 s0050/1030] loss = 0.641867
[e002 s0100/1030] loss = 0.457758
[e002 s0150/1030] loss = 0.389550
[e002 s0200/1030] loss = 0.397366
[e002 s0250/1030] loss = 0.416670
[e002 s0300/1030] loss = 0.419241
[e002 s0350/1030] loss = 0.435824
[e002 s0400/1030] loss = 0.407481
[e002 s0450/1030] loss = 0.387531
[e002 s0500/1030] loss = 0.373019
[e002 s0550/1030] loss = 0.365344
[e002 s0600/1030] loss = 0.361743
[e002 s0650/1030] loss = 0.349720
[e002 s0700/1030] loss = 0.343945
[e002 s0750/1030] loss = 0.336835
[e002 s0800/1030] loss = 0.331930
[e002 s0850/1030] loss = 0.326362
[e002 s0900/1030] loss = 0.328475
[e002 s0950/1030] loss = 0.324258
[e002 s1000/1030] loss = 0.316152
Epoch 002: train_loss = 0.494637  MAE/GAME0 = 18.444  RMSE = 42.107  GAME1 = 22.288  GAME2 = 26.479  GAME3 = 31.275  lr = 1.58e-06  kd = 1.00  time = 22.9s
[e003 s0001/1030] loss = 0.313663
[e003 s0050/1030] loss = 0.209484
[e003 s0100/1030] loss = 0.196136
[e003 s0150/1030] loss = 1.419818
[e003 s0200/1030] loss = 1.144857
[e003 s0250/1030] loss = 0.951350
[e003 s0300/1030] loss = 0.887300
[e003 s0350/1030] loss = 0.819656
[e003 s0400/1030] loss = 0.801298
[e003 s0450/1030] loss = 0.739221
[e003 s0500/1030] loss = 0.705015
[e003 s0550/1030] loss = 0.658906
[e003 s0600/1030] loss = 0.618100
[e003 s0650/1030] loss = 0.616035
[e003 s0700/1030] loss = 0.594951
[e003 s0750/1030] loss = 0.572488
[e003 s0800/1030] loss = 0.550426
[e003 s0850/1030] loss = 0.530666
[e003 s0900/1030] loss = 0.518877
[e003 s0950/1030] loss = 0.511137
[e003 s1000/1030] loss = 0.500741
Epoch 003: train_loss = 0.493553  MAE/GAME0 = 18.417  RMSE = 42.064  GAME1 = 22.261  GAME2 = 26.451  GAME3 = 31.255  lr = 1.69e-06  kd = 1.00  time = 23.2s
[e004 s0001/1030] loss = 0.087559
[e004 s0050/1030] loss = 0.181319
