[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_tuned_e400_13207818.pbs101_20260317_173212.log
[job] name=train_rgbt_adaptive_fpn_lite_tuned_e400 id=13207818.pbs101 host=x1000c3s5b0n0 time=Tue Mar 17 17:32:12 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=9 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:474: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=173124
[e001 s0001/1030] loss = 0.263594
[e001 s0050/1030] loss = 0.431998
[e001 s0100/1030] loss = 0.301042
[e001 s0150/1030] loss = 0.261024
[e001 s0200/1030] loss = 0.254523
[e001 s0250/1030] loss = 0.293201
[e001 s0300/1030] loss = 0.280126
[e001 s0350/1030] loss = 0.293001
[e001 s0400/1030] loss = 0.291001
[e001 s0450/1030] loss = 0.683230
[e001 s0500/1030] loss = 0.638478
[e001 s0550/1030] loss = 0.599779
[e001 s0600/1030] loss = 0.578641
[e001 s0650/1030] loss = 0.555155
[e001 s0700/1030] loss = 0.537665
[e001 s0750/1030] loss = 0.522213
[e001 s0800/1030] loss = 0.507469
[e001 s0850/1030] loss = 0.516693
[e001 s0900/1030] loss = 0.503685
[e001 s0950/1030] loss = 0.505287
[e001 s1000/1030] loss = 0.492918
Epoch 001: train_loss = 0.495231  MAE/GAME0 = 18.442  RMSE = 42.103  GAME1 = 22.287  GAME2 = 26.481  GAME3 = 31.278  lr = 1.52e-06  time = 67.1s
[e002 s0001/1030] loss = 0.107918
[e002 s0050/1030] loss = 0.186905
[e002 s0100/1030] loss = 0.231930
[e002 s0150/1030] loss = 0.244344
[e002 s0200/1030] loss = 0.256802
[e002 s0250/1030] loss = 0.256328
[e002 s0300/1030] loss = 0.263438
[e002 s0350/1030] loss = 0.773519
[e002 s0400/1030] loss = 0.725153
[e002 s0450/1030] loss = 0.723891
[e002 s0500/1030] loss = 0.673560
[e002 s0550/1030] loss = 0.641456
[e002 s0600/1030] loss = 0.623549
[e002 s0650/1030] loss = 0.598615
[e002 s0700/1030] loss = 0.574398
[e002 s0750/1030] loss = 0.552277
[e002 s0800/1030] loss = 0.539397
[e002 s0850/1030] loss = 0.534225
[e002 s0900/1030] loss = 0.518942
[e002 s0950/1030] loss = 0.505823
[e002 s1000/1030] loss = 0.503342
Epoch 002: train_loss = 0.494683  MAE/GAME0 = 18.446  RMSE = 42.112  GAME1 = 22.291  GAME2 = 26.482  GAME3 = 31.278  lr = 1.58e-06  time = 23.3s
[e003 s0001/1030] loss = 0.078461
[e003 s0050/1030] loss = 0.195249
[e003 s0100/1030] loss = 0.265673
[e003 s0150/1030] loss = 0.407539
[e003 s0200/1030] loss = 1.294609
[e003 s0250/1030] loss = 1.071859
[e003 s0300/1030] loss = 0.978429
[e003 s0350/1030] loss = 0.868359
[e003 s0400/1030] loss = 0.798064
[e003 s0450/1030] loss = 0.741535
[e003 s0500/1030] loss = 0.692780
[e003 s0550/1030] loss = 0.646827
[e003 s0600/1030] loss = 0.615293
[e003 s0650/1030] loss = 0.583637
[e003 s0700/1030] loss = 0.564777
[e003 s0750/1030] loss = 0.545282
[e003 s0800/1030] loss = 0.525094
[e003 s0850/1030] loss = 0.517847
[e003 s0900/1030] loss = 0.509710
[e003 s0950/1030] loss = 0.506707
[e003 s1000/1030] loss = 0.493564
Epoch 003: train_loss = 0.493766  MAE/GAME0 = 18.460  RMSE = 42.137  GAME1 = 22.300  GAME2 = 26.486  GAME3 = 31.277  lr = 1.69e-06  time = 22.5s
[e004 s0001/1030] loss = 0.090819
[e004 s0050/1030] loss = 0.324112
[e004 s0100/1030] loss = 0.299246
[e004 s0150/1030] loss = 0.268407
[e004 s0200/1030] loss = 0.255802
[e004 s0250/1030] loss = 0.250451
