[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_fpn_lite_tuned_e400_seed2_13209446.pbs101_20260317_212151.log
[job] name=train_rgbt_adaptive_fpn_lite_tuned_e400_seed2 id=13209446.pbs101 host=x1000c2s0b0n0 time=Tue Mar 17 21:21:51 +08 2026
torch 2.6.0+cu118 cuda True
[init] warm-start base = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
[init] warm-start base from /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/outputs/train_rgbt_base_e400/13092178.pbs101_20260309_120948/best.pth (missing=9 unexpected=0)
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:474: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive_lite optimizer groups: backbone_params=16264064 head_params=173124
[e001 s0001/1030] loss = 0.065565
[e001 s0050/1030] loss = 0.485214
[e001 s0100/1030] loss = 0.351562
[e001 s0150/1030] loss = 0.429771
[e001 s0200/1030] loss = 0.381838
[e001 s0250/1030] loss = 0.331852
[e001 s0300/1030] loss = 0.315455
[e001 s0350/1030] loss = 0.306506
[e001 s0400/1030] loss = 0.309756
[e001 s0450/1030] loss = 0.319811
[e001 s0500/1030] loss = 0.321217
[e001 s0550/1030] loss = 0.309546
[e001 s0600/1030] loss = 0.329199
[e001 s0650/1030] loss = 0.323691
[e001 s0700/1030] loss = 0.317115
[e001 s0750/1030] loss = 0.550015
[e001 s0800/1030] loss = 0.527972
[e001 s0850/1030] loss = 0.508298
[e001 s0900/1030] loss = 0.512836
[e001 s0950/1030] loss = 0.514537
[e001 s1000/1030] loss = 0.503665
Epoch 001: train_loss = 0.495255  MAE/GAME0 = 18.446  RMSE = 42.109  GAME1 = 22.291  GAME2 = 26.483  GAME3 = 31.279  lr = 1.52e-06  time = 63.0s
[e002 s0001/1030] loss = 0.598232
[e002 s0050/1030] loss = 0.239461
[e002 s0100/1030] loss = 0.250378
[e002 s0150/1030] loss = 0.306785
[e002 s0200/1030] loss = 0.273857
[e002 s0250/1030] loss = 0.276391
[e002 s0300/1030] loss = 0.307432
[e002 s0350/1030] loss = 0.303048
[e002 s0400/1030] loss = 0.758977
[e002 s0450/1030] loss = 0.695060
[e002 s0500/1030] loss = 0.647320
[e002 s0550/1030] loss = 0.614881
[e002 s0600/1030] loss = 0.617555
[e002 s0650/1030] loss = 0.593391
[e002 s0700/1030] loss = 0.577986
[e002 s0750/1030] loss = 0.549148
[e002 s0800/1030] loss = 0.535586
[e002 s0850/1030] loss = 0.515473
[e002 s0900/1030] loss = 0.512131
[e002 s0950/1030] loss = 0.509049
[e002 s1000/1030] loss = 0.498311
Epoch 002: train_loss = 0.494784  MAE/GAME0 = 18.446  RMSE = 42.110  GAME1 = 22.290  GAME2 = 26.481  GAME3 = 31.277  lr = 1.58e-06  time = 24.3s
[e003 s0001/1030] loss = 0.097130
[e003 s0050/1030] loss = 0.305593
[e003 s0100/1030] loss = 0.263468
[e003 s0150/1030] loss = 0.249363
[e003 s0200/1030] loss = 0.247711
[e003 s0250/1030] loss = 0.270433
[e003 s0300/1030] loss = 0.283035
[e003 s0350/1030] loss = 0.297157
[e003 s0400/1030] loss = 0.324036
[e003 s0450/1030] loss = 0.321108
[e003 s0500/1030] loss = 0.307618
[e003 s0550/1030] loss = 0.628051
[e003 s0600/1030] loss = 0.604302
[e003 s0650/1030] loss = 0.596996
[e003 s0700/1030] loss = 0.578053
[e003 s0750/1030] loss = 0.569739
[e003 s0800/1030] loss = 0.546735
[e003 s0850/1030] loss = 0.528112
[e003 s0900/1030] loss = 0.524880
[e003 s0950/1030] loss = 0.507454
[e003 s1000/1030] loss = 0.502268
Epoch 003: train_loss = 0.493739  MAE/GAME0 = 18.461  RMSE = 42.136  GAME1 = 22.302  GAME2 = 26.489  GAME3 = 31.279  lr = 1.69e-06  time = 23.0s
[e004 s0001/1030] loss = 0.024130
[e004 s0050/1030] loss = 0.307753
[e004 s0100/1030] loss = 0.319838
[e004 s0150/1030] loss = 0.345874
[e004 s0200/1030] loss = 0.350907
[e004 s0250/1030] loss = 0.311356
