[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e100_sanity_12749741.pbs101_20260117_014100.log
[job] name=train_rgbt_adaptive_late_e100_sanity id=12749741.pbs101 host=x1000c0s3b0n0 time=Sat Jan 17 01:41:00 +08 2026
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:385: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 1282.213135
[e001 s0050/1030] loss = 612.264936
[e001 s0100/1030] loss = 307.241201
[e001 s0150/1030] loss = 204.855262
[e001 s0200/1030] loss = 153.643636
[e001 s0250/1030] loss = 122.915848
[e001 s0300/1030] loss = 102.430589
[e001 s0350/1030] loss = 87.798132
[e001 s0400/1030] loss = 76.823777
[e001 s0450/1030] loss = 68.288131
[e001 s0500/1030] loss = 61.459636
[e001 s0550/1030] loss = 55.873705
[e001 s0600/1030] loss = 51.218061
[e001 s0650/1030] loss = 47.278365
[e001 s0700/1030] loss = 43.901488
[e001 s0750/1030] loss = 40.974884
[e001 s0800/1030] loss = 38.414226
[e001 s0850/1030] loss = 36.154756
[e001 s0900/1030] loss = 34.146310
[e001 s0950/1030] loss = 32.349208
[e001 s1000/1030] loss = 30.731861
Epoch 001: train_loss = 29.836823  MAE/GAME0 = 11.425  RMSE = 24.663  GAME1 = 14.748  GAME2 = 17.086  GAME3 = 18.636  lr = 1.00e-05  time = 23.6s
[e002 s0001/1030] loss = 0.000267
[e002 s0050/1030] loss = 0.002365
[e002 s0100/1030] loss = 0.002066
[e002 s0150/1030] loss = 0.001832
[e002 s0200/1030] loss = 0.002044
[e002 s0250/1030] loss = 0.002045
[e002 s0300/1030] loss = 0.001948
[e002 s0350/1030] loss = 0.001998
[e002 s0400/1030] loss = 0.001944
[e002 s0450/1030] loss = 0.002146
[e002 s0500/1030] loss = 0.002141
[e002 s0550/1030] loss = 0.002438
