[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e100_sanity_12759467.pbs101_20260119_215045.log
[job] name=train_rgbt_adaptive_late_e100_sanity id=12759467.pbs101 host=x1000c0s2b0n0 time=Mon Jan 19 21:50:45 +08 2026
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:377: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 0.721010
[e001 s0050/1030] loss = 0.695089
[e001 s0100/1030] loss = 0.750008
[e001 s0150/1030] loss = 0.782264
[e001 s0200/1030] loss = 0.753644
[e001 s0250/1030] loss = 0.750659
[e001 s0300/1030] loss = 0.731364
[e001 s0350/1030] loss = 0.728892
[e001 s0400/1030] loss = 0.740296
[e001 s0450/1030] loss = 0.746346
[e001 s0500/1030] loss = 0.741156
[e001 s0550/1030] loss = 0.733252
[e001 s0600/1030] loss = 0.731470
[e001 s0650/1030] loss = 0.729970
[e001 s0700/1030] loss = 0.737850
[e001 s0750/1030] loss = 0.734998
[e001 s0800/1030] loss = 0.732266
[e001 s0850/1030] loss = 0.725134
[e001 s0900/1030] loss = 0.726004
[e001 s0950/1030] loss = 0.723637
[e001 s1000/1030] loss = 0.725325
Epoch 001: train_loss = 0.721864  MAE/GAME0 = 84.475  RMSE = 105.951  GAME1 = 117.429  GAME2 = 177.193  GAME3 = 192.574  lr = 1.00e-05  time = 23.0s
[e002 s0001/1030] loss = 1.660129
[e002 s0050/1030] loss = 0.809189
[e002 s0100/1030] loss = 0.810085
[e002 s0150/1030] loss = 0.762229
[e002 s0200/1030] loss = 0.743693
[e002 s0250/1030] loss = 0.718189
[e002 s0300/1030] loss = 0.701234
[e002 s0350/1030] loss = 0.696585
[e002 s0400/1030] loss = 0.698334
[e002 s0450/1030] loss = 0.693022
[e002 s0500/1030] loss = 0.704422
[e002 s0550/1030] loss = 0.707839
[e002 s0600/1030] loss = 0.703367
[e002 s0650/1030] loss = 0.697576
[e002 s0700/1030] loss = 0.701204
[e002 s0750/1030] loss = 0.699410
[e002 s0800/1030] loss = 0.699482
[e002 s0850/1030] loss = 0.693334
[e002 s0900/1030] loss = 0.704584
[e002 s0950/1030] loss = 0.702237
[e002 s1000/1030] loss = 0.702460
Epoch 002: train_loss = 0.706204  MAE/GAME0 = 84.087  RMSE = 105.588  GAME1 = 117.073  GAME2 = 176.855  GAME3 = 192.179  lr = 1.00e-05  time = 10.8s
[e003 s0001/1030] loss = 0.930259
[e003 s0050/1030] loss = 0.761033
[e003 s0100/1030] loss = 0.777018
[e003 s0150/1030] loss = 0.737882
[e003 s0200/1030] loss = 0.729336
[e003 s0250/1030] loss = 0.714959
[e003 s0300/1030] loss = 0.705678
[e003 s0350/1030] loss = 0.717280
[e003 s0400/1030] loss = 0.709574
[e003 s0450/1030] loss = 0.720919
[e003 s0500/1030] loss = 0.715235
[e003 s0550/1030] loss = 0.718667
[e003 s0600/1030] loss = 0.733627
[e003 s0650/1030] loss = 0.727967
[e003 s0700/1030] loss = 0.720580
[e003 s0750/1030] loss = 0.720970
[e003 s0800/1030] loss = 0.715553
[e003 s0850/1030] loss = 0.715458
[e003 s0900/1030] loss = 0.714807
[e003 s0950/1030] loss = 0.716471
[e003 s1000/1030] loss = 0.718655
Epoch 003: train_loss = 0.714048  MAE/GAME0 = 83.336  RMSE = 104.898  GAME1 = 116.447  GAME2 = 176.107  GAME3 = 191.378  lr = 1.00e-05  time = 10.9s
[e004 s0001/1030] loss = 0.554760
[e004 s0050/1030] loss = 0.637835
[e004 s0100/1030] loss = 0.639427
[e004 s0150/1030] loss = 0.650408
[e004 s0200/1030] loss = 0.679681
[e004 s0250/1030] loss = 0.683481
[e004 s0300/1030] loss = 0.662113
[e004 s0350/1030] loss = 0.675647
[e004 s0400/1030] loss = 0.683410
[e004 s0450/1030] loss = 0.686347
[e004 s0500/1030] loss = 0.689318
[e004 s0550/1030] loss = 0.693409
[e004 s0600/1030] loss = 0.688703
[e004 s0650/1030] loss = 0.692193
[e004 s0700/1030] loss = 0.691746
[e004 s0750/1030] loss = 0.697443
[e004 s0800/1030] loss = 0.700152
[e004 s0850/1030] loss = 0.697706
[e004 s0900/1030] loss = 0.698144
[e004 s0950/1030] loss = 0.701537
[e004 s1000/1030] loss = 0.698913
Epoch 004: train_loss = 0.697799  MAE/GAME0 = 83.347  RMSE = 104.907  GAME1 = 116.457  GAME2 = 176.119  GAME3 = 191.390  lr = 1.00e-05  time = 10.8s
[e005 s0001/1030] loss = 0.933623
[e005 s0050/1030] loss = 0.770822
[e005 s0100/1030] loss = 0.786540
[e005 s0150/1030] loss = 0.769649
[e005 s0200/1030] loss = 0.747150
[e005 s0250/1030] loss = 0.734767
[e005 s0300/1030] loss = 0.741987
[e005 s0350/1030] loss = 0.734327
[e005 s0400/1030] loss = 0.730484
[e005 s0450/1030] loss = 0.724419
[e005 s0500/1030] loss = 0.720255
[e005 s0550/1030] loss = 0.714136
[e005 s0600/1030] loss = 0.710737
[e005 s0650/1030] loss = 0.715140
[e005 s0700/1030] loss = 0.712091
[e005 s0750/1030] loss = 0.704890
[e005 s0800/1030] loss = 0.704056
[e005 s0850/1030] loss = 0.707735
[e005 s0900/1030] loss = 0.705450
[e005 s0950/1030] loss = 0.707428
[e005 s1000/1030] loss = 0.708921
Epoch 005: train_loss = 0.703808  MAE/GAME0 = 83.367  RMSE = 104.925  GAME1 = 116.474  GAME2 = 176.139  GAME3 = 191.412  lr = 1.00e-05  time = 11.0s
[e006 s0001/1030] loss = 0.565068
[e006 s0050/1030] loss = 0.540140
[e006 s0100/1030] loss = 0.479997
[e006 s0150/1030] loss = 0.432978
[e006 s0200/1030] loss = 0.379574
[e006 s0250/1030] loss = 0.340262
[e006 s0300/1030] loss = 0.304874
[e006 s0350/1030] loss = 0.274691
[e006 s0400/1030] loss = 0.250227
[e006 s0450/1030] loss = 0.229117
[e006 s0500/1030] loss = 0.210582
[e006 s0550/1030] loss = 0.194317
[e006 s0600/1030] loss = 0.180480
[e006 s0650/1030] loss = 0.168226
[e006 s0700/1030] loss = 0.157306
[e006 s0750/1030] loss = 0.147562
[e006 s0800/1030] loss = 0.139160
[e006 s0850/1030] loss = 0.131368
[e006 s0900/1030] loss = 0.124494
[e006 s0950/1030] loss = 0.118397
[e006 s1000/1030] loss = 0.112756
Epoch 006: train_loss = 0.109581  MAE/GAME0 = 60.914  RMSE = 86.641  GAME1 = 62.687  GAME2 = 67.991  GAME3 = 69.340  lr = 1.00e-05  time = 20.1s
[e007 s0001/1030] loss = 0.000951
[e007 s0050/1030] loss = 0.005513
[e007 s0100/1030] loss = 0.004401
[e007 s0150/1030] loss = 0.004454
[e007 s0200/1030] loss = 0.004439
[e007 s0250/1030] loss = 0.004104
[e007 s0300/1030] loss = 0.003897
[e007 s0350/1030] loss = 0.004269
[e007 s0400/1030] loss = 0.004033
[e007 s0450/1030] loss = 0.003988
[e007 s0500/1030] loss = 0.004001
[e007 s0550/1030] loss = 0.004811
[e007 s0600/1030] loss = 0.004878
[e007 s0650/1030] loss = 0.004731
[e007 s0700/1030] loss = 0.004938
[e007 s0750/1030] loss = 0.004796
[e007 s0800/1030] loss = 0.004663
[e007 s0850/1030] loss = 0.004582
[e007 s0900/1030] loss = 0.004535
[e007 s0950/1030] loss = 0.004440
[e007 s1000/1030] loss = 0.004360
Epoch 007: train_loss = 0.004352  MAE/GAME0 = 65.252  RMSE = 89.717  GAME1 = 65.298  GAME2 = 65.539  GAME3 = 65.615  lr = 1.00e-05  time = 20.2s
[e008 s0001/1030] loss = 0.002588
[e008 s0050/1030] loss = 0.002736
[e008 s0100/1030] loss = 0.002943
[e008 s0150/1030] loss = 0.003083
[e008 s0200/1030] loss = 0.002958
[e008 s0250/1030] loss = 0.002743
[e008 s0300/1030] loss = 0.002983
[e008 s0350/1030] loss = 0.003104
[e008 s0400/1030] loss = 0.002964
[e008 s0450/1030] loss = 0.003252
[e008 s0500/1030] loss = 0.003925
[e008 s0550/1030] loss = 0.004084
[e008 s0600/1030] loss = 0.004237
[e008 s0650/1030] loss = 0.004125
[e008 s0700/1030] loss = 0.004295
[e008 s0750/1030] loss = 0.004152
[e008 s0800/1030] loss = 0.004121
[e008 s0850/1030] loss = 0.004118
[e008 s0900/1030] loss = 113.606325
[e008 s0950/1030] loss = 107.627212
[e008 s1000/1030] loss = 102.246040
Epoch 008: train_loss = 99.268142  MAE/GAME0 = 65.417  RMSE = 89.837  GAME1 = 65.423  GAME2 = 65.462  GAME3 = 65.478  lr = 1.00e-05  time = 19.8s
[e009 s0001/1030] loss = 0.003845
[e009 s0050/1030] loss = 3539.374921
[e009 s0100/1030] loss = 1769.690234
[e009 s0150/1030] loss = 1179.794624
[e009 s0200/1030] loss = 917.725115
[e009 s0250/1030] loss = 742.726765
[e009 s0300/1030] loss = 618.939514
[e009 s0350/1030] loss = 534.544136
[e009 s0400/1030] loss = 468.332988
[e009 s0450/1030] loss = 416.812085
[e009 s0500/1030] loss = 383.708612
[e009 s0550/1030] loss = 349.067037
[e009 s0600/1030] loss = 322.931186
[e009 s0650/1030] loss = 298.885551
[e009 s0700/1030] loss = 277.536815
[e009 s0750/1030] loss = 259.034641
[e009 s0800/1030] loss = 242.845226
[e009 s0850/1030] loss = 228.560354
[e009 s0900/1030] loss = 216.341798
[e009 s0950/1030] loss = 205.299556
[e009 s1000/1030] loss = 195.356824
Epoch 009: train_loss = 189.666912  MAE/GAME0 = 65.448  RMSE = 89.860  GAME1 = 65.448  GAME2 = 65.451  GAME3 = 65.452  lr = 1.00e-05  time = 19.7s
[e010 s0001/1030] loss = 0.002524
[e010 s0050/1030] loss = 7.440480
[e010 s0100/1030] loss = 12.604087
[e010 s0150/1030] loss = 8.405410
[e010 s0200/1030] loss = 8.270417
[e010 s0250/1030] loss = 6.617007
[e010 s0300/1030] loss = 5.515281
[e010 s0350/1030] loss = 4.727872
[e010 s0400/1030] loss = 5.247778
[e010 s0450/1030] loss = 4.665200
[e010 s0500/1030] loss = 4.365449
[e010 s0550/1030] loss = 3.968829
[e010 s0600/1030] loss = 3.638735
[e010 s0650/1030] loss = 3.528888
