[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e100_sanity_12791742.pbs101_20260126_163755.log
[job] name=train_rgbt_adaptive_late_e100_sanity id=12791742.pbs101 host=x1000c1s3b0n0 time=Mon Jan 26 16:37:55 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:384: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 409.861084
[e001 s0050/1030] loss = 13.408518
[e001 s0100/1030] loss = 6.721866
[e001 s0150/1030] loss = 4.493051
[e001 s0200/1030] loss = 3.377345
[e001 s0250/1030] loss = 2.708286
[e001 s0300/1030] loss = 2.261099
[e001 s0350/1030] loss = 1.941781
[e001 s0400/1030] loss = 1.702048
[e001 s0450/1030] loss = 1.517597
[e001 s0500/1030] loss = 1.367997
[e001 s0550/1030] loss = 1.245472
[e001 s0600/1030] loss = 1.143753
[e001 s0650/1030] loss = 1.057623
[e001 s0700/1030] loss = 0.983942
[e001 s0750/1030] loss = 0.919830
[e001 s0800/1030] loss = 0.863474
[e001 s0850/1030] loss = 0.814451
[e001 s0900/1030] loss = 0.770192
[e001 s0950/1030] loss = 0.731093
[e001 s1000/1030] loss = 0.695441
Epoch 001: train_loss = 0.675754  MAE/GAME0 = 22.200  RMSE = 41.515  GAME1 = 22.829  GAME2 = 23.661  GAME3 = 24.108  lr = 1.00e-05  time = 19.5s
[e002 s0001/1030] loss = 0.001051
[e002 s0050/1030] loss = 0.015569
[e002 s0100/1030] loss = 0.016358
[e002 s0150/1030] loss = 0.019197
[e002 s0200/1030] loss = 0.018789
[e002 s0250/1030] loss = 0.019586
[e002 s0300/1030] loss = 0.020863
[e002 s0350/1030] loss = 0.021977
[e002 s0400/1030] loss = 0.021709
[e002 s0450/1030] loss = 0.023021
[e002 s0500/1030] loss = 0.022455
[e002 s0550/1030] loss = 0.021875
[e002 s0600/1030] loss = 0.021671
[e002 s0650/1030] loss = 0.021751
[e002 s0700/1030] loss = 0.021944
[e002 s0750/1030] loss = 0.021549
[e002 s0800/1030] loss = 0.021572
[e002 s0850/1030] loss = 0.021713
[e002 s0900/1030] loss = 0.021479
[e002 s0950/1030] loss = 0.021439
[e002 s1000/1030] loss = 0.021565
Epoch 002: train_loss = 0.021535  MAE/GAME0 = 22.899  RMSE = 41.997  GAME1 = 23.154  GAME2 = 23.413  GAME3 = 23.552  lr = 1.00e-05  time = 14.8s
[e003 s0001/1030] loss = 0.002903
[e003 s0050/1030] loss = 0.017684
[e003 s0100/1030] loss = 0.019374
[e003 s0150/1030] loss = 0.020239
[e003 s0200/1030] loss = 0.025062
[e003 s0250/1030] loss = 0.022891
[e003 s0300/1030] loss = 0.023018
[e003 s0350/1030] loss = 0.021881
[e003 s0400/1030] loss = 0.022608
[e003 s0450/1030] loss = 0.022082
