[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e100_sanity_12838546.pbs101_20260206_140545.log
[job] name=train_rgbt_adaptive_late_e100_sanity id=12838546.pbs101 host=x1000c0s5b0n0 time=Fri Feb  6 14:05:45 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 160921.921875
[e001 s0050/1030] loss = 6438.973167
[e001 s0100/1030] loss = 3414.195166
[e001 s0150/1030] loss = 2402.966943
[e001 s0200/1030] loss = 1895.086243
[e001 s0250/1030] loss = 1589.738468
[e001 s0300/1030] loss = 1385.987148
[e001 s0350/1030] loss = 1239.726508
[e001 s0400/1030] loss = 1130.117099
[e001 s0450/1030] loss = 1044.744976
[e001 s0500/1030] loss = 976.815535
[e001 s0550/1030] loss = 921.008072
[e001 s0600/1030] loss = 874.096433
[e001 s0650/1030] loss = 834.283922
[e001 s0700/1030] loss = 800.327393
[e001 s0750/1030] loss = 770.933499
[e001 s0800/1030] loss = 745.282374
[e001 s0850/1030] loss = 722.258688
[e001 s0900/1030] loss = 702.284253
[e001 s0950/1030] loss = 684.106206
[e001 s1000/1030] loss = 667.988126
Epoch 001: train_loss = 658.998696  MAE/GAME0 = 520.638  RMSE = 521.830  GAME1 = 521.206  GAME2 = 523.250  GAME3 = 522.819  lr = 1.00e-05  time = 25.2s
[e002 s0001/1030] loss = 376.052490
[e002 s0050/1030] loss = 361.689279
[e002 s0100/1030] loss = 362.019366
[e002 s0150/1030] loss = 359.373753
[e002 s0200/1030] loss = 359.501926
[e002 s0250/1030] loss = 358.642130
[e002 s0300/1030] loss = 357.916026
[e002 s0350/1030] loss = 358.080923
[e002 s0400/1030] loss = 358.530892
[e002 s0450/1030] loss = 357.948088
[e002 s0500/1030] loss = 358.396834
[e002 s0550/1030] loss = 358.673965
[e002 s0600/1030] loss = 358.921083
[e002 s0650/1030] loss = 358.782447
[e002 s0700/1030] loss = 358.506696
[e002 s0750/1030] loss = 358.686796
[e002 s0800/1030] loss = 358.655686
[e002 s0850/1030] loss = 358.474534
[e002 s0900/1030] loss = 358.581436
[e002 s0950/1030] loss = 358.577835
[e002 s1000/1030] loss = 358.414322
