[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e100_sanity_12844480.pbs101_20260207_171920.log
[job] name=train_rgbt_adaptive_late_e100_sanity id=12844480.pbs101 host=x1000c3s0b0n0 time=Sat Feb  7 17:19:20 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 160963.328125
[e001 s0050/1030] loss = 6100.740183
[e001 s0100/1030] loss = 3063.060495
[e001 s0150/1030] loss = 2047.745426
[e001 s0200/1030] loss = 1539.540233
[e001 s0250/1030] loss = 1233.782912
[e001 s0300/1030] loss = 1029.804233
[e001 s0350/1030] loss = 883.737825
[e001 s0400/1030] loss = 774.266870
[e001 s0450/1030] loss = 689.941059
[e001 s0500/1030] loss = 621.502299
[e001 s0550/1030] loss = 565.424684
[e001 s0600/1030] loss = 518.709024
[e001 s0650/1030] loss = 479.132571
[e001 s0700/1030] loss = 445.291591
[e001 s0750/1030] loss = 415.910259
[e001 s0800/1030] loss = 390.157763
[e001 s0850/1030] loss = 367.576510
[e001 s0900/1030] loss = 347.331830
[e001 s0950/1030] loss = 329.344448
[e001 s1000/1030] loss = 313.047490
Epoch 001: train_loss = 304.028237  MAE/GAME0 = 22.453  RMSE = 41.681  GAME1 = 23.123  GAME2 = 23.715  GAME3 = 23.934  lr = 1.00e-05  time = 75.8s
[e002 s0001/1030] loss = 0.068552
[e002 s0050/1030] loss = 2.399547
[e002 s0100/1030] loss = 2.579196
[e002 s0150/1030] loss = 3.273090
[e002 s0200/1030] loss = 3.121152
[e002 s0250/1030] loss = 3.149844
[e002 s0300/1030] loss = 3.588628
[e002 s0350/1030] loss = 4.224334
[e002 s0400/1030] loss = 4.250189
[e002 s0450/1030] loss = 4.695936
[e002 s0500/1030] loss = 4.540696
[e002 s0550/1030] loss = 4.363226
[e002 s0600/1030] loss = 4.281302
[e002 s0650/1030] loss = 4.350457
[e002 s0700/1030] loss = 4.351408
[e002 s0750/1030] loss = 4.203817
[e002 s0800/1030] loss = 4.186883
[e002 s0850/1030] loss = 4.189361
[e002 s0900/1030] loss = 4.096325
[e002 s0950/1030] loss = 4.103159
[e002 s1000/1030] loss = 4.074970
Epoch 002: train_loss = 4.036349  MAE/GAME0 = 22.963  RMSE = 42.024  GAME1 = 23.197  GAME2 = 23.420  GAME3 = 23.487  lr = 1.00e-05  time = 15.1s
[e003 s0001/1030] loss = 0.100244
[e003 s0050/1030] loss = 2.072291
[e003 s0100/1030] loss = 2.414715
[e003 s0150/1030] loss = 3.074589
[e003 s0200/1030] loss = 5.703910
[e003 s0250/1030] loss = 4.940038
[e003 s0300/1030] loss = 4.751397
[e003 s0350/1030] loss = 4.352406
[e003 s0400/1030] loss = 4.460411
[e003 s0450/1030] loss = 4.216407
[e003 s0500/1030] loss = 4.079507
[e003 s0550/1030] loss = 3.902347
[e003 s0600/1030] loss = 3.850741
[e003 s0650/1030] loss = 3.730827
[e003 s0700/1030] loss = 3.685216
[e003 s0750/1030] loss = 3.675339
[e003 s0800/1030] loss = 3.616038
[e003 s0850/1030] loss = 3.646484
[e003 s0900/1030] loss = 3.712858
[e003 s0950/1030] loss = 3.715191
[e003 s1000/1030] loss = 3.662053
Epoch 003: train_loss = 3.682524  MAE/GAME0 = 23.120  RMSE = 42.134  GAME1 = 23.224  GAME2 = 23.325  GAME3 = 23.356  lr = 1.00e-05  time = 15.2s
[e004 s0001/1030] loss = 0.112123
[e004 s0050/1030] loss = 2.874462
[e004 s0100/1030] loss = 2.747732
[e004 s0150/1030] loss = 2.939751
[e004 s0200/1030] loss = 2.999497
[e004 s0250/1030] loss = 2.767079
[e004 s0300/1030] loss = 3.012763
[e004 s0350/1030] loss = 3.277944
[e004 s0400/1030] loss = 3.175737
[e004 s0450/1030] loss = 3.148376
[e004 s0500/1030] loss = 3.022768
[e004 s0550/1030] loss = 2.962456
[e004 s0600/1030] loss = 3.098527
[e004 s0650/1030] loss = 3.211380
[e004 s0700/1030] loss = 3.064167
[e004 s0750/1030] loss = 3.122699
[e004 s0800/1030] loss = 3.152257
[e004 s0850/1030] loss = 3.343008
[e004 s0900/1030] loss = 3.328546
[e004 s0950/1030] loss = 3.533313
[e004 s1000/1030] loss = 3.592003
Epoch 004: train_loss = 3.736186  MAE/GAME0 = 23.170  RMSE = 42.174  GAME1 = 23.231  GAME2 = 23.295  GAME3 = 23.313  lr = 1.00e-05  time = 15.1s
[e005 s0001/1030] loss = 0.224998
[e005 s0050/1030] loss = 2.340326
[e005 s0100/1030] loss = 2.360072
[e005 s0150/1030] loss = 2.835288
[e005 s0200/1030] loss = 2.813131
[e005 s0250/1030] loss = 3.274933
[e005 s0300/1030] loss = 3.068277
[e005 s0350/1030] loss = 2.858405
[e005 s0400/1030] loss = 3.305449
[e005 s0450/1030] loss = 3.180600
[e005 s0500/1030] loss = 3.133860
[e005 s0550/1030] loss = 3.110651
[e005 s0600/1030] loss = 2.994825
[e005 s0650/1030] loss = 3.199738
[e005 s0700/1030] loss = 3.165616
[e005 s0750/1030] loss = 3.170159
[e005 s0800/1030] loss = 3.048718
[e005 s0850/1030] loss = 3.044825
[e005 s0900/1030] loss = 3.021513
[e005 s0950/1030] loss = 2.969268
[e005 s1000/1030] loss = 3.028140
Epoch 005: train_loss = 2.994956  MAE/GAME0 = 23.195  RMSE = 42.197  GAME1 = 23.238  GAME2 = 23.281  GAME3 = 23.294  lr = 1.00e-05  time = 15.1s
[e006 s0001/1030] loss = 0.049768
[e006 s0050/1030] loss = 2.288321
[e006 s0100/1030] loss = 2.631131
[e006 s0150/1030] loss = 2.676849
[e006 s0200/1030] loss = 2.740775
[e006 s0250/1030] loss = 2.598950
[e006 s0300/1030] loss = 2.588672
[e006 s0350/1030] loss = 2.579369
[e006 s0400/1030] loss = 3.770763
[e006 s0450/1030] loss = 3.579113
[e006 s0500/1030] loss = 3.451540
[e006 s0550/1030] loss = 3.404070
[e006 s0600/1030] loss = 3.303909
[e006 s0650/1030] loss = 3.712956
[e006 s0700/1030] loss = 3.738149
[e006 s0750/1030] loss = 3.816489
[e006 s0800/1030] loss = 3.894066
[e006 s0850/1030] loss = 3.788544
[e006 s0900/1030] loss = 3.770604
[e006 s0950/1030] loss = 3.899209
[e006 s1000/1030] loss = 3.908204
Epoch 006: train_loss = 3.914468  MAE/GAME0 = 23.213  RMSE = 42.214  GAME1 = 23.243  GAME2 = 23.271  GAME3 = 23.280  lr = 1.00e-05  time = 14.9s
[e007 s0001/1030] loss = 8.647548
[e007 s0050/1030] loss = 3.874480
[e007 s0100/1030] loss = 3.763333
[e007 s0150/1030] loss = 3.271590
[e007 s0200/1030] loss = 3.174539
[e007 s0250/1030] loss = 3.363537
[e007 s0300/1030] loss = 3.334000
[e007 s0350/1030] loss = 3.868614
[e007 s0400/1030] loss = 4.366388
[e007 s0450/1030] loss = 4.613705
[e007 s0500/1030] loss = 4.430561
[e007 s0550/1030] loss = 4.375204
[e007 s0600/1030] loss = 4.213087
[e007 s0650/1030] loss = 4.079444
[e007 s0700/1030] loss = 3.939841
[e007 s0750/1030] loss = 3.839956
[e007 s0800/1030] loss = 3.731705
[e007 s0850/1030] loss = 3.688219
[e007 s0900/1030] loss = 3.685989
[e007 s0950/1030] loss = 3.692501
[e007 s1000/1030] loss = 3.670733
Epoch 007: train_loss = 3.647959  MAE/GAME0 = 23.224  RMSE = 42.226  GAME1 = 23.244  GAME2 = 23.264  GAME3 = 23.268  lr = 1.00e-05  time = 14.8s
[e008 s0001/1030] loss = 6.657048
[e008 s0050/1030] loss = 2.230759
[e008 s0100/1030] loss = 3.020637
[e008 s0150/1030] loss = 3.549696
[e008 s0200/1030] loss = 3.389661
[e008 s0250/1030] loss = 3.321211
[e008 s0300/1030] loss = 3.329085
[e008 s0350/1030] loss = 3.207757
[e008 s0400/1030] loss = 3.151595
[e008 s0450/1030] loss = 3.742207
[e008 s0500/1030] loss = 3.598007
[e008 s0550/1030] loss = 3.514299
[e008 s0600/1030] loss = 3.524506
[e008 s0650/1030] loss = 3.666143
[e008 s0700/1030] loss = 3.661565
[e008 s0750/1030] loss = 3.570606
[e008 s0800/1030] loss = 3.532883
[e008 s0850/1030] loss = 3.445078
[e008 s0900/1030] loss = 3.449024
[e008 s0950/1030] loss = 3.408195
[e008 s1000/1030] loss = 3.310141
Epoch 008: train_loss = 3.327347  MAE/GAME0 = 23.232  RMSE = 42.234  GAME1 = 23.246  GAME2 = 23.257  GAME3 = 23.260  lr = 1.00e-05  time = 14.8s
[e009 s0001/1030] loss = 1.763170
[e009 s0050/1030] loss = 4.239754
[e009 s0100/1030] loss = 5.030519
[e009 s0150/1030] loss = 5.270099
[e009 s0200/1030] loss = 5.539191
[e009 s0250/1030] loss = 4.660309
[e009 s0300/1030] loss = 4.452059
[e009 s0350/1030] loss = 4.091162
[e009 s0400/1030] loss = 4.007172
[e009 s0450/1030] loss = 3.910946
[e009 s0500/1030] loss = 3.781538
[e009 s0550/1030] loss = 3.720401
[e009 s0600/1030] loss = 3.602245
[e009 s0650/1030] loss = 3.461360
[e009 s0700/1030] loss = 3.348343
[e009 s0750/1030] loss = 3.369598
[e009 s0800/1030] loss = 3.284246
[e009 s0850/1030] loss = 3.305171
[e009 s0900/1030] loss = 3.246971
[e009 s0950/1030] loss = 3.171729
[e009 s1000/1030] loss = 3.177323
Epoch 009: train_loss = 3.214866  MAE/GAME0 = 23.235  RMSE = 42.235  GAME1 = 23.246  GAME2 = 23.255  GAME3 = 23.257  lr = 1.00e-05  time = 15.3s
[e010 s0001/1030] loss = 0.450080
[e010 s0050/1030] loss = 3.831232
[e010 s0100/1030] loss = 3.320285
[e010 s0150/1030] loss = 3.675260
[e010 s0200/1030] loss = 3.333642
[e010 s0250/1030] loss = 3.858833
[e010 s0300/1030] loss = 3.686572
[e010 s0350/1030] loss = 3.508947
[e010 s0400/1030] loss = 3.559182
