[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e400_12844793.pbs101_20260207_213506.log
[job] name=train_rgbt_adaptive_late_e400 id=12844793.pbs101 host=x1000c1s1b0n0 time=Sat Feb  7 21:35:06 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive optimizer groups: backbone_params=32526976 head_params=1797
[e001 s0001/1030] loss = 160963.328125
[e001 s0050/1030] loss = 6100.584827
[e001 s0100/1030] loss = 3063.007989
[e001 s0150/1030] loss = 2047.709361
[e001 s0200/1030] loss = 1539.518646
[e001 s0250/1030] loss = 1233.764026
[e001 s0300/1030] loss = 1029.789405
[e001 s0350/1030] loss = 883.726386
[e001 s0400/1030] loss = 774.254723
[e001 s0450/1030] loss = 689.929667
[e001 s0500/1030] loss = 621.491734
[e001 s0550/1030] loss = 565.415142
[e001 s0600/1030] loss = 518.700940
[e001 s0650/1030] loss = 479.124518
[e001 s0700/1030] loss = 445.284377
[e001 s0750/1030] loss = 415.903025
[e001 s0800/1030] loss = 390.149439
[e001 s0850/1030] loss = 367.568581
[e001 s0900/1030] loss = 347.324367
[e001 s0950/1030] loss = 329.337087
[e001 s1000/1030] loss = 313.040035
Epoch 001: train_loss = 304.020859  MAE/GAME0 = 22.311  RMSE = 41.599  GAME1 = 23.044  GAME2 = 23.675  GAME3 = 23.910  lr = 1.00e-05  time = 79.7s
[e002 s0001/1030] loss = 0.066553
[e002 s0050/1030] loss = 2.400251
[e002 s0100/1030] loss = 2.575391
[e002 s0150/1030] loss = 3.265323
[e002 s0200/1030] loss = 3.111488
[e002 s0250/1030] loss = 3.139099
[e002 s0300/1030] loss = 3.576418
[e002 s0350/1030] loss = 4.210967
[e002 s0400/1030] loss = 4.236188
[e002 s0450/1030] loss = 4.681076
[e002 s0500/1030] loss = 4.525326
[e002 s0550/1030] loss = 4.347269
[e002 s0600/1030] loss = 4.264904
[e002 s0650/1030] loss = 4.332550
[e002 s0700/1030] loss = 4.332978
[e002 s0750/1030] loss = 4.185127
[e002 s0800/1030] loss = 4.167540
[e002 s0850/1030] loss = 4.168734
[e002 s0900/1030] loss = 4.075246
[e002 s0950/1030] loss = 4.080840
[e002 s1000/1030] loss = 4.051704
Epoch 002: train_loss = 4.012361  MAE/GAME0 = 22.152  RMSE = 41.554  GAME1 = 22.766  GAME2 = 23.273  GAME3 = 23.449  lr = 1.00e-05  time = 15.2s
[e003 s0001/1030] loss = 0.113388
[e003 s0050/1030] loss = 2.036647
[e003 s0100/1030] loss = 2.373004
[e003 s0150/1030] loss = 3.033115
[e003 s0200/1030] loss = 5.656415
[e003 s0250/1030] loss = 4.893968
[e003 s0300/1030] loss = 4.702401
[e003 s0350/1030] loss = 4.304367
[e003 s0400/1030] loss = 4.409786
[e003 s0450/1030] loss = 4.164721
[e003 s0500/1030] loss = 4.026895
[e003 s0550/1030] loss = 3.850249
[e003 s0600/1030] loss = 3.798113
[e003 s0650/1030] loss = 3.677531
[e003 s0700/1030] loss = 3.629952
[e003 s0750/1030] loss = 3.618233
[e003 s0800/1030] loss = 3.558050
[e003 s0850/1030] loss = 3.585731
[e003 s0900/1030] loss = 3.649888
[e003 s0950/1030] loss = 3.650082
[e003 s1000/1030] loss = 3.596147
Epoch 003: train_loss = 3.615762  MAE/GAME0 = 21.253  RMSE = 41.031  GAME1 = 22.296  GAME2 = 23.111  GAME3 = 23.409  lr = 1.00e-05  time = 15.2s
[e004 s0001/1030] loss = 0.081145
[e004 s0050/1030] loss = 2.774754
[e004 s0100/1030] loss = 2.643460
[e004 s0150/1030] loss = 2.833111
[e004 s0200/1030] loss = 2.893146
[e004 s0250/1030] loss = 2.665194
[e004 s0300/1030] loss = 2.906700
[e004 s0350/1030] loss = 3.165660
[e004 s0400/1030] loss = 3.062487
[e004 s0450/1030] loss = 3.033506
[e004 s0500/1030] loss = 2.908802
[e004 s0550/1030] loss = 2.847912
[e004 s0600/1030] loss = 2.980416
[e004 s0650/1030] loss = 3.088959
[e004 s0700/1030] loss = 2.944245
[e004 s0750/1030] loss = 2.999115
[e004 s0800/1030] loss = 3.026722
[e004 s0850/1030] loss = 3.215745
[e004 s0900/1030] loss = 3.200090
[e004 s0950/1030] loss = 3.400545
[e004 s1000/1030] loss = 3.455277
Epoch 004: train_loss = 3.598881  MAE/GAME0 = 19.800  RMSE = 40.140  GAME1 = 21.754  GAME2 = 23.139  GAME3 = 23.644  lr = 1.00e-05  time = 15.1s
[e005 s0001/1030] loss = 0.170524
[e005 s0050/1030] loss = 2.168629
[e005 s0100/1030] loss = 2.202032
[e005 s0150/1030] loss = 2.666697
[e005 s0200/1030] loss = 2.648889
[e005 s0250/1030] loss = 3.103079
[e005 s0300/1030] loss = 2.898202
[e005 s0350/1030] loss = 2.693528
[e005 s0400/1030] loss = 3.131525
[e005 s0450/1030] loss = 3.006590
[e005 s0500/1030] loss = 2.956400
[e005 s0550/1030] loss = 2.933238
[e005 s0600/1030] loss = 2.817895
[e005 s0650/1030] loss = 3.020903
[e005 s0700/1030] loss = 2.985525
[e005 s0750/1030] loss = 2.986700
[e005 s0800/1030] loss = 2.868594
[e005 s0850/1030] loss = 2.862098
[e005 s0900/1030] loss = 2.836816
[e005 s0950/1030] loss = 2.782155
[e005 s1000/1030] loss = 2.836558
Epoch 005: train_loss = 2.803726  MAE/GAME0 = 18.308  RMSE = 39.224  GAME1 = 21.407  GAME2 = 23.323  GAME3 = 24.066  lr = 1.00e-05  time = 15.0s
[e006 s0001/1030] loss = 0.122456
[e006 s0050/1030] loss = 2.092932
[e006 s0100/1030] loss = 2.419039
[e006 s0150/1030] loss = 2.458781
[e006 s0200/1030] loss = 2.511057
[e006 s0250/1030] loss = 2.370127
[e006 s0300/1030] loss = 2.362416
[e006 s0350/1030] loss = 2.349985
[e006 s0400/1030] loss = 3.520996
[e006 s0450/1030] loss = 3.330637
[e006 s0500/1030] loss = 3.203030
[e006 s0550/1030] loss = 3.151985
[e006 s0600/1030] loss = 3.054971
[e006 s0650/1030] loss = 3.449551
[e006 s0700/1030] loss = 3.467340
[e006 s0750/1030] loss = 3.539104
[e006 s0800/1030] loss = 3.611556
[e006 s0850/1030] loss = 3.510307
[e006 s0900/1030] loss = 3.488632
[e006 s0950/1030] loss = 3.613117
[e006 s1000/1030] loss = 3.616388
Epoch 006: train_loss = 3.621623  MAE/GAME0 = 16.877  RMSE = 38.168  GAME1 = 21.193  GAME2 = 23.738  GAME3 = 24.754  lr = 1.00e-05  time = 14.9s
[e007 s0001/1030] loss = 7.316751
[e007 s0050/1030] loss = 3.519744
[e007 s0100/1030] loss = 3.408841
[e007 s0150/1030] loss = 2.943241
[e007 s0200/1030] loss = 2.848162
[e007 s0250/1030] loss = 3.027980
[e007 s0300/1030] loss = 3.002745
[e007 s0350/1030] loss = 3.526754
[e007 s0400/1030] loss = 4.022724
[e007 s0450/1030] loss = 4.258671
[e007 s0500/1030] loss = 4.075208
[e007 s0550/1030] loss = 4.021819
[e007 s0600/1030] loss = 3.864092
[e007 s0650/1030] loss = 3.737112
[e007 s0700/1030] loss = 3.604864
[e007 s0750/1030] loss = 3.508086
[e007 s0800/1030] loss = 3.404045
[e007 s0850/1030] loss = 3.363246
[e007 s0900/1030] loss = 3.355696
[e007 s0950/1030] loss = 3.357984
[e007 s1000/1030] loss = 3.331704
Epoch 007: train_loss = 3.310465  MAE/GAME0 = 16.145  RMSE = 37.450  GAME1 = 21.205  GAME2 = 24.173  GAME3 = 25.390  lr = 1.00e-05  time = 15.2s
[e008 s0001/1030] loss = 5.826943
[e008 s0050/1030] loss = 1.959362
[e008 s0100/1030] loss = 2.714947
[e008 s0150/1030] loss = 3.203976
[e008 s0200/1030] loss = 3.059063
[e008 s0250/1030] loss = 2.993010
[e008 s0300/1030] loss = 2.988198
[e008 s0350/1030] loss = 2.870244
[e008 s0400/1030] loss = 2.819492
[e008 s0450/1030] loss = 3.398635
[e008 s0500/1030] loss = 3.255823
[e008 s0550/1030] loss = 3.176942
[e008 s0600/1030] loss = 3.190246
[e008 s0650/1030] loss = 3.317674
[e008 s0700/1030] loss = 3.311759
[e008 s0750/1030] loss = 3.223207
[e008 s0800/1030] loss = 3.182009
[e008 s0850/1030] loss = 3.100014
[e008 s0900/1030] loss = 3.099445
[e008 s0950/1030] loss = 3.060874
[e008 s1000/1030] loss = 2.968325
Epoch 008: train_loss = 2.985853  MAE/GAME0 = 15.768  RMSE = 37.005  GAME1 = 21.299  GAME2 = 24.532  GAME3 = 25.872  lr = 1.00e-05  time = 15.0s
[e009 s0001/1030] loss = 1.274908
[e009 s0050/1030] loss = 3.894020
[e009 s0100/1030] loss = 4.560915
[e009 s0150/1030] loss = 4.781163
[e009 s0200/1030] loss = 5.082098
[e009 s0250/1030] loss = 4.270522
[e009 s0300/1030] loss = 4.063271
[e009 s0350/1030] loss = 3.714435
[e009 s0400/1030] loss = 3.613387
[e009 s0450/1030] loss = 3.515848
[e009 s0500/1030] loss = 3.385751
[e009 s0550/1030] loss = 3.323284
[e009 s0600/1030] loss = 3.212600
[e009 s0650/1030] loss = 3.082204
[e009 s0700/1030] loss = 2.978357
[e009 s0750/1030] loss = 2.996459
[e009 s0800/1030] loss = 2.920748
[e009 s0850/1030] loss = 2.936130
[e009 s0900/1030] loss = 2.882163
[e009 s0950/1030] loss = 2.815921
[e009 s1000/1030] loss = 2.820711
Epoch 009: train_loss = 2.855383  MAE/GAME0 = 15.547  RMSE = 36.706  GAME1 = 21.409  GAME2 = 24.835  GAME3 = 26.251  lr = 1.00e-05  time = 15.0s
[e010 s0001/1030] loss = 0.426759
[e010 s0050/1030] loss = 3.425393
[e010 s0100/1030] loss = 2.915642
[e010 s0150/1030] loss = 3.260088
[e010 s0200/1030] loss = 2.935565
[e010 s0250/1030] loss = 3.447528
[e010 s0300/1030] loss = 3.290955
[e010 s0350/1030] loss = 3.126031
[e010 s0400/1030] loss = 3.167399
[e010 s0450/1030] loss = 3.581746
[e010 s0500/1030] loss = 3.441790
[e010 s0550/1030] loss = 3.306074
[e010 s0600/1030] loss = 3.188397
[e010 s0650/1030] loss = 3.214998
[e010 s0700/1030] loss = 3.170133
[e010 s0750/1030] loss = 3.043201
[e010 s0800/1030] loss = 3.014845
[e010 s0850/1030] loss = 3.000565
[e010 s0900/1030] loss = 3.026063
[e010 s0950/1030] loss = 3.104683
[e010 s1000/1030] loss = 3.037551
Epoch 010: train_loss = 3.038015  MAE/GAME0 = 15.414  RMSE = 36.451  GAME1 = 21.531  GAME2 = 25.142  GAME3 = 26.620  lr = 1.00e-05  time = 15.0s
[e011 s0001/1030] loss = 0.987256
[e011 s0050/1030] loss = 1.945949
[e011 s0100/1030] loss = 2.811798
[e011 s0150/1030] loss = 2.875289
[e011 s0200/1030] loss = 3.446294
[e011 s0250/1030] loss = 2.979172
[e011 s0300/1030] loss = 2.732170
[e011 s0350/1030] loss = 2.685261
[e011 s0400/1030] loss = 2.803783
[e011 s0450/1030] loss = 2.654565
[e011 s0500/1030] loss = 2.612610
[e011 s0550/1030] loss = 2.618915
[e011 s0600/1030] loss = 2.525318
[e011 s0650/1030] loss = 2.568920
[e011 s0700/1030] loss = 2.592978
[e011 s0750/1030] loss = 2.591502
[e011 s0800/1030] loss = 2.586500
[e011 s0850/1030] loss = 2.577331
[e011 s0900/1030] loss = 2.768981
[e011 s0950/1030] loss = 3.196101
[e011 s1000/1030] loss = 3.135064
Epoch 011: train_loss = 3.094215  MAE/GAME0 = 15.381  RMSE = 36.320  GAME1 = 21.610  GAME2 = 25.322  GAME3 = 26.831  lr = 1.00e-05  time = 15.0s
[e012 s0001/1030] loss = 0.417859
[e012 s0050/1030] loss = 1.481695
[e012 s0100/1030] loss = 1.696260
[e012 s0150/1030] loss = 2.349438
[e012 s0200/1030] loss = 2.337896
[e012 s0250/1030] loss = 2.628762
[e012 s0300/1030] loss = 2.577384
[e012 s0350/1030] loss = 2.510951
[e012 s0400/1030] loss = 2.396486
[e012 s0450/1030] loss = 2.544686
[e012 s0500/1030] loss = 2.463467
[e012 s0550/1030] loss = 2.648098
[e012 s0600/1030] loss = 2.747315
[e012 s0650/1030] loss = 3.068819
[e012 s0700/1030] loss = 3.181567
[e012 s0750/1030] loss = 3.111915
[e012 s0800/1030] loss = 3.097394
[e012 s0850/1030] loss = 3.202814
[e012 s0900/1030] loss = 3.142433
[e012 s0950/1030] loss = 3.095028
[e012 s1000/1030] loss = 3.091699
Epoch 012: train_loss = 3.089696  MAE/GAME0 = 15.363  RMSE = 36.254  GAME1 = 21.656  GAME2 = 25.418  GAME3 = 26.943  lr = 1.00e-05  time = 15.1s
[e013 s0001/1030] loss = 9.782623
[e013 s0050/1030] loss = 3.689061
[e013 s0100/1030] loss = 2.487023
[e013 s0150/1030] loss = 2.120928
[e013 s0200/1030] loss = 2.106919
[e013 s0250/1030] loss = 2.585395
[e013 s0300/1030] loss = 2.700613
[e013 s0350/1030] loss = 2.777979
[e013 s0400/1030] loss = 2.702875
[e013 s0450/1030] loss = 2.631093
[e013 s0500/1030] loss = 2.597145
[e013 s0550/1030] loss = 2.542930
[e013 s0600/1030] loss = 2.511770
[e013 s0650/1030] loss = 2.833509
[e013 s0700/1030] loss = 2.801569
[e013 s0750/1030] loss = 2.755969
[e013 s0800/1030] loss = 2.710211
[e013 s0850/1030] loss = 2.692177
