[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e400_12845877.pbs101_20260208_161004.log
[job] name=train_rgbt_adaptive_late_e400 id=12845877.pbs101 host=x1000c0s1b0n0 time=Sun Feb  8 16:10:04 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive optimizer groups: backbone_params=32526976 head_params=1795
[e001 s0001/1030] loss = 160963.328125
[e001 s0050/1030] loss = 6100.667226
[e001 s0100/1030] loss = 3063.037034
[e001 s0150/1030] loss = 2047.733478
[e001 s0200/1030] loss = 1539.534834
[e001 s0250/1030] loss = 1233.781763
[e001 s0300/1030] loss = 1029.803670
[e001 s0350/1030] loss = 883.737342
[e001 s0400/1030] loss = 774.263675
[e001 s0450/1030] loss = 689.937807
[e001 s0500/1030] loss = 621.499960
[e001 s0550/1030] loss = 565.420761
[e001 s0600/1030] loss = 518.706754
[e001 s0650/1030] loss = 479.130628
[e001 s0700/1030] loss = 445.291669
[e001 s0750/1030] loss = 415.909828
[e001 s0800/1030] loss = 390.156999
[e001 s0850/1030] loss = 367.575727
[e001 s0900/1030] loss = 347.330882
[e001 s0950/1030] loss = 329.343744
[e001 s1000/1030] loss = 313.045886
Epoch 001: train_loss = 304.026878  MAE/GAME0 = 22.455  RMSE = 41.680  GAME1 = 23.120  GAME2 = 23.712  GAME3 = 23.931  lr = 1.00e-05  time = 34.5s
[e002 s0001/1030] loss = 0.068613
[e002 s0050/1030] loss = 2.401352
[e002 s0100/1030] loss = 2.577309
[e002 s0150/1030] loss = 3.269716
[e002 s0200/1030] loss = 3.119531
[e002 s0250/1030] loss = 3.147945
[e002 s0300/1030] loss = 3.586082
[e002 s0350/1030] loss = 4.220476
[e002 s0400/1030] loss = 4.246191
[e002 s0450/1030] loss = 4.692705
[e002 s0500/1030] loss = 4.537314
[e002 s0550/1030] loss = 4.360276
[e002 s0600/1030] loss = 4.278833
[e002 s0650/1030] loss = 4.347799
[e002 s0700/1030] loss = 4.349220
[e002 s0750/1030] loss = 4.201934
[e002 s0800/1030] loss = 4.185222
[e002 s0850/1030] loss = 4.187885
[e002 s0900/1030] loss = 4.094949
[e002 s0950/1030] loss = 4.101895
[e002 s1000/1030] loss = 4.073890
Epoch 002: train_loss = 4.035174  MAE/GAME0 = 22.963  RMSE = 42.024  GAME1 = 23.196  GAME2 = 23.419  GAME3 = 23.486  lr = 1.00e-05  time = 15.0s
[e003 s0001/1030] loss = 0.114674
[e003 s0050/1030] loss = 2.070968
[e003 s0100/1030] loss = 2.414108
[e003 s0150/1030] loss = 3.075488
[e003 s0200/1030] loss = 5.704451
[e003 s0250/1030] loss = 4.940199
[e003 s0300/1030] loss = 4.751254
[e003 s0350/1030] loss = 4.352738
[e003 s0400/1030] loss = 4.460651
[e003 s0450/1030] loss = 4.215977
[e003 s0500/1030] loss = 4.078683
[e003 s0550/1030] loss = 3.901545
[e003 s0600/1030] loss = 3.850227
[e003 s0650/1030] loss = 3.730388
[e003 s0700/1030] loss = 3.684805
[e003 s0750/1030] loss = 3.674581
[e003 s0800/1030] loss = 3.615450
[e003 s0850/1030] loss = 3.646119
[e003 s0900/1030] loss = 3.712568
[e003 s0950/1030] loss = 3.715058
[e003 s1000/1030] loss = 3.662039
Epoch 003: train_loss = 3.682558  MAE/GAME0 = 23.120  RMSE = 42.134  GAME1 = 23.224  GAME2 = 23.325  GAME3 = 23.356  lr = 1.00e-05  time = 15.0s
[e004 s0001/1030] loss = 0.112194
[e004 s0050/1030] loss = 2.871097
[e004 s0100/1030] loss = 2.746066
[e004 s0150/1030] loss = 2.938572
[e004 s0200/1030] loss = 2.998722
[e004 s0250/1030] loss = 2.766641
[e004 s0300/1030] loss = 3.012260
[e004 s0350/1030] loss = 3.277774
[e004 s0400/1030] loss = 3.175459
[e004 s0450/1030] loss = 3.147859
[e004 s0500/1030] loss = 3.022327
[e004 s0550/1030] loss = 2.962167
[e004 s0600/1030] loss = 3.098345
[e004 s0650/1030] loss = 3.211185
[e004 s0700/1030] loss = 3.063965
[e004 s0750/1030] loss = 3.122671
[e004 s0800/1030] loss = 3.152205
[e004 s0850/1030] loss = 3.342944
[e004 s0900/1030] loss = 3.328513
[e004 s0950/1030] loss = 3.533350
[e004 s1000/1030] loss = 3.592160
Epoch 004: train_loss = 3.736338  MAE/GAME0 = 23.170  RMSE = 42.174  GAME1 = 23.231  GAME2 = 23.294  GAME3 = 23.313  lr = 1.00e-05  time = 14.8s
[e005 s0001/1030] loss = 0.224920
[e005 s0050/1030] loss = 2.339731
[e005 s0100/1030] loss = 2.359853
[e005 s0150/1030] loss = 2.835208
[e005 s0200/1030] loss = 2.814114
