[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_adaptive_late_e400_12850190.pbs101_20260209_154151.log
[job] name=train_rgbt_adaptive_late_e400 id=12850190.pbs101 host=x1000c3s6b0n1 time=Mon Feb  9 15:41:51 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[init] adaptive optimizer groups: backbone_params=32526976 head_params=1795
[e001 s0001/1030] loss = 160963.328125
[e001 s0050/1030] loss = 10580.670134
[e001 s0100/1030] loss = 5310.862387
[e001 s0150/1030] loss = 3548.953606
[e001 s0200/1030] loss = 2667.435661
[e001 s0250/1030] loss = 2137.399894
[e001 s0300/1030] loss = 1784.125005
[e001 s0350/1030] loss = 1531.089218
[e001 s0400/1030] loss = 1341.572446
[e001 s0450/1030] loss = 1194.764110
[e001 s0500/1030] loss = 1076.348894
[e001 s0550/1030] loss = 979.313363
[e001 s0600/1030] loss = 898.399425
[e001 s0650/1030] loss = 829.822547
[e001 s0700/1030] loss = 771.174826
[e001 s0750/1030] loss = 720.282153
[e001 s0800/1030] loss = 675.640555
[e001 s0850/1030] loss = 636.413704
[e001 s0900/1030] loss = 601.394104
[e001 s0950/1030] loss = 570.148728
[e001 s1000/1030] loss = 541.904610
Epoch 001: train_loss = 526.239142  MAE/GAME0 = 58.150  RMSE = 84.515  GAME1 = 63.408  GAME2 = 70.611  GAME3 = 72.119  lr = 5.07e-06  time = 29.2s
[e002 s0001/1030] loss = 0.149277
[e002 s0050/1030] loss = 3.123970
[e002 s0100/1030] loss = 3.816287
[e002 s0150/1030] loss = 4.690295
[e002 s0200/1030] loss = 4.566301
[e002 s0250/1030] loss = 4.427795
[e002 s0300/1030] loss = 4.925754
[e002 s0350/1030] loss = 5.536939
[e002 s0400/1030] loss = 5.523780
[e002 s0450/1030] loss = 5.902943
[e002 s0500/1030] loss = 5.749846
[e002 s0550/1030] loss = 5.543825
[e002 s0600/1030] loss = 5.411481
[e002 s0650/1030] loss = 5.472053
[e002 s0700/1030] loss = 5.446439
[e002 s0750/1030] loss = 5.273029
[e002 s0800/1030] loss = 5.222308
[e002 s0850/1030] loss = 5.192657
[e002 s0900/1030] loss = 5.057273
[e002 s0950/1030] loss = 5.065356
[e002 s1000/1030] loss = 5.009075
Epoch 002: train_loss = 4.954162  MAE/GAME0 = 62.019  RMSE = 87.279  GAME1 = 64.410  GAME2 = 67.998  GAME3 = 68.656  lr = 5.28e-06  time = 18.3s
[e003 s0001/1030] loss = 0.809352
[e003 s0050/1030] loss = 2.450999
[e003 s0100/1030] loss = 2.668804
[e003 s0150/1030] loss = 3.421487
[e003 s0200/1030] loss = 6.007305
[e003 s0250/1030] loss = 5.205876
[e003 s0300/1030] loss = 5.051108
[e003 s0350/1030] loss = 4.667525
[e003 s0400/1030] loss = 4.796428
[e003 s0450/1030] loss = 4.577323
[e003 s0500/1030] loss = 4.437958
[e003 s0550/1030] loss = 4.258101
[e003 s0600/1030] loss = 4.208967
[e003 s0650/1030] loss = 4.081683
[e003 s0700/1030] loss = 4.027805
[e003 s0750/1030] loss = 4.033720
[e003 s0800/1030] loss = 3.978160
[e003 s0850/1030] loss = 3.995454
[e003 s0900/1030] loss = 4.049398
[e003 s0950/1030] loss = 4.040381
[e003 s1000/1030] loss = 3.978656
Epoch 003: train_loss = 3.993838  MAE/GAME0 = 63.384  RMSE = 88.294  GAME1 = 64.817  GAME2 = 67.035  GAME3 = 67.398  lr = 5.62e-06  time = 18.5s
[e004 s0001/1030] loss = 0.117535
[e004 s0050/1030] loss = 3.271334
[e004 s0100/1030] loss = 2.986399
[e004 s0150/1030] loss = 3.165566
[e004 s0200/1030] loss = 3.226535
[e004 s0250/1030] loss = 2.986301
[e004 s0300/1030] loss = 3.215199
[e004 s0350/1030] loss = 3.484650
[e004 s0400/1030] loss = 3.371238
[e004 s0450/1030] loss = 3.347296
[e004 s0500/1030] loss = 3.205375
[e004 s0550/1030] loss = 3.151754
[e004 s0600/1030] loss = 3.290712
[e004 s0650/1030] loss = 3.395319
[e004 s0700/1030] loss = 3.241848
[e004 s0750/1030] loss = 3.296361
[e004 s0800/1030] loss = 3.317067
[e004 s0850/1030] loss = 3.502580
[e004 s0900/1030] loss = 3.481451
[e004 s0950/1030] loss = 3.682852
[e004 s1000/1030] loss = 3.741100
Epoch 004: train_loss = 3.881464  MAE/GAME0 = 64.089  RMSE = 88.829  GAME1 = 65.022  GAME2 = 66.506  GAME3 = 66.740  lr = 6.10e-06  time = 18.5s
[e005 s0001/1030] loss = 0.234272
[e005 s0050/1030] loss = 2.407920
[e005 s0100/1030] loss = 2.416533
[e005 s0150/1030] loss = 2.876725
