[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_base_e400_12850187.pbs101_20260209_154137.log
[job] name=train_rgbt_base_e400 id=12850187.pbs101 host=x1000c2s7b0n1 time=Mon Feb  9 15:41:37 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5072832.000000
[e001 s0050/1030] loss = 480215.673716
[e001 s0100/1030] loss = 241369.864966
[e001 s0150/1030] loss = 161461.619934
[e001 s0200/1030] loss = 121434.919646
[e001 s0250/1030] loss = 97342.418324
[e001 s0300/1030] loss = 81262.845653
[e001 s0350/1030] loss = 69766.025344
[e001 s0400/1030] loss = 61127.323309
[e001 s0450/1030] loss = 54402.145929
[e001 s0500/1030] loss = 49012.070575
[e001 s0550/1030] loss = 44593.968079
[e001 s0600/1030] loss = 40909.454323
[e001 s0650/1030] loss = 37791.894116
[e001 s0700/1030] loss = 35112.748000
[e001 s0750/1030] loss = 32791.149144
[e001 s0800/1030] loss = 30757.116609
[e001 s0850/1030] loss = 28960.637949
[e001 s0900/1030] loss = 27361.701226
[e001 s0950/1030] loss = 25929.890013
[e001 s1000/1030] loss = 24640.904878
Epoch 001: train_loss = 23927.476906  MAE/GAME0 = 37.051  RMSE = 65.506  GAME1 = 65.523  GAME2 = 102.744  GAME3 = 110.156  lr = 5.07e-06  time = 27.8s
[e002 s0001/1030] loss = 51.046497
[e002 s0050/1030] loss = 135.457657
[e002 s0100/1030] loss = 123.776987
[e002 s0150/1030] loss = 116.873613
[e002 s0200/1030] loss = 106.402229
[e002 s0250/1030] loss = 100.226463
[e002 s0300/1030] loss = 99.756881
[e002 s0350/1030] loss = 92.859000
[e002 s0400/1030] loss = 90.262413
[e002 s0450/1030] loss = 86.928051
[e002 s0500/1030] loss = 84.011869
[e002 s0550/1030] loss = 80.365399
[e002 s0600/1030] loss = 77.385022
[e002 s0650/1030] loss = 75.291231
[e002 s0700/1030] loss = 72.697709
[e002 s0750/1030] loss = 71.212884
[e002 s0800/1030] loss = 69.174832
[e002 s0850/1030] loss = 66.713107
[e002 s0900/1030] loss = 64.186483
[e002 s0950/1030] loss = 62.393461
[e002 s1000/1030] loss = 60.700147
Epoch 002: train_loss = 59.715933  MAE/GAME0 = 52.767  RMSE = 80.737  GAME1 = 62.166  GAME2 = 75.093  GAME3 = 77.459  lr = 5.28e-06  time = 9.2s
[e003 s0001/1030] loss = 34.650520
[e003 s0050/1030] loss = 24.490956
