[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_base_e400_13092178.pbs101_20260309_120948.log
[job] name=train_rgbt_base_e400 id=13092178.pbs101 host=x1000c0s5b0n0 time=Mon Mar  9 12:09:48 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:454: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5335859.500000
[e001 s0050/1030] loss = 466754.025175
[e001 s0100/1030] loss = 233383.738216
[e001 s0150/1030] loss = 155589.873633
[e001 s0200/1030] loss = 116693.120423
[e001 s0250/1030] loss = 93355.739142
[e001 s0300/1030] loss = 77796.907308
[e001 s0350/1030] loss = 66683.877900
[e001 s0400/1030] loss = 58348.934785
[e001 s0450/1030] loss = 51866.996103
[e001 s0500/1030] loss = 46680.597753
[e001 s0550/1030] loss = 42437.150234
[e001 s0600/1030] loss = 38901.041577
[e001 s0650/1030] loss = 35908.931393
[e001 s0700/1030] loss = 33344.348241
[e001 s0750/1030] loss = 31121.714691
[e001 s0800/1030] loss = 29176.876145
[e001 s0850/1030] loss = 27460.975619
[e001 s0900/1030] loss = 25935.608528
[e001 s0950/1030] loss = 24571.022763
[e001 s1000/1030] loss = 23342.695090
Epoch 001: train_loss = 22662.951271  MAE/GAME0 = 63.413  RMSE = 88.385  GAME1 = 64.491  GAME2 = 66.311  GAME3 = 66.845  lr = 5.07e-06  time = 29.4s
[e002 s0001/1030] loss = 1.371864
[e002 s0050/1030] loss = 4.725172
[e002 s0100/1030] loss = 4.604445
[e002 s0150/1030] loss = 4.536868
[e002 s0200/1030] loss = 4.205423
[e002 s0250/1030] loss = 3.981971
[e002 s0300/1030] loss = 4.202223
[e002 s0350/1030] loss = 5.282269
[e002 s0400/1030] loss = 5.275474
[e002 s0450/1030] loss = 5.624651
[e002 s0500/1030] loss = 5.350107
[e002 s0550/1030] loss = 5.165799
[e002 s0600/1030] loss = 5.011979
[e002 s0650/1030] loss = 4.812365
[e002 s0700/1030] loss = 4.702889
[e002 s0750/1030] loss = 4.536994
[e002 s0800/1030] loss = 4.424949
[e002 s0850/1030] loss = 4.324083
[e002 s0900/1030] loss = 4.201322
[e002 s0950/1030] loss = 4.110893
[e002 s1000/1030] loss = 4.140236
Epoch 002: train_loss = 4.070298  MAE/GAME0 = 58.426  RMSE = 84.788  GAME1 = 65.245  GAME2 = 74.719  GAME3 = 85.088  lr = 5.28e-06  time = 26.6s
[e003 s0001/1030] loss = 0.824368
[e003 s0050/1030] loss = 1.952593
[e003 s0100/1030] loss = 2.079420
[e003 s0150/1030] loss = 3.658888
[e003 s0200/1030] loss = 5.696825
[e003 s0250/1030] loss = 4.821740
[e003 s0300/1030] loss = 4.686608
[e003 s0350/1030] loss = 4.155242
[e003 s0400/1030] loss = 4.016389
[e003 s0450/1030] loss = 3.784870
[e003 s0500/1030] loss = 3.548659
[e003 s0550/1030] loss = 3.331086
[e003 s0600/1030] loss = 3.214515
[e003 s0650/1030] loss = 3.104467
[e003 s0700/1030] loss = 3.029552
[e003 s0750/1030] loss = 3.036075
[e003 s0800/1030] loss = 2.947486
[e003 s0850/1030] loss = 2.874370
[e003 s0900/1030] loss = 2.851080
[e003 s0950/1030] loss = 2.797677
[e003 s1000/1030] loss = 2.729803
Epoch 003: train_loss = 2.723395  MAE/GAME0 = 91.153  RMSE = 108.745  GAME1 = 95.220  GAME2 = 100.904  GAME3 = 109.135  lr = 5.62e-06  time = 26.6s
[e004 s0001/1030] loss = 0.175673
[e004 s0050/1030] loss = 1.726654
[e004 s0100/1030] loss = 1.578129
[e004 s0150/1030] loss = 1.502461
[e004 s0200/1030] loss = 1.455141
[e004 s0250/1030] loss = 1.416622
[e004 s0300/1030] loss = 1.537859
[e004 s0350/1030] loss = 1.689520
[e004 s0400/1030] loss = 1.581519
[e004 s0450/1030] loss = 1.604773
[e004 s0500/1030] loss = 1.508728
[e004 s0550/1030] loss = 1.500688
[e004 s0600/1030] loss = 1.612523
[e004 s0650/1030] loss = 1.648647
[e004 s0700/1030] loss = 1.577924
[e004 s0750/1030] loss = 1.569908
[e004 s0800/1030] loss = 1.581109
[e004 s0850/1030] loss = 2.065377
[e004 s0900/1030] loss = 2.018225
