[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_early_e100_sanity_12717652.pbs101_20260111_173121.log
[job] name=train_rgbt_early_e100_sanity id=12717652.pbs101 host=x1000c0s3b0n1 time=Sun Jan 11 17:31:21 +08 2026
[init] device = cuda
[init] PROJECT_ROOT = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter
[epoch 001/100] lr = 1.00e-05 | train loss = 6.6000 (base 6.6000, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.062, MAE = 40.152, GAME0 = 40.152, GAME1 = 65.358, GAME2 = 89.371, GAME3 = 102.802 | time = 89.7s
[epoch 002/100] lr = 1.00e-05 | train loss = 0.0008 (base 0.0008, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 68.171, MAE = 46.912, GAME0 = 46.912, GAME1 = 66.786, GAME2 = 88.286, GAME3 = 102.980 | time = 25.2s
[epoch 003/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 67.292, MAE = 34.457, GAME0 = 34.457, GAME1 = 49.032, GAME2 = 62.473, GAME3 = 72.564 | time = 24.8s
[epoch 004/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 63.246, MAE = 31.001, GAME0 = 31.001, GAME1 = 45.132, GAME2 = 57.620, GAME3 = 67.524 | time = 25.4s
[epoch 005/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 60.360, MAE = 30.390, GAME0 = 30.390, GAME1 = 46.789, GAME2 = 59.136, GAME3 = 67.470 | time = 25.2s
[epoch 006/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.166, MAE = 29.651, GAME0 = 29.651, GAME1 = 44.442, GAME2 = 56.480, GAME3 = 64.332 | time = 25.2s
[epoch 007/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 56.174, MAE = 32.782, GAME0 = 32.782, GAME1 = 45.242, GAME2 = 56.892, GAME3 = 66.588 | time = 26.7s
[epoch 008/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 55.090, MAE = 29.575, GAME0 = 29.575, GAME1 = 36.254, GAME2 = 42.605, GAME3 = 49.835 | time = 25.2s
[epoch 009/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 61.044, MAE = 32.135, GAME0 = 32.135, GAME1 = 38.341, GAME2 = 44.930, GAME3 = 51.852 | time = 25.4s
[epoch 010/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 57.930, MAE = 27.590, GAME0 = 27.590, GAME1 = 34.530, GAME2 = 40.606, GAME3 = 46.978 | time = 25.3s
[epoch 011/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 60.472, MAE = 35.328, GAME0 = 35.328, GAME1 = 40.949, GAME2 = 47.411, GAME3 = 54.516 | time = 25.1s
