[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_early_e100_sanity_12791904.pbs101_20260126_171243.log
[job] name=train_rgbt_early_e100_sanity id=12791904.pbs101 host=x1000c3s3b0n1 time=Mon Jan 26 17:12:43 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:384: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 1336.484619
[e001 s0050/1030] loss = 53.032016
[e001 s0100/1030] loss = 26.618654
[e001 s0150/1030] loss = 17.797231
[e001 s0200/1030] loss = 13.378807
[e001 s0250/1030] loss = 10.724015
[e001 s0300/1030] loss = 8.948034
[e001 s0350/1030] loss = 7.679780
[e001 s0400/1030] loss = 6.726415
[e001 s0450/1030] loss = 5.986764
[e001 s0500/1030] loss = 5.392693
[e001 s0550/1030] loss = 4.906548
[e001 s0600/1030] loss = 4.500818
[e001 s0650/1030] loss = 4.157306
[e001 s0700/1030] loss = 3.863179
[e001 s0750/1030] loss = 3.609570
[e001 s0800/1030] loss = 3.385833
[e001 s0850/1030] loss = 3.188737
[e001 s0900/1030] loss = 3.012888
[e001 s0950/1030] loss = 2.855979
[e001 s1000/1030] loss = 2.714526
Epoch 001: train_loss = 2.636368  MAE/GAME0 = 22.041  RMSE = 41.383  GAME1 = 23.198  GAME2 = 24.283  GAME3 = 24.553  lr = 1.00e-05  time = 17.1s
[e002 s0001/1030] loss = 0.001051
[e002 s0050/1030] loss = 0.021503
[e002 s0100/1030] loss = 0.020254
[e002 s0150/1030] loss = 0.023536
[e002 s0200/1030] loss = 0.023824
[e002 s0250/1030] loss = 0.024243
[e002 s0300/1030] loss = 0.025837
[e002 s0350/1030] loss = 0.026231
[e002 s0400/1030] loss = 0.025745
[e002 s0450/1030] loss = 0.026660
[e002 s0500/1030] loss = 0.026693
[e002 s0550/1030] loss = 0.025985
[e002 s0600/1030] loss = 0.025415
[e002 s0650/1030] loss = 0.025296
[e002 s0700/1030] loss = 0.025306
[e002 s0750/1030] loss = 0.024649
[e002 s0800/1030] loss = 0.024584
[e002 s0850/1030] loss = 0.024601
[e002 s0900/1030] loss = 0.024351
[e002 s0950/1030] loss = 0.024243
[e002 s1000/1030] loss = 0.024240
Epoch 002: train_loss = 0.024150  MAE/GAME0 = 22.956  RMSE = 42.028  GAME1 = 23.259  GAME2 = 23.567  GAME3 = 23.621  lr = 1.00e-05  time = 7.8s
[e003 s0001/1030] loss = 0.019798
[e003 s0050/1030] loss = 0.017058
[e003 s0100/1030] loss = 0.019581
[e003 s0150/1030] loss = 0.020584
[e003 s0200/1030] loss = 0.025440
[e003 s0250/1030] loss = 0.023169
[e003 s0300/1030] loss = 0.023369
[e003 s0350/1030] loss = 0.022620
[e003 s0400/1030] loss = 0.023397
[e003 s0450/1030] loss = 0.023107
[e003 s0500/1030] loss = 0.022687
[e003 s0550/1030] loss = 0.021932
[e003 s0600/1030] loss = 0.021757
[e003 s0650/1030] loss = 0.021392
[e003 s0700/1030] loss = 0.021528
[e003 s0750/1030] loss = 0.021404
[e003 s0800/1030] loss = 0.021352
[e003 s0850/1030] loss = 0.021667
[e003 s0900/1030] loss = 0.021906
[e003 s0950/1030] loss = 0.022031
[e003 s1000/1030] loss = 0.021886
