[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_early_e100_sanity_12839451.pbs101_20260206_162350.log
[job] name=train_rgbt_early_e100_sanity id=12839451.pbs101 host=x1000c2s7b0n0 time=Fri Feb  6 16:23:50 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5053139.000000
[e001 s0050/1030] loss = 268750.898607
[e001 s0100/1030] loss = 135084.180537
[e001 s0150/1030] loss = 90404.192644
[e001 s0200/1030] loss = 67999.197347
[e001 s0250/1030] loss = 54501.790364
[e001 s0300/1030] loss = 45485.654838
[e001 s0350/1030] loss = 39036.316738
[e001 s0400/1030] loss = 34187.782040
[e001 s0450/1030] loss = 30416.245320
[e001 s0500/1030] loss = 27391.652474
[e001 s0550/1030] loss = 24913.006870
[e001 s0600/1030] loss = 22846.471252
[e001 s0650/1030] loss = 21098.013506
[e001 s0700/1030] loss = 19596.957029
[e001 s0750/1030] loss = 18296.118755
[e001 s0800/1030] loss = 17157.007236
[e001 s0850/1030] loss = 16151.456863
[e001 s0900/1030] loss = 15256.896990
[e001 s0950/1030] loss = 14456.231911
[e001 s1000/1030] loss = 13735.428444
Epoch 001: train_loss = 13336.659609  MAE/GAME0 = 18.115  RMSE = 38.062  GAME1 = 23.119  GAME2 = 29.360  GAME3 = 31.558  lr = 1.00e-05  time = 34.1s
[e002 s0001/1030] loss = 9.801011
[e002 s0050/1030] loss = 40.123185
[e002 s0100/1030] loss = 35.013485
[e002 s0150/1030] loss = 33.732083
[e002 s0200/1030] loss = 30.327483
[e002 s0250/1030] loss = 28.225418
[e002 s0300/1030] loss = 28.437231
[e002 s0350/1030] loss = 26.823230
[e002 s0400/1030] loss = 26.402977
[e002 s0450/1030] loss = 25.442826
[e002 s0500/1030] loss = 24.675610
[e002 s0550/1030] loss = 23.589806
[e002 s0600/1030] loss = 22.705048
[e002 s0650/1030] loss = 22.166422
[e002 s0700/1030] loss = 21.384392
[e002 s0750/1030] loss = 20.848669
[e002 s0800/1030] loss = 20.298740
[e002 s0850/1030] loss = 19.592408
[e002 s0900/1030] loss = 18.894145
[e002 s0950/1030] loss = 18.415819
[e002 s1000/1030] loss = 17.944621
Epoch 002: train_loss = 17.782168  MAE/GAME0 = 21.294  RMSE = 40.729  GAME1 = 22.713  GAME2 = 24.347  GAME3 = 25.139  lr = 1.00e-05  time = 7.6s
[e003 s0001/1030] loss = 8.775894
[e003 s0050/1030] loss = 7.596472
[e003 s0100/1030] loss = 6.449917
[e003 s0150/1030] loss = 6.449499
[e003 s0200/1030] loss = 9.133257
[e003 s0250/1030] loss = 8.361522
[e003 s0300/1030] loss = 9.284538
[e003 s0350/1030] loss = 8.594242
[e003 s0400/1030] loss = 8.936619
[e003 s0450/1030] loss = 8.532672
[e003 s0500/1030] loss = 8.301658
[e003 s0550/1030] loss = 8.613913
[e003 s0600/1030] loss = 8.262268
[e003 s0650/1030] loss = 8.501957
[e003 s0700/1030] loss = 8.244277
[e003 s0750/1030] loss = 7.993577
[e003 s0800/1030] loss = 7.845889
[e003 s0850/1030] loss = 7.692510
[e003 s0900/1030] loss = 7.666234
[e003 s0950/1030] loss = 7.542284
[e003 s1000/1030] loss = 7.418855
Epoch 003: train_loss = 7.351148  MAE/GAME0 = 22.332  RMSE = 41.510  GAME1 = 22.928  GAME2 = 23.723  GAME3 = 24.029  lr = 1.00e-05  time = 7.5s
[e004 s0001/1030] loss = 2.301654
[e004 s0050/1030] loss = 4.030328
[e004 s0100/1030] loss = 3.839748
[e004 s0150/1030] loss = 4.285064
[e004 s0200/1030] loss = 4.461004
