[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_early_e100_sanity_12844481.pbs101_20260207_171924.log
[job] name=train_rgbt_early_e100_sanity id=12844481.pbs101 host=x1000c3s5b0n0 time=Sat Feb  7 17:19:24 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5053673.500000
[e001 s0050/1030] loss = 268804.254641
[e001 s0100/1030] loss = 135110.467570
[e001 s0150/1030] loss = 90421.583018
[e001 s0200/1030] loss = 68012.255859
[e001 s0250/1030] loss = 54512.177493
[e001 s0300/1030] loss = 45494.263720
[e001 s0350/1030] loss = 39043.618947
[e001 s0400/1030] loss = 34194.103700
[e001 s0450/1030] loss = 30421.851925
[e001 s0500/1030] loss = 27396.687735
[e001 s0550/1030] loss = 24917.568880
[e001 s0600/1030] loss = 22850.635802
[e001 s0650/1030] loss = 21101.867702
[e001 s0700/1030] loss = 19600.536698
[e001 s0750/1030] loss = 18299.456351
[e001 s0800/1030] loss = 17160.138118
[e001 s0850/1030] loss = 16154.402846
[e001 s0900/1030] loss = 15259.690035
[e001 s0950/1030] loss = 14458.877087
[e001 s1000/1030] loss = 13737.942981
Epoch 001: train_loss = 13339.101383  MAE/GAME0 = 18.116  RMSE = 38.074  GAME1 = 23.119  GAME2 = 29.350  GAME3 = 31.550  lr = 1.00e-05  time = 116.7s
[e002 s0001/1030] loss = 9.178723
[e002 s0050/1030] loss = 40.166039
[e002 s0100/1030] loss = 35.098233
[e002 s0150/1030] loss = 33.834900
[e002 s0200/1030] loss = 30.432895
[e002 s0250/1030] loss = 28.321277
[e002 s0300/1030] loss = 28.544465
[e002 s0350/1030] loss = 26.932553
[e002 s0400/1030] loss = 26.511380
[e002 s0450/1030] loss = 25.555928
[e002 s0500/1030] loss = 24.792170
[e002 s0550/1030] loss = 23.704556
[e002 s0600/1030] loss = 22.817769
[e002 s0650/1030] loss = 22.279106
[e002 s0700/1030] loss = 21.500608
[e002 s0750/1030] loss = 20.960828
[e002 s0800/1030] loss = 20.416859
[e002 s0850/1030] loss = 19.712284
[e002 s0900/1030] loss = 19.015569
[e002 s0950/1030] loss = 18.538069
[e002 s1000/1030] loss = 18.069810
Epoch 002: train_loss = 17.909395  MAE/GAME0 = 21.294  RMSE = 40.733  GAME1 = 22.715  GAME2 = 24.349  GAME3 = 25.141  lr = 1.00e-05  time = 7.3s
[e003 s0001/1030] loss = 8.510745
[e003 s0050/1030] loss = 7.700252
[e003 s0100/1030] loss = 6.566337
[e003 s0150/1030] loss = 6.586267
[e003 s0200/1030] loss = 9.282359
[e003 s0250/1030] loss = 8.504342
[e003 s0300/1030] loss = 9.422834
[e003 s0350/1030] loss = 8.725152
[e003 s0400/1030] loss = 9.073448
[e003 s0450/1030] loss = 8.668951
[e003 s0500/1030] loss = 8.439909
[e003 s0550/1030] loss = 8.744401
[e003 s0600/1030] loss = 8.393999
[e003 s0650/1030] loss = 8.638120
[e003 s0700/1030] loss = 8.380325
[e003 s0750/1030] loss = 8.127846
[e003 s0800/1030] loss = 7.980708
[e003 s0850/1030] loss = 7.830493
[e003 s0900/1030] loss = 7.806155
[e003 s0950/1030] loss = 7.683329
[e003 s1000/1030] loss = 7.559823
Epoch 003: train_loss = 7.492720  MAE/GAME0 = 22.331  RMSE = 41.512  GAME1 = 22.928  GAME2 = 23.726  GAME3 = 24.030  lr = 1.00e-05  time = 7.4s
[e004 s0001/1030] loss = 2.154659
[e004 s0050/1030] loss = 4.153945
[e004 s0100/1030] loss = 3.976915
[e004 s0150/1030] loss = 4.428568
[e004 s0200/1030] loss = 4.601290
[e004 s0250/1030] loss = 4.164726
[e004 s0300/1030] loss = 4.237356
[e004 s0350/1030] loss = 4.535977
[e004 s0400/1030] loss = 4.567152
[e004 s0450/1030] loss = 4.688603
[e004 s0500/1030] loss = 4.510778
[e004 s0550/1030] loss = 4.400344
[e004 s0600/1030] loss = 4.452463
[e004 s0650/1030] loss = 4.530465
[e004 s0700/1030] loss = 4.366192
[e004 s0750/1030] loss = 4.358143
[e004 s0800/1030] loss = 4.424116
[e004 s0850/1030] loss = 4.559737
[e004 s0900/1030] loss = 4.513630
[e004 s0950/1030] loss = 4.758800
[e004 s1000/1030] loss = 4.785548
Epoch 004: train_loss = 4.898955  MAE/GAME0 = 22.731  RMSE = 41.833  GAME1 = 23.051  GAME2 = 23.529  GAME3 = 23.685  lr = 1.00e-05  time = 7.4s
[e005 s0001/1030] loss = 0.252531
[e005 s0050/1030] loss = 2.891845
[e005 s0100/1030] loss = 2.992722
[e005 s0150/1030] loss = 3.634402
[e005 s0200/1030] loss = 3.550716
[e005 s0250/1030] loss = 4.114893
[e005 s0300/1030] loss = 3.858850
[e005 s0350/1030] loss = 3.652490
[e005 s0400/1030] loss = 4.292262
[e005 s0450/1030] loss = 4.171875
[e005 s0500/1030] loss = 4.074208
[e005 s0550/1030] loss = 4.064471
[e005 s0600/1030] loss = 3.887477
[e005 s0650/1030] loss = 4.095358
[e005 s0700/1030] loss = 4.067462
[e005 s0750/1030] loss = 4.018512
[e005 s0800/1030] loss = 3.866351
[e005 s0850/1030] loss = 3.824505
[e005 s0900/1030] loss = 3.767496
[e005 s0950/1030] loss = 3.680860
[e005 s1000/1030] loss = 3.830725
