[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_early_e400_12850188.pbs101_20260209_154141.log
[job] name=train_rgbt_early_e400 id=12850188.pbs101 host=x1000c2s7b0n1 time=Mon Feb  9 15:41:41 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5053673.500000
[e001 s0050/1030] loss = 478370.388535
[e001 s0100/1030] loss = 240432.751182
[e001 s0150/1030] loss = 160828.916673
[e001 s0200/1030] loss = 120957.359880
[e001 s0250/1030] loss = 96959.445357
[e001 s0300/1030] loss = 80943.346089
[e001 s0350/1030] loss = 69491.433962
[e001 s0400/1030] loss = 60886.530667
[e001 s0450/1030] loss = 54187.628276
[e001 s0500/1030] loss = 48819.036776
[e001 s0550/1030] loss = 44418.297540
[e001 s0600/1030] loss = 40748.288153
[e001 s0650/1030] loss = 37643.164942
[e001 s0700/1030] loss = 34974.785126
[e001 s0750/1030] loss = 32662.344546
[e001 s0800/1030] loss = 30636.373064
[e001 s0850/1030] loss = 28847.009533
[e001 s0900/1030] loss = 27254.331460
[e001 s0950/1030] loss = 25828.189002
[e001 s1000/1030] loss = 24544.263491
Epoch 001: train_loss = 23833.679599  MAE/GAME0 = 36.980  RMSE = 65.410  GAME1 = 65.609  GAME2 = 102.849  GAME3 = 110.213  lr = 5.07e-06  time = 27.8s
[e002 s0001/1030] loss = 48.881165
[e002 s0050/1030] loss = 137.726408
[e002 s0100/1030] loss = 124.053247
[e002 s0150/1030] loss = 116.982424
[e002 s0200/1030] loss = 106.495471
[e002 s0250/1030] loss = 100.322006
[e002 s0300/1030] loss = 99.724189
[e002 s0350/1030] loss = 92.841617
[e002 s0400/1030] loss = 90.447398
[e002 s0450/1030] loss = 86.952373
[e002 s0500/1030] loss = 83.973720
[e002 s0550/1030] loss = 80.427727
[e002 s0600/1030] loss = 77.529180
[e002 s0650/1030] loss = 75.407614
[e002 s0700/1030] loss = 72.793714
[e002 s0750/1030] loss = 71.254266
[e002 s0800/1030] loss = 69.228975
[e002 s0850/1030] loss = 66.761149
[e002 s0900/1030] loss = 64.217807
[e002 s0950/1030] loss = 62.435200
[e002 s1000/1030] loss = 60.781052
Epoch 002: train_loss = 59.793452  MAE/GAME0 = 52.768  RMSE = 80.740  GAME1 = 62.176  GAME2 = 75.085  GAME3 = 77.445  lr = 5.28e-06  time = 9.5s
[e003 s0001/1030] loss = 30.887150
[e003 s0050/1030] loss = 25.415801
[e003 s0100/1030] loss = 20.435787
[e003 s0150/1030] loss = 19.814520
[e003 s0200/1030] loss = 21.984363
[e003 s0250/1030] loss = 20.511000
[e003 s0300/1030] loss = 22.117794
[e003 s0350/1030] loss = 21.091927
[e003 s0400/1030] loss = 21.610097
[e003 s0450/1030] loss = 21.016681
[e003 s0500/1030] loss = 20.502262
[e003 s0550/1030] loss = 21.376393
[e003 s0600/1030] loss = 20.465167
[e003 s0650/1030] loss = 20.790255
[e003 s0700/1030] loss = 20.226372
[e003 s0750/1030] loss = 19.527522
[e003 s0800/1030] loss = 19.080286
[e003 s0850/1030] loss = 18.534311
[e003 s0900/1030] loss = 18.180742
[e003 s0950/1030] loss = 17.873861
[e003 s1000/1030] loss = 17.568988
Epoch 003: train_loss = 17.315320  MAE/GAME0 = 59.827  RMSE = 85.746  GAME1 = 63.499  GAME2 = 69.529  GAME3 = 70.577  lr = 5.62e-06  time = 9.5s
[e004 s0001/1030] loss = 15.970720
[e004 s0050/1030] loss = 9.629996
[e004 s0100/1030] loss = 8.727809
[e004 s0150/1030] loss = 9.067266
[e004 s0200/1030] loss = 9.596225
[e004 s0250/1030] loss = 8.675721
[e004 s0300/1030] loss = 8.408954
[e004 s0350/1030] loss = 8.694007
