[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_early_e400_13286484.pbs101_20260321_163233.log
[job] name=train_rgbt_early_e400 id=13286484.pbs101 host=x1000c1s1b0n1 time=Sat Mar 21 16:32:33 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:519: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 5302662.500000
[e001 s0050/1030] loss = 465029.795811
[e001 s0100/1030] loss = 232521.637903
[e001 s0150/1030] loss = 155015.140107
[e001 s0200/1030] loss = 116262.070277
[e001 s0250/1030] loss = 93010.899044
[e001 s0300/1030] loss = 77509.540540
[e001 s0350/1030] loss = 66437.565909
[e001 s0400/1030] loss = 58133.410232
[e001 s0450/1030] loss = 51675.387773
[e001 s0500/1030] loss = 46508.155599
[e001 s0550/1030] loss = 42280.380355
[e001 s0600/1030] loss = 38757.335896
[e001 s0650/1030] loss = 35776.279816
[e001 s0700/1030] loss = 33221.171703
[e001 s0750/1030] loss = 31006.746092
[e001 s0800/1030] loss = 29069.092862
[e001 s0850/1030] loss = 27359.527630
[e001 s0900/1030] loss = 25839.794661
[e001 s0950/1030] loss = 24480.238360
[e001 s1000/1030] loss = 23256.435268
Epoch 001: train_loss = 22579.203495  MAE/GAME0 = 64.879  RMSE = 89.416  GAME1 = 65.192  GAME2 = 65.851  GAME3 = 65.967  lr = 5.07e-06  kd = 1.00  time = 29.0s
[e002 s0001/1030] loss = 1.351972
[e002 s0050/1030] loss = 4.210408
[e002 s0100/1030] loss = 4.210402
[e002 s0150/1030] loss = 4.676291
[e002 s0200/1030] loss = 4.414484
[e002 s0250/1030] loss = 4.140247
[e002 s0300/1030] loss = 4.333237
[e002 s0350/1030] loss = 5.462886
[e002 s0400/1030] loss = 5.460672
[e002 s0450/1030] loss = 5.850911
[e002 s0500/1030] loss = 5.594450
[e002 s0550/1030] loss = 5.440969
[e002 s0600/1030] loss = 5.298877
[e002 s0650/1030] loss = 5.104136
[e002 s0700/1030] loss = 4.999667
[e002 s0750/1030] loss = 4.815526
[e002 s0800/1030] loss = 4.679175
[e002 s0850/1030] loss = 4.570879
[e002 s0900/1030] loss = 4.439499
[e002 s0950/1030] loss = 4.348626
[e002 s1000/1030] loss = 4.361446
Epoch 002: train_loss = 4.283714  MAE/GAME0 = 40.837  RMSE = 74.228  GAME1 = 50.741  GAME2 = 62.355  GAME3 = 73.779  lr = 5.28e-06  kd = 1.00  time = 28.3s
[e003 s0001/1030] loss = 0.635046
[e003 s0050/1030] loss = 1.931258
[e003 s0100/1030] loss = 2.055443
[e003 s0150/1030] loss = 3.909637
[e003 s0200/1030] loss = 5.910791
[e003 s0250/1030] loss = 5.008480
[e003 s0300/1030] loss = 4.888432
[e003 s0350/1030] loss = 4.334509
[e003 s0400/1030] loss = 4.141935
[e003 s0450/1030] loss = 3.880259
[e003 s0500/1030] loss = 3.642872
[e003 s0550/1030] loss = 3.424611
[e003 s0600/1030] loss = 3.312397
[e003 s0650/1030] loss = 3.195683
[e003 s0700/1030] loss = 3.112938
[e003 s0750/1030] loss = 3.106472
[e003 s0800/1030] loss = 3.017809
[e003 s0850/1030] loss = 2.942749
[e003 s0900/1030] loss = 2.915383
[e003 s0950/1030] loss = 2.862979
[e003 s1000/1030] loss = 2.796896
Epoch 003: train_loss = 2.793684  MAE/GAME0 = 130.409  RMSE = 146.161  GAME1 = 132.859  GAME2 = 136.730  GAME3 = 142.955  lr = 5.62e-06  kd = 1.00  time = 34.7s
[e004 s0001/1030] loss = 0.247590
[e004 s0050/1030] loss = 1.707152
[e004 s0100/1030] loss = 1.580186
[e004 s0150/1030] loss = 1.499576
[e004 s0200/1030] loss = 1.446898
[e004 s0250/1030] loss = 1.398527
[e004 s0300/1030] loss = 1.525878
[e004 s0350/1030] loss = 1.656617
[e004 s0400/1030] loss = 1.553286
[e004 s0450/1030] loss = 1.597423
[e004 s0500/1030] loss = 1.506600
[e004 s0550/1030] loss = 1.497872
[e004 s0600/1030] loss = 1.622925
[e004 s0650/1030] loss = 1.668742
[e004 s0700/1030] loss = 1.599539
[e004 s0750/1030] loss = 1.602455
[e004 s0800/1030] loss = 1.620065
[e004 s0850/1030] loss = 2.109888
[e004 s0900/1030] loss = 2.065040
[e004 s0950/1030] loss = 2.167760
[e004 s1000/1030] loss = 2.298787
Epoch 004: train_loss = 2.337462  MAE/GAME0 = 59.530  RMSE = 81.003  GAME1 = 65.370  GAME2 = 75.963  GAME3 = 85.771  lr = 6.10e-06  kd = 1.00  time = 27.3s
[e005 s0001/1030] loss = 0.180115
[e005 s0050/1030] loss = 0.939389
[e005 s0100/1030] loss = 1.359369
[e005 s0150/1030] loss = 1.576927
[e005 s0200/1030] loss = 1.496797
[e005 s0250/1030] loss = 1.832478
[e005 s0300/1030] loss = 1.796041
[e005 s0350/1030] loss = 1.705618
[e005 s0400/1030] loss = 1.917264
[e005 s0450/1030] loss = 1.880700
[e005 s0500/1030] loss = 1.816310
[e005 s0550/1030] loss = 1.861732
[e005 s0600/1030] loss = 1.808314
[e005 s0650/1030] loss = 2.381059
[e005 s0700/1030] loss = 2.299498
[e005 s0750/1030] loss = 2.325668
[e005 s0800/1030] loss = 2.233821
[e005 s0850/1030] loss = 2.181140
[e005 s0900/1030] loss = 2.129128
[e005 s0950/1030] loss = 2.064089
[e005 s1000/1030] loss = 2.035831
Epoch 005: train_loss = 2.007095  MAE/GAME0 = 74.353  RMSE = 87.384  GAME1 = 77.407  GAME2 = 84.415  GAME3 = 93.322  lr = 6.71e-06  kd = 1.00  time = 27.0s
[e006 s0001/1030] loss = 0.295039
[e006 s0050/1030] loss = 0.576970
[e006 s0100/1030] loss = 0.714331
[e006 s0150/1030] loss = 1.185961
[e006 s0200/1030] loss = 1.124674
[e006 s0250/1030] loss = 1.044271
[e006 s0300/1030] loss = 1.079975
[e006 s0350/1030] loss = 1.073440
[e006 s0400/1030] loss = 2.053405
[e006 s0450/1030] loss = 1.989303
[e006 s0500/1030] loss = 2.035160
[e006 s0550/1030] loss = 1.946689
[e006 s0600/1030] loss = 1.851264
[e006 s0650/1030] loss = 1.936069
[e006 s0700/1030] loss = 1.864658
[e006 s0750/1030] loss = 1.827734
[e006 s0800/1030] loss = 1.798857
[e006 s0850/1030] loss = 1.749005
[e006 s0900/1030] loss = 1.718615
[e006 s0950/1030] loss = 1.769262
[e006 s1000/1030] loss = 1.748552
Epoch 006: train_loss = 1.732465  MAE/GAME0 = 69.289  RMSE = 84.065  GAME1 = 72.186  GAME2 = 78.218  GAME3 = 86.117  lr = 7.45e-06  kd = 1.00  time = 27.0s
[e007 s0001/1030] loss = 0.373274
[e007 s0050/1030] loss = 0.995949
[e007 s0100/1030] loss = 1.160692
[e007 s0150/1030] loss = 1.103875
[e007 s0200/1030] loss = 1.077638
[e007 s0250/1030] loss = 1.145543
[e007 s0300/1030] loss = 1.077980
[e007 s0350/1030] loss = 1.269004
[e007 s0400/1030] loss = 2.283297
[e007 s0450/1030] loss = 2.200631
[e007 s0500/1030] loss = 2.074430
[e007 s0550/1030] loss = 1.986745
[e007 s0600/1030] loss = 1.905780
[e007 s0650/1030] loss = 1.816248
[e007 s0700/1030] loss = 1.739269
[e007 s0750/1030] loss = 1.672689
[e007 s0800/1030] loss = 1.610890
[e007 s0850/1030] loss = 1.559817
[e007 s0900/1030] loss = 1.577673
[e007 s0950/1030] loss = 1.561220
[e007 s1000/1030] loss = 1.543609
Epoch 007: train_loss = 1.530255  MAE/GAME0 = 95.670  RMSE = 112.187  GAME1 = 97.179  GAME2 = 99.732  GAME3 = 105.108  lr = 8.32e-06  kd = 1.00  time = 27.1s
[e008 s0001/1030] loss = 2.586255
[e008 s0050/1030] loss = 0.853140
[e008 s0100/1030] loss = 0.975694
[e008 s0150/1030] loss = 1.070044
[e008 s0200/1030] loss = 1.011466
[e008 s0250/1030] loss = 0.997127
[e008 s0300/1030] loss = 0.928011
[e008 s0350/1030] loss = 0.897936
[e008 s0400/1030] loss = 0.902260
[e008 s0450/1030] loss = 1.796044
[e008 s0500/1030] loss = 1.684647
[e008 s0550/1030] loss = 1.579932
[e008 s0600/1030] loss = 1.571836
[e008 s0650/1030] loss = 1.553342
[e008 s0700/1030] loss = 1.522244
[e008 s0750/1030] loss = 1.486503
[e008 s0800/1030] loss = 1.455934
[e008 s0850/1030] loss = 1.419304
[e008 s0900/1030] loss = 1.400040
[e008 s0950/1030] loss = 1.354591
[e008 s1000/1030] loss = 1.331431
Epoch 008: train_loss = 1.308120  MAE/GAME0 = 98.049  RMSE = 116.459  GAME1 = 99.901  GAME2 = 103.346  GAME3 = 109.824  lr = 9.30e-06  kd = 1.00  time = 27.0s
[e009 s0001/1030] loss = 1.072327
[e009 s0050/1030] loss = 1.500280
[e009 s0100/1030] loss = 1.185275
[e009 s0150/1030] loss = 1.451130
[e009 s0200/1030] loss = 2.955254
[e009 s0250/1030] loss = 2.446123
[e009 s0300/1030] loss = 2.184300
[e009 s0350/1030] loss = 1.996164
[e009 s0400/1030] loss = 1.886539
[e009 s0450/1030] loss = 1.729794
[e009 s0500/1030] loss = 1.633207
[e009 s0550/1030] loss = 1.578129
