[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e100_12751554.pbs101_20260117_203948.log
[job] name=train_rgbt_late_e100 id=12751554.pbs101 host=x1000c1s2b0n0 time=Sat Jan 17 20:39:48 +08 2026
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 4.042639
[e001 s0050/1030] loss = 0.375186
[e001 s0100/1030] loss = 0.187593
[e001 s0150/1030] loss = 0.125062
[e001 s0200/1030] loss = 0.093797
[e001 s0250/1030] loss = 0.075037
[e001 s0300/1030] loss = 0.062531
[e001 s0350/1030] loss = 0.053598
[e001 s0400/1030] loss = 0.046898
[e001 s0450/1030] loss = 0.041687
[e001 s0500/1030] loss = 0.037519
[e001 s0550/1030] loss = 0.034108
[e001 s0600/1030] loss = 0.031266
[e001 s0650/1030] loss = 0.028860
[e001 s0700/1030] loss = 0.026799
[e001 s0750/1030] loss = 0.025012
[e001 s0800/1030] loss = 0.023449
[e001 s0850/1030] loss = 0.022070
[e001 s0900/1030] loss = 0.020844
[e001 s0950/1030] loss = 0.019747
[e001 s1000/1030] loss = 0.018759
Epoch 001: train_loss = 0.018213  MAE/GAME0 = 0.000  RMSE = 0.000  GAME1 = 0.000  GAME2 = 0.000  GAME3 = 0.000  lr = 1.00e-05  time = 19.7s
[e002 s0001/1030] loss = 0.000000
[e002 s0050/1030] loss = 0.000000
[e002 s0100/1030] loss = 0.000000
[e002 s0150/1030] loss = 0.000000
[e002 s0200/1030] loss = 0.000000
[e002 s0250/1030] loss = 0.000000
[e002 s0300/1030] loss = 0.000000
[e002 s0350/1030] loss = 0.000000
[e002 s0400/1030] loss = 0.000000
[e002 s0450/1030] loss = 0.000000
[e002 s0500/1030] loss = 0.000000
[e002 s0550/1030] loss = 0.000000
[e002 s0600/1030] loss = 0.000000
[e002 s0650/1030] loss = 0.000000
[e002 s0700/1030] loss = 0.000000
[e002 s0750/1030] loss = 0.000000
[e002 s0800/1030] loss = 0.000000
[e002 s0850/1030] loss = 0.000000
[e002 s0900/1030] loss = 0.000000
