[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e100_count_ema_12711953.pbs101_20260109_181519.log
[init] device = cuda
[init] PROJECT_ROOT = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter
[epoch 001/100] lr = 1.00e-05 | train loss = 0.0841 (base 0.0188, count 0.6522, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.854, MAE = 65.425, GAME0 = 65.425, GAME1 = 65.441, GAME2 = 65.459, GAME3 = 65.475 | time = 61.7s
[epoch 002/100] lr = 1.00e-05 | train loss = 0.0202 (base 0.0008, count 0.1944, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.4s
[epoch 003/100] lr = 1.00e-05 | train loss = 0.0213 (base 0.0010, count 0.2026, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 47.9s
[epoch 004/100] lr = 1.00e-05 | train loss = 0.0201 (base 0.0007, count 0.1938, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
[epoch 005/100] lr = 1.00e-05 | train loss = 0.0204 (base 0.0009, count 0.1947, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.2s
[epoch 006/100] lr = 1.00e-05 | train loss = 0.0201 (base 0.0009, count 0.1928, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.7s
[epoch 007/100] lr = 1.00e-05 | train loss = 0.0209 (base 0.0009, count 0.1993, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.3s
[epoch 008/100] lr = 1.00e-05 | train loss = 0.0198 (base 0.0008, count 0.1896, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
[epoch 009/100] lr = 1.00e-05 | train loss = 0.0202 (base 0.0008, count 0.1939, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
[epoch 010/100] lr = 1.00e-05 | train loss = 0.0197 (base 0.0007, count 0.1897, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.2s
[epoch 011/100] lr = 1.00e-05 | train loss = 0.0200 (base 0.0008, count 0.1917, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 89.862, MAE = 65.450, GAME0 = 65.450, GAME1 = 65.450, GAME2 = 65.450, GAME3 = 65.450 | time = 48.1s
