[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e100_sanity_12791760.pbs101_20260126_164013.log
[job] name=train_rgbt_late_e100_sanity id=12791760.pbs101 host=x1000c2s1b0n0 time=Mon Jan 26 16:40:13 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:384: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 6092.033203
[e001 s0050/1030] loss = 201.060111
[e001 s0100/1030] loss = 100.761930
[e001 s0150/1030] loss = 67.323039
[e001 s0200/1030] loss = 50.565479
[e001 s0250/1030] loss = 40.505306
[e001 s0300/1030] loss = 33.783295
[e001 s0350/1030] loss = 28.979158
[e001 s0400/1030] loss = 25.370045
[e001 s0450/1030] loss = 22.565822
[e001 s0500/1030] loss = 20.321354
[e001 s0550/1030] loss = 18.481021
[e001 s0600/1030] loss = 16.949111
[e001 s0650/1030] loss = 15.650059
[e001 s0700/1030] loss = 14.538775
[e001 s0750/1030] loss = 13.574019
[e001 s0800/1030] loss = 12.727755
[e001 s0850/1030] loss = 11.983841
[e001 s0900/1030] loss = 11.321448
[e001 s0950/1030] loss = 10.729152
[e001 s1000/1030] loss = 10.194465
Epoch 001: train_loss = 9.898458  MAE/GAME0 = 20.774  RMSE = 40.283  GAME1 = 23.322  GAME2 = 25.777  GAME3 = 26.593  lr = 1.00e-05  time = 18.3s
[e002 s0001/1030] loss = 0.001051
[e002 s0050/1030] loss = 0.029064
[e002 s0100/1030] loss = 0.039489
[e002 s0150/1030] loss = 0.038391
[e002 s0200/1030] loss = 0.038009
[e002 s0250/1030] loss = 0.038230
[e002 s0300/1030] loss = 0.037771
[e002 s0350/1030] loss = 0.038283
[e002 s0400/1030] loss = 0.038492
[e002 s0450/1030] loss = 0.038922
[e002 s0500/1030] loss = 0.038582
[e002 s0550/1030] loss = 0.037174
[e002 s0600/1030] loss = 0.037381
[e002 s0650/1030] loss = 0.036474
[e002 s0700/1030] loss = 0.036187
[e002 s0750/1030] loss = 0.035650
[e002 s0800/1030] loss = 0.035444
[e002 s0850/1030] loss = 0.035521
[e002 s0900/1030] loss = 0.034989
[e002 s0950/1030] loss = 0.034373
[e002 s1000/1030] loss = 0.034837
Epoch 002: train_loss = 0.034432  MAE/GAME0 = 22.534  RMSE = 41.656  GAME1 = 23.434  GAME2 = 24.008  GAME3 = 24.231  lr = 1.00e-05  time = 13.4s
[e003 s0001/1030] loss = 0.011401
[e003 s0050/1030] loss = 0.036572
[e003 s0100/1030] loss = 0.033530
[e003 s0150/1030] loss = 0.031319
[e003 s0200/1030] loss = 0.034314
[e003 s0250/1030] loss = 0.030746
[e003 s0300/1030] loss = 0.030002
[e003 s0350/1030] loss = 0.028604
[e003 s0400/1030] loss = 0.029110
[e003 s0450/1030] loss = 0.028490
[e003 s0500/1030] loss = 0.027829
[e003 s0550/1030] loss = 0.027012
[e003 s0600/1030] loss = 0.026885
[e003 s0650/1030] loss = 0.026252
[e003 s0700/1030] loss = 0.026420
[e003 s0750/1030] loss = 0.026006
[e003 s0800/1030] loss = 0.025919
[e003 s0850/1030] loss = 0.026184
[e003 s0900/1030] loss = 0.026378
[e003 s0950/1030] loss = 0.026300
[e003 s1000/1030] loss = 0.025962
Epoch 003: train_loss = 0.026115  MAE/GAME0 = 23.013  RMSE = 41.988  GAME1 = 23.324  GAME2 = 23.532  GAME3 = 23.630  lr = 1.00e-05  time = 13.4s
[e004 s0001/1030] loss = 0.003103
[e004 s0050/1030] loss = 0.020798
[e004 s0100/1030] loss = 0.022276
[e004 s0150/1030] loss = 0.022865
[e004 s0200/1030] loss = 0.022989
[e004 s0250/1030] loss = 0.021750
[e004 s0300/1030] loss = 0.023119
[e004 s0350/1030] loss = 0.023723
[e004 s0400/1030] loss = 0.023923
[e004 s0450/1030] loss = 0.023653
[e004 s0500/1030] loss = 0.022940
[e004 s0550/1030] loss = 0.022516
[e004 s0600/1030] loss = 0.022740
[e004 s0650/1030] loss = 0.023194
[e004 s0700/1030] loss = 0.022460
[e004 s0750/1030] loss = 0.022825
[e004 s0800/1030] loss = 0.022801
[e004 s0850/1030] loss = 0.022977
[e004 s0900/1030] loss = 0.022872
[e004 s0950/1030] loss = 0.023475
[e004 s1000/1030] loss = 0.023719
Epoch 004: train_loss = 0.023820  MAE/GAME0 = 23.205  RMSE = 42.157  GAME1 = 23.330  GAME2 = 23.385  GAME3 = 23.418  lr = 1.00e-05  time = 13.4s
[e005 s0001/1030] loss = 0.004229
[e005 s0050/1030] loss = 0.018760
[e005 s0100/1030] loss = 0.018026
[e005 s0150/1030] loss = 0.019600
[e005 s0200/1030] loss = 0.019139
[e005 s0250/1030] loss = 0.020672
[e005 s0300/1030] loss = 0.020091
[e005 s0350/1030] loss = 0.019394
[e005 s0400/1030] loss = 0.020496
[e005 s0450/1030] loss = 0.020144
[e005 s0500/1030] loss = 0.020125
[e005 s0550/1030] loss = 0.020303
[e005 s0600/1030] loss = 0.019945
[e005 s0650/1030] loss = 0.020216
[e005 s0700/1030] loss = 0.020273
[e005 s0750/1030] loss = 0.020387
[e005 s0800/1030] loss = 0.020058
[e005 s0850/1030] loss = 0.020021
[e005 s0900/1030] loss = 0.019984
[e005 s0950/1030] loss = 0.019880
[e005 s1000/1030] loss = 0.020182
Epoch 005: train_loss = 0.020092  MAE/GAME0 = 23.258  RMSE = 42.183  GAME1 = 23.317  GAME2 = 23.345  GAME3 = 23.359  lr = 1.00e-05  time = 13.3s
[e006 s0001/1030] loss = 0.001051
[e006 s0050/1030] loss = 0.016931
[e006 s0100/1030] loss = 0.018337
[e006 s0150/1030] loss = 0.018514
[e006 s0200/1030] loss = 0.019131
[e006 s0250/1030] loss = 0.018757
[e006 s0300/1030] loss = 0.018519
[e006 s0350/1030] loss = 0.019019
[e006 s0400/1030] loss = 0.021502
[e006 s0450/1030] loss = 0.021010
[e006 s0500/1030] loss = 0.020974
[e006 s0550/1030] loss = 0.020948
[e006 s0600/1030] loss = 0.020567
[e006 s0650/1030] loss = 0.021868
[e006 s0700/1030] loss = 0.022157
[e006 s0750/1030] loss = 0.022448
[e006 s0800/1030] loss = 0.022633
[e006 s0850/1030] loss = 0.022189
[e006 s0900/1030] loss = 0.022248
[e006 s0950/1030] loss = 0.022494
[e006 s1000/1030] loss = 0.022629
Epoch 006: train_loss = 0.022637  MAE/GAME0 = 23.298  RMSE = 42.255  GAME1 = 23.309  GAME2 = 23.311  GAME3 = 23.312  lr = 1.00e-05  time = 13.3s
[e007 s0001/1030] loss = 0.071252
[e007 s0050/1030] loss = 0.022990
[e007 s0100/1030] loss = 0.023293
[e007 s0150/1030] loss = 0.021362
[e007 s0200/1030] loss = 0.021107
[e007 s0250/1030] loss = 0.021620
[e007 s0300/1030] loss = 0.021518
[e007 s0350/1030] loss = 0.022567
[e007 s0400/1030] loss = 0.023335
[e007 s0450/1030] loss = 0.024063
[e007 s0500/1030] loss = 0.023668
[e007 s0550/1030] loss = 0.023487
[e007 s0600/1030] loss = 0.023026
[e007 s0650/1030] loss = 0.022569
[e007 s0700/1030] loss = 0.022295
[e007 s0750/1030] loss = 0.022007
[e007 s0800/1030] loss = 0.021633
[e007 s0850/1030] loss = 0.021462
[e007 s0900/1030] loss = 0.021664
[e007 s0950/1030] loss = 0.021743
[e007 s1000/1030] loss = 0.021802
Epoch 007: train_loss = 0.021695  MAE/GAME0 = 23.287  RMSE = 42.253  GAME1 = 23.297  GAME2 = 23.297  GAME3 = 23.297  lr = 1.00e-05  time = 13.4s
[e008 s0001/1030] loss = 0.040083
[e008 s0050/1030] loss = 0.016644
[e008 s0100/1030] loss = 0.018904
[e008 s0150/1030] loss = 0.020851
[e008 s0200/1030] loss = 0.020242
[e008 s0250/1030] loss = 0.020067
[e008 s0300/1030] loss = 0.020518
[e008 s0350/1030] loss = 0.020167
[e008 s0400/1030] loss = 0.019868
[e008 s0450/1030] loss = 0.021048
[e008 s0500/1030] loss = 0.020738
[e008 s0550/1030] loss = 0.020457
[e008 s0600/1030] loss = 0.020407
[e008 s0650/1030] loss = 0.020958
[e008 s0700/1030] loss = 0.021015
[e008 s0750/1030] loss = 0.020789
[e008 s0800/1030] loss = 0.020822
[e008 s0850/1030] loss = 0.020528
[e008 s0900/1030] loss = 0.020651
[e008 s0950/1030] loss = 0.020542
[e008 s1000/1030] loss = 0.020216
Epoch 008: train_loss = 0.020213  MAE/GAME0 = 23.280  RMSE = 42.251  GAME1 = 23.290  GAME2 = 23.290  GAME3 = 23.290  lr = 1.00e-05  time = 13.5s
[e009 s0001/1030] loss = 0.020019
[e009 s0050/1030] loss = 0.022476
[e009 s0100/1030] loss = 0.026620
[e009 s0150/1030] loss = 0.027148
[e009 s0200/1030] loss = 0.026581
[e009 s0250/1030] loss = 0.023502
[e009 s0300/1030] loss = 0.023074
[e009 s0350/1030] loss = 0.022149
[e009 s0400/1030] loss = 0.022436
[e009 s0450/1030] loss = 0.022319
[e009 s0500/1030] loss = 0.022103
[e009 s0550/1030] loss = 0.022039
[e009 s0600/1030] loss = 0.021683
[e009 s0650/1030] loss = 0.021180
[e009 s0700/1030] loss = 0.020765
[e009 s0750/1030] loss = 0.020849
[e009 s0800/1030] loss = 0.020460
[e009 s0850/1030] loss = 0.020602
[e009 s0900/1030] loss = 0.020381
[e009 s0950/1030] loss = 0.020056
[e009 s1000/1030] loss = 0.020086
Epoch 009: train_loss = 0.020222  MAE/GAME0 = 23.270  RMSE = 42.250  GAME1 = 23.280  GAME2 = 23.280  GAME3 = 23.280  lr = 1.00e-05  time = 13.3s
[e010 s0001/1030] loss = 0.007485
[e010 s0050/1030] loss = 0.022085
[e010 s0100/1030] loss = 0.021222
[e010 s0150/1030] loss = 0.021987
[e010 s0200/1030] loss = 0.021051
[e010 s0250/1030] loss = 0.022156
[e010 s0300/1030] loss = 0.021598
[e010 s0350/1030] loss = 0.021003
[e010 s0400/1030] loss = 0.021292
[e010 s0450/1030] loss = 0.022217
[e010 s0500/1030] loss = 0.021875
[e010 s0550/1030] loss = 0.021493
[e010 s0600/1030] loss = 0.021268
[e010 s0650/1030] loss = 0.021481
[e010 s0700/1030] loss = 0.021553
[e010 s0750/1030] loss = 0.021031
[e010 s0800/1030] loss = 0.020810
[e010 s0850/1030] loss = 0.020857
[e010 s0900/1030] loss = 0.021147
[e010 s0950/1030] loss = 0.021366
[e010 s1000/1030] loss = 0.021129
Epoch 010: train_loss = 0.021072  MAE/GAME0 = 23.268  RMSE = 42.250  GAME1 = 23.278  GAME2 = 23.278  GAME3 = 23.278  lr = 1.00e-05  time = 13.1s
[e011 s0001/1030] loss = 0.009225
[e011 s0050/1030] loss = 0.016842
[e011 s0100/1030] loss = 0.018881
[e011 s0150/1030] loss = 0.019697
[e011 s0200/1030] loss = 0.021516
[e011 s0250/1030] loss = 0.019903
[e011 s0300/1030] loss = 0.019411
[e011 s0350/1030] loss = 0.019674
[e011 s0400/1030] loss = 0.020315
[e011 s0450/1030] loss = 0.019783
[e011 s0500/1030] loss = 0.019472
[e011 s0550/1030] loss = 0.019526
[e011 s0600/1030] loss = 0.019112
[e011 s0650/1030] loss = 0.019118
[e011 s0700/1030] loss = 0.019339
[e011 s0750/1030] loss = 0.019406
[e011 s0800/1030] loss = 0.019325
[e011 s0850/1030] loss = 0.019451
[e011 s0900/1030] loss = 0.020147
[e011 s0950/1030] loss = 0.021027
[e011 s1000/1030] loss = 0.020819
Epoch 011: train_loss = 0.020672  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 1.00e-05  time = 13.2s
[e012 s0001/1030] loss = 0.000000
[e012 s0050/1030] loss = 0.015749
[e012 s0100/1030] loss = 0.016028
[e012 s0150/1030] loss = 0.019662
[e012 s0200/1030] loss = 0.019222
[e012 s0250/1030] loss = 0.019616
[e012 s0300/1030] loss = 0.019479
[e012 s0350/1030] loss = 0.019147
[e012 s0400/1030] loss = 0.018888
[e012 s0450/1030] loss = 0.019381
[e012 s0500/1030] loss = 0.019305
[e012 s0550/1030] loss = 0.019663
[e012 s0600/1030] loss = 0.020172
[e012 s0650/1030] loss = 0.020783
[e012 s0700/1030] loss = 0.020891
[e012 s0750/1030] loss = 0.020775
[e012 s0800/1030] loss = 0.020763
[e012 s0850/1030] loss = 0.021018
