[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e100_sanity_12839449.pbs101_20260206_162342.log
[job] name=train_rgbt_late_e100_sanity id=12839449.pbs101 host=x1000c1s0b0n1 time=Fri Feb  6 16:23:42 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 279.079803
[e001 s0050/1030] loss = 12.723585
[e001 s0100/1030] loss = 7.253520
[e001 s0150/1030] loss = 5.333598
[e001 s0200/1030] loss = 4.605521
[e001 s0250/1030] loss = 4.220383
[e001 s0300/1030] loss = 3.851533
[e001 s0350/1030] loss = 3.654005
[e001 s0400/1030] loss = 3.604686
[e001 s0450/1030] loss = 4.469650
[e001 s0500/1030] loss = 4.234622
[e001 s0550/1030] loss = 4.047732
[e001 s0600/1030] loss = 3.946638
[e001 s0650/1030] loss = 3.884233
[e001 s0700/1030] loss = 3.845723
[e001 s0750/1030] loss = 3.777427
[e001 s0800/1030] loss = 3.676598
[e001 s0850/1030] loss = 3.728047
[e001 s0900/1030] loss = 3.624363
[e001 s0950/1030] loss = 3.665564
[e001 s1000/1030] loss = 3.612457
Epoch 001: train_loss = 3.588317  MAE/GAME0 = 23.228  RMSE = 42.235  GAME1 = 23.235  GAME2 = 23.244  GAME3 = 23.250  lr = 1.00e-05  time = 31.2s
[e002 s0001/1030] loss = 0.041044
[e002 s0050/1030] loss = 1.701074
[e002 s0100/1030] loss = 1.754427
[e002 s0150/1030] loss = 2.332696
[e002 s0200/1030] loss = 2.213296
[e002 s0250/1030] loss = 2.354759
[e002 s0300/1030] loss = 2.775125
[e002 s0350/1030] loss = 3.407053
[e002 s0400/1030] loss = 3.416868
[e002 s0450/1030] loss = 3.917568
[e002 s0500/1030] loss = 3.787098
[e002 s0550/1030] loss = 3.627218
[e002 s0600/1030] loss = 3.584663
[e002 s0650/1030] loss = 3.575086
[e002 s0700/1030] loss = 3.592737
[e002 s0750/1030] loss = 3.468605
[e002 s0800/1030] loss = 3.482382
[e002 s0850/1030] loss = 3.485390
[e002 s0900/1030] loss = 3.419488
[e002 s0950/1030] loss = 3.415925
[e002 s1000/1030] loss = 3.407684
Epoch 002: train_loss = 3.379281  MAE/GAME0 = 23.243  RMSE = 42.247  GAME1 = 23.243  GAME2 = 23.246  GAME3 = 23.246  lr = 1.00e-05  time = 13.3s
[e003 s0001/1030] loss = 0.000000
[e003 s0050/1030] loss = 1.845691
[e003 s0100/1030] loss = 2.213370
[e003 s0150/1030] loss = 2.703235
[e003 s0200/1030] loss = 5.366967
[e003 s0250/1030] loss = 4.640203
[e003 s0300/1030] loss = 4.460756
[e003 s0350/1030] loss = 4.066786
[e003 s0400/1030] loss = 4.157249
[e003 s0450/1030] loss = 3.917783
[e003 s0500/1030] loss = 3.785995
[e003 s0550/1030] loss = 3.615311
[e003 s0600/1030] loss = 3.563431
[e003 s0650/1030] loss = 3.448891
[e003 s0700/1030] loss = 3.402856
[e003 s0750/1030] loss = 3.360543
[e003 s0800/1030] loss = 3.298021
[e003 s0850/1030] loss = 3.329043
[e003 s0900/1030] loss = 3.398382
[e003 s0950/1030] loss = 3.406618
[e003 s1000/1030] loss = 3.355596
Epoch 003: train_loss = 3.379785  MAE/GAME0 = 23.244  RMSE = 42.247  GAME1 = 23.244  GAME2 = 23.246  GAME3 = 23.246  lr = 1.00e-05  time = 13.4s
[e004 s0001/1030] loss = 0.083926
[e004 s0050/1030] loss = 2.661185
[e004 s0100/1030] loss = 2.544359
[e004 s0150/1030] loss = 2.725377
