[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_late_e400_12850189.pbs101_20260209_154145.log
[job] name=train_rgbt_late_e400 id=12850189.pbs101 host=x1000c3s3b0n0 time=Mon Feb  9 15:41:45 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] val_fullres = True (split=val, img=768x1024)
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 279.644684
[e001 s0050/1030] loss = 22.630414
[e001 s0100/1030] loss = 12.368142
[e001 s0150/1030] loss = 8.896453
[e001 s0200/1030] loss = 7.367603
[e001 s0250/1030] loss = 6.502449
[e001 s0300/1030] loss = 5.795602
[e001 s0350/1030] loss = 5.357214
[e001 s0400/1030] loss = 5.130427
[e001 s0450/1030] loss = 5.855006
[e001 s0500/1030] loss = 5.499210
[e001 s0550/1030] loss = 5.212584
[e001 s0600/1030] loss = 5.035304
[e001 s0650/1030] loss = 4.905633
[e001 s0700/1030] loss = 4.810463
[e001 s0750/1030] loss = 4.690974
[e001 s0800/1030] loss = 4.542905
[e001 s0850/1030] loss = 4.556586
[e001 s0900/1030] loss = 4.415446
[e001 s0950/1030] loss = 4.424936
[e001 s1000/1030] loss = 4.341296
Epoch 001: train_loss = 4.301004  MAE/GAME0 = 65.323  RMSE = 89.769  GAME1 = 65.378  GAME2 = 65.540  GAME3 = 65.566  lr = 5.07e-06  time = 29.1s
[e002 s0001/1030] loss = 0.050043
[e002 s0050/1030] loss = 1.844962
[e002 s0100/1030] loss = 1.894111
[e002 s0150/1030] loss = 2.488651
[e002 s0200/1030] loss = 2.372219
[e002 s0250/1030] loss = 2.517506
[e002 s0300/1030] loss = 2.942665
[e002 s0350/1030] loss = 3.576462
[e002 s0400/1030] loss = 3.581547
[e002 s0450/1030] loss = 4.087451
[e002 s0500/1030] loss = 3.953183
[e002 s0550/1030] loss = 3.790637
[e002 s0600/1030] loss = 3.745693
[e002 s0650/1030] loss = 3.736887
[e002 s0700/1030] loss = 3.756238
[e002 s0750/1030] loss = 3.629469
[e002 s0800/1030] loss = 3.643722
[e002 s0850/1030] loss = 3.647340
[e002 s0900/1030] loss = 3.579888
[e002 s0950/1030] loss = 3.576162
[e002 s1000/1030] loss = 3.568219
Epoch 002: train_loss = 3.539944  MAE/GAME0 = 65.415  RMSE = 89.838  GAME1 = 65.434  GAME2 = 65.474  GAME3 = 65.483  lr = 5.28e-06  time = 16.8s
[e003 s0001/1030] loss = 0.000000
[e003 s0050/1030] loss = 1.979843
[e003 s0100/1030] loss = 2.357791
[e003 s0150/1030] loss = 2.851034
[e003 s0200/1030] loss = 5.528813
[e003 s0250/1030] loss = 4.791690
[e003 s0300/1030] loss = 4.616559
[e003 s0350/1030] loss = 4.217303
[e003 s0400/1030] loss = 4.312985
[e003 s0450/1030] loss = 4.071154
[e003 s0500/1030] loss = 3.937932
[e003 s0550/1030] loss = 3.764612
[e003 s0600/1030] loss = 3.711710
[e003 s0650/1030] loss = 3.596962
[e003 s0700/1030] loss = 3.551884
[e003 s0750/1030] loss = 3.509803
[e003 s0800/1030] loss = 3.446645
[e003 s0850/1030] loss = 3.480571
[e003 s0900/1030] loss = 3.551364
[e003 s0950/1030] loss = 3.560709
[e003 s1000/1030] loss = 3.508499
Epoch 003: train_loss = 3.532887  MAE/GAME0 = 65.439  RMSE = 89.854  GAME1 = 65.447  GAME2 = 65.458  GAME3 = 65.461  lr = 5.62e-06  time = 16.5s
[e004 s0001/1030] loss = 0.110926
[e004 s0050/1030] loss = 2.809507
[e004 s0100/1030] loss = 2.697779
[e004 s0150/1030] loss = 2.881959
[e004 s0200/1030] loss = 2.945403
[e004 s0250/1030] loss = 2.711157
[e004 s0300/1030] loss = 2.962001
[e004 s0350/1030] loss = 3.221809
[e004 s0400/1030] loss = 3.122905
[e004 s0450/1030] loss = 3.089137
[e004 s0500/1030] loss = 2.967470
[e004 s0550/1030] loss = 2.906182
[e004 s0600/1030] loss = 3.043286
[e004 s0650/1030] loss = 3.157341
[e004 s0700/1030] loss = 3.011966
[e004 s0750/1030] loss = 3.068807
[e004 s0800/1030] loss = 3.100902
[e004 s0850/1030] loss = 3.293046
[e004 s0900/1030] loss = 3.281288
[e004 s0950/1030] loss = 3.487676
[e004 s1000/1030] loss = 3.547098
Epoch 004: train_loss = 3.692342  MAE/GAME0 = 65.444  RMSE = 89.857  GAME1 = 65.448  GAME2 = 65.454  GAME3 = 65.456  lr = 6.10e-06  time = 16.4s
[e005 s0001/1030] loss = 0.219530
[e005 s0050/1030] loss = 2.321337
[e005 s0100/1030] loss = 2.347327
[e005 s0150/1030] loss = 2.825303
[e005 s0200/1030] loss = 2.796116
[e005 s0250/1030] loss = 3.260852
[e005 s0300/1030] loss = 3.051900
[e005 s0350/1030] loss = 2.842247
[e005 s0400/1030] loss = 3.288283
[e005 s0450/1030] loss = 3.164474
[e005 s0500/1030] loss = 3.116686
[e005 s0550/1030] loss = 3.090870
[e005 s0600/1030] loss = 2.976525
[e005 s0650/1030] loss = 3.182650
[e005 s0700/1030] loss = 3.149124
[e005 s0750/1030] loss = 3.154216
[e005 s0800/1030] loss = 3.033343
[e005 s0850/1030] loss = 3.028986
[e005 s0900/1030] loss = 3.004746
[e005 s0950/1030] loss = 2.953014
[e005 s1000/1030] loss = 3.012532
Epoch 005: train_loss = 2.979016  MAE/GAME0 = 65.447  RMSE = 89.859  GAME1 = 65.449  GAME2 = 65.453  GAME3 = 65.453  lr = 6.71e-06  time = 16.5s
[e006 s0001/1030] loss = 0.050043
[e006 s0050/1030] loss = 2.285467
[e006 s0100/1030] loss = 2.626126
[e006 s0150/1030] loss = 2.672760
[e006 s0200/1030] loss = 2.736892
[e006 s0250/1030] loss = 2.595366
[e006 s0300/1030] loss = 2.577218
[e006 s0350/1030] loss = 2.569387
[e006 s0400/1030] loss = 3.761727
[e006 s0450/1030] loss = 3.570720
[e006 s0500/1030] loss = 3.443030
[e006 s0550/1030] loss = 3.396071
[e006 s0600/1030] loss = 3.296334
