[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_rgbt_rgb_e100_sanity_12791762.pbs101_20260126_164027.log
[job] name=train_rgbt_rgb_e100_sanity id=12791762.pbs101 host=x1000c2s2b0n1 time=Mon Jan 26 16:40:27 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:384: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 786.611694
[e001 s0050/1030] loss = 25.077694
[e001 s0100/1030] loss = 12.558241
[e001 s0150/1030] loss = 8.389758
[e001 s0200/1030] loss = 6.302430
[e001 s0250/1030] loss = 5.051114
[e001 s0300/1030] loss = 4.214670
[e001 s0350/1030] loss = 3.617483
[e001 s0400/1030] loss = 3.168490
[e001 s0450/1030] loss = 2.821626
[e001 s0500/1030] loss = 2.541982
[e001 s0550/1030] loss = 2.312995
[e001 s0600/1030] loss = 2.122626
[e001 s0650/1030] loss = 1.961378
[e001 s0700/1030] loss = 1.823860
[e001 s0750/1030] loss = 1.703948
[e001 s0800/1030] loss = 1.598603
[e001 s0850/1030] loss = 1.506371
[e001 s0900/1030] loss = 1.423756
[e001 s0950/1030] loss = 1.350459
[e001 s1000/1030] loss = 1.283888
Epoch 001: train_loss = 1.247071  MAE/GAME0 = 22.743  RMSE = 41.730  GAME1 = 23.081  GAME2 = 23.562  GAME3 = 23.819  lr = 1.00e-05  time = 10.4s
[e002 s0001/1030] loss = 0.001051
[e002 s0050/1030] loss = 0.015875
[e002 s0100/1030] loss = 0.017730
[e002 s0150/1030] loss = 0.020236
[e002 s0200/1030] loss = 0.019462
[e002 s0250/1030] loss = 0.020384
[e002 s0300/1030] loss = 0.021668
[e002 s0350/1030] loss = 0.022719
[e002 s0400/1030] loss = 0.022414
[e002 s0450/1030] loss = 0.023672
[e002 s0500/1030] loss = 0.023138
[e002 s0550/1030] loss = 0.022540
[e002 s0600/1030] loss = 0.022674
[e002 s0650/1030] loss = 0.022671
[e002 s0700/1030] loss = 0.022811
[e002 s0750/1030] loss = 0.022445
[e002 s0800/1030] loss = 0.022494
[e002 s0850/1030] loss = 0.022671
[e002 s0900/1030] loss = 0.022404
[e002 s0950/1030] loss = 0.022313
[e002 s1000/1030] loss = 0.022497
Epoch 002: train_loss = 0.022442  MAE/GAME0 = 23.211  RMSE = 42.105  GAME1 = 23.279  GAME2 = 23.342  GAME3 = 23.390  lr = 1.00e-05  time = 7.5s
[e003 s0001/1030] loss = 0.000000
[e003 s0050/1030] loss = 0.020083
[e003 s0100/1030] loss = 0.021084
[e003 s0150/1030] loss = 0.021490
[e003 s0200/1030] loss = 0.025994
[e003 s0250/1030] loss = 0.023634
