[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e100_sanity_12717654.pbs101_20260111_173141.log
[job] name=train_t_e100_sanity id=12717654.pbs101 host=x1000c1s0b0n1 time=Sun Jan 11 17:31:41 +08 2026
[init] device = cuda
[init] PROJECT_ROOT = /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter
[epoch 001/100] lr = 1.00e-05 | train loss = 7.9320 (base 7.9320, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 61.913, MAE = 33.914, GAME0 = 33.914, GAME1 = 59.714, GAME2 = 81.246, GAME3 = 92.207 | time = 162.5s
[epoch 002/100] lr = 1.00e-05 | train loss = 0.0008 (base 0.0008, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 58.275, MAE = 33.024, GAME0 = 33.024, GAME1 = 51.131, GAME2 = 68.489, GAME3 = 78.165 | time = 29.6s
[epoch 003/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 53.412, MAE = 30.577, GAME0 = 30.577, GAME1 = 37.266, GAME2 = 45.322, GAME3 = 53.372 | time = 24.6s
[epoch 004/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 58.414, MAE = 29.373, GAME0 = 29.373, GAME1 = 44.167, GAME2 = 55.487, GAME3 = 63.660 | time = 24.8s
[epoch 005/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 64.593, MAE = 31.649, GAME0 = 31.649, GAME1 = 48.258, GAME2 = 60.207, GAME3 = 67.919 | time = 24.9s
[epoch 006/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 56.093, MAE = 26.717, GAME0 = 26.717, GAME1 = 37.365, GAME2 = 46.146, GAME3 = 53.395 | time = 25.0s
[epoch 007/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 51.056, MAE = 35.391, GAME0 = 35.391, GAME1 = 44.775, GAME2 = 55.397, GAME3 = 64.155 | time = 25.1s
[epoch 008/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 54.449, MAE = 34.733, GAME0 = 34.733, GAME1 = 40.543, GAME2 = 46.330, GAME3 = 52.295 | time = 25.0s
[epoch 009/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 51.417, MAE = 35.877, GAME0 = 35.877, GAME1 = 40.699, GAME2 = 45.498, GAME3 = 51.051 | time = 25.0s
[epoch 010/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 49.895, MAE = 23.860, GAME0 = 23.860, GAME1 = 32.770, GAME2 = 40.478, GAME3 = 46.897 | time = 24.9s
[epoch 011/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 58.319, MAE = 41.602, GAME0 = 41.602, GAME1 = 46.271, GAME2 = 51.181, GAME3 = 56.722 | time = 24.7s
[epoch 012/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.068, MAE = 38.423, GAME0 = 38.423, GAME1 = 57.833, GAME2 = 77.423, GAME3 = 88.374 | time = 24.6s
[epoch 013/100] lr = 1.00e-05 | train loss = 0.0008 (base 0.0008, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 61.883, MAE = 31.842, GAME0 = 31.842, GAME1 = 44.239, GAME2 = 53.934, GAME3 = 61.244 | time = 24.9s
[epoch 014/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 68.421, MAE = 53.301, GAME0 = 53.301, GAME1 = 77.138, GAME2 = 102.826, GAME3 = 117.409 | time = 25.0s
[epoch 015/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 60.958, MAE = 37.312, GAME0 = 37.312, GAME1 = 47.602, GAME2 = 57.600, GAME3 = 65.073 | time = 24.9s
[epoch 016/100] lr = 1.00e-05 | train loss = 0.0007 (base 0.0007, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 59.168, MAE = 35.619, GAME0 = 35.619, GAME1 = 44.577, GAME2 = 52.344, GAME3 = 58.870 | time = 24.8s
[epoch 017/100] lr = 1.00e-05 | train loss = 0.0008 (base 0.0008, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 58.032, MAE = 35.720, GAME0 = 35.720, GAME1 = 42.207, GAME2 = 49.041, GAME3 = 55.126 | time = 24.8s
[epoch 018/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 57.454, MAE = 29.204, GAME0 = 29.204, GAME1 = 34.954, GAME2 = 40.537, GAME3 = 45.675 | time = 24.7s
[epoch 019/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 54.118, MAE = 27.914, GAME0 = 27.914, GAME1 = 34.010, GAME2 = 40.064, GAME3 = 45.431 | time = 25.8s
[epoch 020/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 53.146, MAE = 27.698, GAME0 = 27.698, GAME1 = 33.711, GAME2 = 39.531, GAME3 = 45.273 | time = 24.5s
[epoch 021/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 53.218, MAE = 30.674, GAME0 = 30.674, GAME1 = 36.258, GAME2 = 41.137, GAME3 = 46.799 | time = 25.2s
[epoch 022/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 58.092, MAE = 29.286, GAME0 = 29.286, GAME1 = 35.919, GAME2 = 41.741, GAME3 = 46.967 | time = 25.0s
[epoch 023/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 80.158, MAE = 67.201, GAME0 = 67.201, GAME1 = 71.258, GAME2 = 76.079, GAME3 = 80.927 | time = 25.4s
[epoch 024/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 55.553, MAE = 40.352, GAME0 = 40.352, GAME1 = 47.949, GAME2 = 56.392, GAME3 = 63.832 | time = 24.8s
[epoch 025/100] lr = 1.00e-05 | train loss = 0.0006 (base 0.0006, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 53.129, MAE = 29.717, GAME0 = 29.717, GAME1 = 39.171, GAME2 = 47.963, GAME3 = 55.210 | time = 24.9s
[epoch 026/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 50.250, MAE = 26.354, GAME0 = 26.354, GAME1 = 33.547, GAME2 = 40.175, GAME3 = 46.726 | time = 25.1s
[epoch 027/100] lr = 1.00e-05 | train loss = 0.0004 (base 0.0004, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 62.767, MAE = 36.859, GAME0 = 36.859, GAME1 = 40.123, GAME2 = 43.481, GAME3 = 46.562 | time = 24.9s
[epoch 028/100] lr = 1.00e-05 | train loss = 0.0005 (base 0.0005, count 0.0000, game 0.0000, temp 0.0000, illum 0.0000) | val RMSE = 50.777, MAE = 28.356, GAME0 = 28.356, GAME1 = 33.964, GAME2 = 38.843, GAME3 = 44.609 | time = 24.9s
