[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e100_sanity_12839455.pbs101_20260206_162359.log
[job] name=train_t_e100_sanity id=12839455.pbs101 host=x1000c1s1b0n0 time=Fri Feb  6 16:23:59 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:383: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 111861.843750
[e001 s0050/1030] loss = 5021.011555
[e001 s0100/1030] loss = 2520.288348
[e001 s0150/1030] loss = 1685.213684
[e001 s0200/1030] loss = 1267.344571
[e001 s0250/1030] loss = 1016.274757
[e001 s0300/1030] loss = 848.603523
[e001 s0350/1030] loss = 728.420198
[e001 s0400/1030] loss = 638.367206
[e001 s0450/1030] loss = 569.016537
[e001 s0500/1030] loss = 512.562884
[e001 s0550/1030] loss = 466.424070
[e001 s0600/1030] loss = 428.064746
[e001 s0650/1030] loss = 395.558062
[e001 s0700/1030] loss = 367.725286
[e001 s0750/1030] loss = 343.462379
[e001 s0800/1030] loss = 322.210431
[e001 s0850/1030] loss = 303.569835
[e001 s0900/1030] loss = 286.853316
[e001 s0950/1030] loss = 272.043446
[e001 s1000/1030] loss = 258.646697
Epoch 001: train_loss = 251.217028  MAE/GAME0 = 22.044  RMSE = 41.530  GAME1 = 22.846  GAME2 = 23.860  GAME3 = 24.233  lr = 1.00e-05  time = 20.2s
[e002 s0001/1030] loss = 0.318617
[e002 s0050/1030] loss = 2.199344
[e002 s0100/1030] loss = 2.223251
[e002 s0150/1030] loss = 2.843753
[e002 s0200/1030] loss = 2.729432
[e002 s0250/1030] loss = 2.866412
[e002 s0300/1030] loss = 3.249063
[e002 s0350/1030] loss = 3.868246
[e002 s0400/1030] loss = 3.855107
[e002 s0450/1030] loss = 4.360663
[e002 s0500/1030] loss = 4.209224
[e002 s0550/1030] loss = 4.029608
[e002 s0600/1030] loss = 3.962073
[e002 s0650/1030] loss = 3.945017
[e002 s0700/1030] loss = 3.951456
[e002 s0750/1030] loss = 3.815332
[e002 s0800/1030] loss = 3.825742
[e002 s0850/1030] loss = 3.815516
[e002 s0900/1030] loss = 3.771613
[e002 s0950/1030] loss = 3.757698
[e002 s1000/1030] loss = 3.737825
Epoch 002: train_loss = 3.703566  MAE/GAME0 = 22.730  RMSE = 41.934  GAME1 = 23.041  GAME2 = 23.461  GAME3 = 23.649  lr = 1.00e-05  time = 7.5s
[e003 s0001/1030] loss = 0.142613
[e003 s0050/1030] loss = 2.022034
[e003 s0100/1030] loss = 2.454526
[e003 s0150/1030] loss = 2.965086
[e003 s0200/1030] loss = 5.625614
[e003 s0250/1030] loss = 4.870727
[e003 s0300/1030] loss = 4.659648
[e003 s0350/1030] loss = 4.261229
[e003 s0400/1030] loss = 4.335325
[e003 s0450/1030] loss = 4.084724
[e003 s0500/1030] loss = 3.954982
[e003 s0550/1030] loss = 3.774645
[e003 s0600/1030] loss = 3.728121
[e003 s0650/1030] loss = 3.607172
[e003 s0700/1030] loss = 3.553470
[e003 s0750/1030] loss = 3.506079
[e003 s0800/1030] loss = 3.437921
[e003 s0850/1030] loss = 3.462997
[e003 s0900/1030] loss = 3.527537
[e003 s0950/1030] loss = 3.531505
[e003 s1000/1030] loss = 3.477202
Epoch 003: train_loss = 3.499589  MAE/GAME0 = 22.965  RMSE = 42.073  GAME1 = 23.128  GAME2 = 23.357  GAME3 = 23.458  lr = 1.00e-05  time = 7.8s
[e004 s0001/1030] loss = 0.090991
[e004 s0050/1030] loss = 2.728660
[e004 s0100/1030] loss = 2.586116
[e004 s0150/1030] loss = 2.776619
[e004 s0200/1030] loss = 2.850791
[e004 s0250/1030] loss = 2.621143
[e004 s0300/1030] loss = 2.869725
[e004 s0350/1030] loss = 3.129504
[e004 s0400/1030] loss = 3.045039
[e004 s0450/1030] loss = 3.008997
[e004 s0500/1030] loss = 2.887836
[e004 s0550/1030] loss = 2.822886
[e004 s0600/1030] loss = 2.956779
[e004 s0650/1030] loss = 3.068793
[e004 s0700/1030] loss = 2.925429
[e004 s0750/1030] loss = 2.976303
[e004 s0800/1030] loss = 3.006218
[e004 s0850/1030] loss = 3.197343
[e004 s0900/1030] loss = 3.183491
[e004 s0950/1030] loss = 3.387025
[e004 s1000/1030] loss = 3.443097
Epoch 004: train_loss = 3.587256  MAE/GAME0 = 23.072  RMSE = 42.139  GAME1 = 23.173  GAME2 = 23.313  GAME3 = 23.375  lr = 1.00e-05  time = 7.5s
[e005 s0001/1030] loss = 0.192690
[e005 s0050/1030] loss = 2.184100
[e005 s0100/1030] loss = 2.231857
[e005 s0150/1030] loss = 2.702461
[e005 s0200/1030] loss = 2.676485
[e005 s0250/1030] loss = 3.137221
[e005 s0300/1030] loss = 2.931207
[e005 s0350/1030] loss = 2.729215
[e005 s0400/1030] loss = 3.172223
[e005 s0450/1030] loss = 3.047491
[e005 s0500/1030] loss = 2.998272
[e005 s0550/1030] loss = 2.979303
[e005 s0600/1030] loss = 2.867161
[e005 s0650/1030] loss = 3.071672
[e005 s0700/1030] loss = 3.039021
[e005 s0750/1030] loss = 3.041700
[e005 s0800/1030] loss = 2.922598
[e005 s0850/1030] loss = 2.916906
[e005 s0900/1030] loss = 2.891307
[e005 s0950/1030] loss = 2.838489
[e005 s1000/1030] loss = 2.895747
Epoch 005: train_loss = 2.862532  MAE/GAME0 = 23.134  RMSE = 42.177  GAME1 = 23.198  GAME2 = 23.285  GAME3 = 23.327  lr = 1.00e-05  time = 7.4s
[e006 s0001/1030] loss = 0.041372
[e006 s0050/1030] loss = 2.176797
[e006 s0100/1030] loss = 2.507640
[e006 s0150/1030] loss = 2.551574
[e006 s0200/1030] loss = 2.615388
[e006 s0250/1030] loss = 2.472383
[e006 s0300/1030] loss = 2.453973
[e006 s0350/1030] loss = 2.445817
[e006 s0400/1030] loss = 3.627347
[e006 s0450/1030] loss = 3.437723
[e006 s0500/1030] loss = 3.310603
[e006 s0550/1030] loss = 3.262513
[e006 s0600/1030] loss = 3.164136
[e006 s0650/1030] loss = 3.567293
[e006 s0700/1030] loss = 3.589334
[e006 s0750/1030] loss = 3.664453
[e006 s0800/1030] loss = 3.740928
[e006 s0850/1030] loss = 3.637415
[e006 s0900/1030] loss = 3.618671
[e006 s0950/1030] loss = 3.744847
[e006 s1000/1030] loss = 3.749669
Epoch 006: train_loss = 3.755513  MAE/GAME0 = 23.167  RMSE = 42.198  GAME1 = 23.212  GAME2 = 23.273  GAME3 = 23.303  lr = 1.00e-05  time = 7.7s
[e007 s0001/1030] loss = 8.069549
[e007 s0050/1030] loss = 3.697742
[e007 s0100/1030] loss = 3.591519
[e007 s0150/1030] loss = 3.114162
[e007 s0200/1030] loss = 3.016641
[e007 s0250/1030] loss = 3.204042
[e007 s0300/1030] loss = 3.177532
[e007 s0350/1030] loss = 3.705783
[e007 s0400/1030] loss = 4.203619
[e007 s0450/1030] loss = 4.453592
[e007 s0500/1030] loss = 4.271359
[e007 s0550/1030] loss = 4.216780
[e007 s0600/1030] loss = 4.056301
[e007 s0650/1030] loss = 3.924320
[e007 s0700/1030] loss = 3.786386
[e007 s0750/1030] loss = 3.687119
[e007 s0800/1030] loss = 3.581154
[e007 s0850/1030] loss = 3.541022
[e007 s0900/1030] loss = 3.537262
[e007 s0950/1030] loss = 3.542769
[e007 s1000/1030] loss = 3.521605
