[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e400_12850185.pbs101_20260209_154130.log
[job] name=train_t_e400 id=12850185.pbs101 host=x1000c2s7b0n1 time=Mon Feb  9 15:41:30 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:453: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 111933.992188
[e001 s0050/1030] loss = 9046.751992
[e001 s0100/1030] loss = 4543.737697
[e001 s0150/1030] loss = 3037.388001
[e001 s0200/1030] loss = 2283.950435
[e001 s0250/1030] loss = 1831.593374
[e001 s0300/1030] loss = 1529.850657
[e001 s0350/1030] loss = 1313.497538
[e001 s0400/1030] loss = 1151.206885
[e001 s0450/1030] loss = 1025.538474
[e001 s0500/1030] loss = 923.850232
[e001 s0550/1030] loss = 840.730081
[e001 s0600/1030] loss = 771.632416
[e001 s0650/1030] loss = 713.025411
[e001 s0700/1030] loss = 662.811414
[e001 s0750/1030] loss = 619.063825
[e001 s0800/1030] loss = 580.783745
[e001 s0850/1030] loss = 547.065051
[e001 s0900/1030] loss = 516.941548
[e001 s0950/1030] loss = 490.151429
[e001 s1000/1030] loss = 465.958947
Epoch 001: train_loss = 452.537258  MAE/GAME0 = 20.725  RMSE = 40.769  GAME1 = 22.600  GAME2 = 24.735  GAME3 = 25.415  lr = 5.07e-06  time = 27.8s
[e002 s0001/1030] loss = 1.195796
[e002 s0050/1030] loss = 3.424036
[e002 s0100/1030] loss = 3.592174
[e002 s0150/1030] loss = 4.275394
[e002 s0200/1030] loss = 4.218067
[e002 s0250/1030] loss = 4.270743
[e002 s0300/1030] loss = 4.587803
[e002 s0350/1030] loss = 5.177572
[e002 s0400/1030] loss = 5.148340
[e002 s0450/1030] loss = 5.730429
[e002 s0500/1030] loss = 5.532422
[e002 s0550/1030] loss = 5.298668
[e002 s0600/1030] loss = 5.162931
[e002 s0650/1030] loss = 5.112707
[e002 s0700/1030] loss = 5.084690
[e002 s0750/1030] loss = 4.912422
[e002 s0800/1030] loss = 4.898274
[e002 s0850/1030] loss = 4.851558
[e002 s0900/1030] loss = 4.832375
[e002 s0950/1030] loss = 4.798650
[e002 s1000/1030] loss = 4.748043
Epoch 002: train_loss = 4.696854  MAE/GAME0 = 22.140  RMSE = 41.594  GAME1 = 22.847  GAME2 = 23.793  GAME3 = 24.139  lr = 5.28e-06  time = 7.5s
[e003 s0001/1030] loss = 0.541296
[e003 s0050/1030] loss = 2.595201
[e003 s0100/1030] loss = 3.168672
[e003 s0150/1030] loss = 3.676893
[e003 s0200/1030] loss = 6.293322
[e003 s0250/1030] loss = 5.507382
[e003 s0300/1030] loss = 5.240189
[e003 s0350/1030] loss = 4.806752
[e003 s0400/1030] loss = 4.871605
[e003 s0450/1030] loss = 4.607457
[e003 s0500/1030] loss = 4.476988
[e003 s0550/1030] loss = 4.275544
[e003 s0600/1030] loss = 4.226832
[e003 s0650/1030] loss = 4.100784
[e003 s0700/1030] loss = 4.035030
[e003 s0750/1030] loss = 3.979314
[e003 s0800/1030] loss = 3.899001
[e003 s0850/1030] loss = 3.913106
[e003 s0900/1030] loss = 3.969051
[e003 s0950/1030] loss = 3.966041
[e003 s1000/1030] loss = 3.903648
Epoch 003: train_loss = 3.924145  MAE/GAME0 = 22.646  RMSE = 41.894  GAME1 = 23.006  GAME2 = 23.508  GAME3 = 23.715  lr = 5.62e-06  time = 7.6s
[e004 s0001/1030] loss = 0.122847
[e004 s0050/1030] loss = 3.076999
[e004 s0100/1030] loss = 2.874897
[e004 s0150/1030] loss = 3.050990
[e004 s0200/1030] loss = 3.102177
[e004 s0250/1030] loss = 2.874672
[e004 s0300/1030] loss = 3.121029
[e004 s0350/1030] loss = 3.425101
[e004 s0400/1030] loss = 3.347890
[e004 s0450/1030] loss = 3.303913
[e004 s0500/1030] loss = 3.176125
[e004 s0550/1030] loss = 3.101960
[e004 s0600/1030] loss = 3.239213
[e004 s0650/1030] loss = 3.358241
[e004 s0700/1030] loss = 3.204887
[e004 s0750/1030] loss = 3.251885
[e004 s0800/1030] loss = 3.277039
[e004 s0850/1030] loss = 3.464965
[e004 s0900/1030] loss = 3.448985
[e004 s0950/1030] loss = 3.653978
[e004 s1000/1030] loss = 3.713514
Epoch 004: train_loss = 3.854830  MAE/GAME0 = 22.904  RMSE = 42.041  GAME1 = 23.110  GAME2 = 23.393  GAME3 = 23.512  lr = 6.10e-06  time = 7.6s
[e005 s0001/1030] loss = 0.238379
[e005 s0050/1030] loss = 2.354410
[e005 s0100/1030] loss = 2.419764
[e005 s0150/1030] loss = 2.896666
[e005 s0200/1030] loss = 2.869992
[e005 s0250/1030] loss = 3.338880
[e005 s0300/1030] loss = 3.126467
[e005 s0350/1030] loss = 2.922447
[e005 s0400/1030] loss = 3.376489
[e005 s0450/1030] loss = 3.245624
[e005 s0500/1030] loss = 3.194662
[e005 s0550/1030] loss = 3.179474
[e005 s0600/1030] loss = 3.063104
[e005 s0650/1030] loss = 3.265671
[e005 s0700/1030] loss = 3.233362
[e005 s0750/1030] loss = 3.241206
[e005 s0800/1030] loss = 3.116832
[e005 s0850/1030] loss = 3.108849
[e005 s0900/1030] loss = 3.081258
[e005 s0950/1030] loss = 3.026492
[e005 s1000/1030] loss = 3.084891
Epoch 005: train_loss = 3.050256  MAE/GAME0 = 23.043  RMSE = 42.123  GAME1 = 23.164  GAME2 = 23.329  GAME3 = 23.401  lr = 6.71e-06  time = 7.5s
[e006 s0001/1030] loss = 0.050143
[e006 s0050/1030] loss = 2.335452
[e006 s0100/1030] loss = 2.703111
[e006 s0150/1030] loss = 2.733331
[e006 s0200/1030] loss = 2.790375
[e006 s0250/1030] loss = 2.640302
[e006 s0300/1030] loss = 2.616452
[e006 s0350/1030] loss = 2.609747
[e006 s0400/1030] loss = 3.798422
[e006 s0450/1030] loss = 3.606374
[e006 s0500/1030] loss = 3.478683
[e006 s0550/1030] loss = 3.430262
[e006 s0600/1030] loss = 3.328645
[e006 s0650/1030] loss = 3.738795
[e006 s0700/1030] loss = 3.762382
[e006 s0750/1030] loss = 3.838536
[e006 s0800/1030] loss = 3.916796
[e006 s0850/1030] loss = 3.810721
[e006 s0900/1030] loss = 3.791893
[e006 s0950/1030] loss = 3.918268
[e006 s1000/1030] loss = 3.923720
Epoch 006: train_loss = 3.929140  MAE/GAME0 = 23.116  RMSE = 42.166  GAME1 = 23.195  GAME2 = 23.299  GAME3 = 23.344  lr = 7.45e-06  time = 7.5s
[e007 s0001/1030] loss = 8.604833
[e007 s0050/1030] loss = 3.864016
[e007 s0100/1030] loss = 3.765280
[e007 s0150/1030] loss = 3.275584
[e007 s0200/1030] loss = 3.178199
[e007 s0250/1030] loss = 3.367109
[e007 s0300/1030] loss = 3.338395
[e007 s0350/1030] loss = 3.870822
[e007 s0400/1030] loss = 4.368776
[e007 s0450/1030] loss = 4.622306
[e007 s0500/1030] loss = 4.438431
[e007 s0550/1030] loss = 4.382838
[e007 s0600/1030] loss = 4.219760
[e007 s0650/1030] loss = 4.085078
[e007 s0700/1030] loss = 3.944239
[e007 s0750/1030] loss = 3.843504
[e007 s0800/1030] loss = 3.735424
[e007 s0850/1030] loss = 3.705400
[e007 s0900/1030] loss = 3.702338
[e007 s0950/1030] loss = 3.708096
[e007 s1000/1030] loss = 3.687695
Epoch 007: train_loss = 3.665027  MAE/GAME0 = 23.167  RMSE = 42.196  GAME1 = 23.215  GAME2 = 23.272  GAME3 = 23.306  lr = 8.32e-06  time = 7.5s
[e008 s0001/1030] loss = 6.664829
[e008 s0050/1030] loss = 2.202634
[e008 s0100/1030] loss = 3.007868
[e008 s0150/1030] loss = 3.543039
[e008 s0200/1030] loss = 3.385069
[e008 s0250/1030] loss = 3.317419
[e008 s0300/1030] loss = 3.325564
[e008 s0350/1030] loss = 3.204172
[e008 s0400/1030] loss = 3.148631
[e008 s0450/1030] loss = 3.739781
[e008 s0500/1030] loss = 3.594774
[e008 s0550/1030] loss = 3.512255
[e008 s0600/1030] loss = 3.522791
[e008 s0650/1030] loss = 3.664766
[e008 s0700/1030] loss = 3.660723
[e008 s0750/1030] loss = 3.569852
[e008 s0800/1030] loss = 3.532135
[e008 s0850/1030] loss = 3.444782
[e008 s0900/1030] loss = 3.449021
[e008 s0950/1030] loss = 3.402971
[e008 s1000/1030] loss = 3.305121
Epoch 008: train_loss = 3.322691  MAE/GAME0 = 23.189  RMSE = 42.212  GAME1 = 23.222  GAME2 = 23.262  GAME3 = 23.288  lr = 9.30e-06  time = 7.5s
[e009 s0001/1030] loss = 1.765063
[e009 s0050/1030] loss = 4.238032
[e009 s0100/1030] loss = 5.029112
[e009 s0150/1030] loss = 5.268410
[e009 s0200/1030] loss = 5.538867
[e009 s0250/1030] loss = 4.659707
[e009 s0300/1030] loss = 4.452436
[e009 s0350/1030] loss = 4.091618
[e009 s0400/1030] loss = 4.006872
[e009 s0450/1030] loss = 3.910661
[e009 s0500/1030] loss = 3.781237
[e009 s0550/1030] loss = 3.719521
[e009 s0600/1030] loss = 3.601581
[e009 s0650/1030] loss = 3.461438
[e009 s0700/1030] loss = 3.348345
[e009 s0750/1030] loss = 3.369583
[e009 s0800/1030] loss = 3.284237
[e009 s0850/1030] loss = 3.306017
[e009 s0900/1030] loss = 3.248474
[e009 s0950/1030] loss = 3.173189
[e009 s1000/1030] loss = 3.178766
Epoch 009: train_loss = 3.216300  MAE/GAME0 = 23.207  RMSE = 42.223  GAME1 = 23.228  GAME2 = 23.257  GAME3 = 23.275  lr = 1.04e-05  time = 7.6s
[e010 s0001/1030] loss = 0.449880
[e010 s0050/1030] loss = 3.816313
[e010 s0100/1030] loss = 3.311910
[e010 s0150/1030] loss = 3.668417
[e010 s0200/1030] loss = 3.328531
[e010 s0250/1030] loss = 3.854938
[e010 s0300/1030] loss = 3.683308
[e010 s0350/1030] loss = 3.506135
[e010 s0400/1030] loss = 3.557077
[e010 s0450/1030] loss = 3.985853
[e010 s0500/1030] loss = 3.840043
[e010 s0550/1030] loss = 3.698637
[e010 s0600/1030] loss = 3.579889
[e010 s0650/1030] loss = 3.611828
[e010 s0700/1030] loss = 3.572982
[e010 s0750/1030] loss = 3.432816
[e010 s0800/1030] loss = 3.395948
[e010 s0850/1030] loss = 3.384261
[e010 s0900/1030] loss = 3.419750
[e010 s0950/1030] loss = 3.503015
[e010 s1000/1030] loss = 3.431101
Epoch 010: train_loss = 3.429309  MAE/GAME0 = 23.216  RMSE = 42.229  GAME1 = 23.230  GAME2 = 23.250  GAME3 = 23.267  lr = 1.16e-05  time = 7.6s
[e011 s0001/1030] loss = 1.042462
[e011 s0050/1030] loss = 2.232294
[e011 s0100/1030] loss = 3.132822
[e011 s0150/1030] loss = 3.224528
[e011 s0200/1030] loss = 3.835759
[e011 s0250/1030] loss = 3.332270
[e011 s0300/1030] loss = 3.080735
[e011 s0350/1030] loss = 3.049047
[e011 s0400/1030] loss = 3.186465
[e011 s0450/1030] loss = 3.025436
[e011 s0500/1030] loss = 2.972966
[e011 s0550/1030] loss = 2.980961
[e011 s0600/1030] loss = 2.876112
[e011 s0650/1030] loss = 2.916229
[e011 s0700/1030] loss = 2.946888
[e011 s0750/1030] loss = 2.947316
[e011 s0800/1030] loss = 2.939366
[e011 s0850/1030] loss = 2.936462
[e011 s0900/1030] loss = 3.144613
[e011 s0950/1030] loss = 3.584095
[e011 s1000/1030] loss = 3.518013
Epoch 011: train_loss = 3.473070  MAE/GAME0 = 23.222  RMSE = 42.233  GAME1 = 23.233  GAME2 = 23.249  GAME3 = 23.263  lr = 1.29e-05  time = 7.5s
[e012 s0001/1030] loss = 0.000426
[e012 s0050/1030] loss = 1.758604
[e012 s0100/1030] loss = 1.965051
[e012 s0150/1030] loss = 2.738476
[e012 s0200/1030] loss = 2.706461
[e012 s0250/1030] loss = 2.995865
[e012 s0300/1030] loss = 2.940316
[e012 s0350/1030] loss = 2.864173
[e012 s0400/1030] loss = 2.748145
[e012 s0450/1030] loss = 2.907747
[e012 s0500/1030] loss = 2.828734
[e012 s0550/1030] loss = 3.015084
[e012 s0600/1030] loss = 3.129383
[e012 s0650/1030] loss = 3.456790
[e012 s0700/1030] loss = 3.565909
[e012 s0750/1030] loss = 3.495048
[e012 s0800/1030] loss = 3.480972
[e012 s0850/1030] loss = 3.590121
[e012 s0900/1030] loss = 3.522950
[e012 s0950/1030] loss = 3.473742
[e012 s1000/1030] loss = 3.469987
Epoch 012: train_loss = 3.469045  MAE/GAME0 = 23.233  RMSE = 42.239  GAME1 = 23.238  GAME2 = 23.247  GAME3 = 23.254  lr = 1.43e-05  time = 7.5s
[e013 s0001/1030] loss = 11.850730
[e013 s0050/1030] loss = 4.163020
