[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e400_13018771.pbs101_20260301_125932.log
[job] name=train_t_e400 id=13018771.pbs101 host=x1000c2s7b0n1 time=Sun Mar  1 12:59:32 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:454: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 1372862.625000
[e001 s0050/1030] loss = 181388.763050
[e001 s0100/1030] loss = 90716.631444
[e001 s0150/1030] loss = 60478.915422
[e001 s0200/1030] loss = 45359.901773
[e001 s0250/1030] loss = 36291.928449
[e001 s0300/1030] loss = 30243.731723
[e001 s0350/1030] loss = 25924.013066
[e001 s0400/1030] loss = 22684.050748
[e001 s0450/1030] loss = 20164.833429
[e001 s0500/1030] loss = 18150.274708
[e001 s0550/1030] loss = 16500.504975
[e001 s0600/1030] loss = 15125.783066
[e001 s0650/1030] loss = 13962.538680
[e001 s0700/1030] loss = 12969.135640
[e001 s0750/1030] loss = 12104.845546
[e001 s0800/1030] loss = 11348.633378
[e001 s0850/1030] loss = 10681.643560
[e001 s0900/1030] loss = 10088.480639
[e001 s0950/1030] loss = 9557.940825
[e001 s1000/1030] loss = 9080.252558
Epoch 001: train_loss = 8815.918616  MAE/GAME0 = 371.443  RMSE = 952.674  GAME1 = 381.537  GAME2 = 386.319  GAME3 = 387.241  lr = 5.07e-06  time = 25.7s
[e002 s0001/1030] loss = 1.352047
[e002 s0050/1030] loss = 3.442732
[e002 s0100/1030] loss = 3.807934
[e002 s0150/1030] loss = 3.901578
[e002 s0200/1030] loss = 3.683102
[e002 s0250/1030] loss = 3.542343
[e002 s0300/1030] loss = 13.314578
[e002 s0350/1030] loss = 13.101470
[e002 s0400/1030] loss = 12.144278
[e002 s0450/1030] loss = 11.830032
[e002 s0500/1030] loss = 11.268175
[e002 s0550/1030] loss = 10.626074
[e002 s0600/1030] loss = 10.102846
[e002 s0650/1030] loss = 9.589792
[e002 s0700/1030] loss = 9.971448
[e002 s0750/1030] loss = 9.504300
[e002 s0800/1030] loss = 9.160020
[e002 s0850/1030] loss = 8.860166
[e002 s0900/1030] loss = 8.543176
[e002 s0950/1030] loss = 8.299080
[e002 s1000/1030] loss = 8.206561
Epoch 002: train_loss = 8.056621  MAE/GAME0 = 761.882  RMSE = 1742.858  GAME1 = 773.998  GAME2 = 779.915  GAME3 = 781.144  lr = 5.28e-06  time = 20.3s
[e003 s0001/1030] loss = 1.585050
[e003 s0050/1030] loss = 2.949060
[e003 s0100/1030] loss = 3.263509
[e003 s0150/1030] loss = 5.508385
[e003 s0200/1030] loss = 7.677855
[e003 s0250/1030] loss = 6.693478
[e003 s0300/1030] loss = 6.590096
[e003 s0350/1030] loss = 5.907179
[e003 s0400/1030] loss = 5.900958
[e003 s0450/1030] loss = 5.652376
[e003 s0500/1030] loss = 5.384196
[e003 s0550/1030] loss = 5.119261
[e003 s0600/1030] loss = 5.019910
[e003 s0650/1030] loss = 4.907766
[e003 s0700/1030] loss = 4.863583
[e003 s0750/1030] loss = 4.874397
[e003 s0800/1030] loss = 4.781103
[e003 s0850/1030] loss = 4.723982
[e003 s0900/1030] loss = 4.710141
[e003 s0950/1030] loss = 4.686044
[e003 s1000/1030] loss = 4.589148
Epoch 003: train_loss = 4.629124  MAE/GAME0 = 3053.401  RMSE = 5814.790  GAME1 = 3063.552  GAME2 = 3070.831  GAME3 = 3072.149  lr = 5.62e-06  time = 19.8s
[e004 s0001/1030] loss = 0.351566
[e004 s0050/1030] loss = 3.791843
[e004 s0100/1030] loss = 3.472019
[e004 s0150/1030] loss = 3.570304
[e004 s0200/1030] loss = 3.403161
[e004 s0250/1030] loss = 3.391498
[e004 s0300/1030] loss = 3.550004
[e004 s0350/1030] loss = 3.837536
[e004 s0400/1030] loss = 3.594929
[e004 s0450/1030] loss = 3.706259
[e004 s0500/1030] loss = 3.518474
[e004 s0550/1030] loss = 3.508395
[e004 s0600/1030] loss = 3.661745
[e004 s0650/1030] loss = 3.747767
[e004 s0700/1030] loss = 3.615319
[e004 s0750/1030] loss = 3.688174
[e004 s0800/1030] loss = 3.764583
[e004 s0850/1030] loss = 4.235715
[e004 s0900/1030] loss = 4.156269
[e004 s0950/1030] loss = 4.347818
[e004 s1000/1030] loss = 4.573524
Epoch 004: train_loss = 4.638913  MAE/GAME0 = 751.258  RMSE = 1909.552  GAME1 = 763.015  GAME2 = 769.179  GAME3 = 770.651  lr = 6.10e-06  time = 20.0s
[e005 s0001/1030] loss = 0.467377
[e005 s0050/1030] loss = 2.381993
[e005 s0100/1030] loss = 3.679978
[e005 s0150/1030] loss = 4.005813
[e005 s0200/1030] loss = 4.101295
[e005 s0250/1030] loss = 4.664483
[e005 s0300/1030] loss = 4.624802
[e005 s0350/1030] loss = 4.380135
[e005 s0400/1030] loss = 4.816437
[e005 s0450/1030] loss = 4.691809
[e005 s0500/1030] loss = 4.601522
[e005 s0550/1030] loss = 4.635033
[e005 s0600/1030] loss = 4.540688
