[log] /scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/logs/train_t_e400_13053643.pbs101_20260304_195552.log
[job] name=train_t_e400 id=13053643.pbs101 host=x1000c1s3b0n1 time=Wed Mar  4 19:55:52 +08 2026
torch 2.6.0+cu118 cuda True
[init] device = cuda
[init] train = 1030  val = 200  workers = 4
/scratch/users/ntu/kenneth0/FYP-SmartObjectCounter/scripts/train_rgbt.py:454: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled = bool(args.amp))
[e001 s0001/1030] loss = 3527752.750000
[e001 s0050/1030] loss = 404634.518856
[e001 s0100/1030] loss = 202317.641715
[e001 s0150/1030] loss = 134878.652544
[e001 s0200/1030] loss = 101159.427621
[e001 s0250/1030] loss = 80927.890397
[e001 s0300/1030] loss = 67442.041264
[e001 s0350/1030] loss = 57807.702341
[e001 s0400/1030] loss = 50581.900030
[e001 s0450/1030] loss = 44962.030244
[e001 s0500/1030] loss = 40465.921198
[e001 s0550/1030] loss = 36787.275865
[e001 s0600/1030] loss = 33721.767519
[e001 s0650/1030] loss = 31127.870758
[e001 s0700/1030] loss = 28904.555458
[e001 s0750/1030] loss = 26977.683002
[e001 s0800/1030] loss = 25291.659367
[e001 s0850/1030] loss = 23804.022269
[e001 s0900/1030] loss = 22481.647617
[e001 s0950/1030] loss = 21298.528517
[e001 s1000/1030] loss = 20233.665594
Epoch 001: train_loss = 19644.378128  MAE/GAME0 = 24.390  RMSE = 43.161  GAME1 = 26.346  GAME2 = 27.232  GAME3 = 27.441  lr = 5.07e-06  time = 23.2s
[e002 s0001/1030] loss = 0.468154
[e002 s0050/1030] loss = 0.904283
[e002 s0100/1030] loss = 1.090512
[e002 s0150/1030] loss = 1.138145
[e002 s0200/1030] loss = 1.097880
[e002 s0250/1030] loss = 1.061230
[e002 s0300/1030] loss = 1.141574
[e002 s0350/1030] loss = 1.446329
[e002 s0400/1030] loss = 1.468563
[e002 s0450/1030] loss = 1.594499
[e002 s0500/1030] loss = 1.538494
[e002 s0550/1030] loss = 1.513740
[e002 s0600/1030] loss = 1.500016
[e002 s0650/1030] loss = 1.465726
[e002 s0700/1030] loss = 1.463312
[e002 s0750/1030] loss = 1.426580
[e002 s0800/1030] loss = 1.413108
[e002 s0850/1030] loss = 1.402100
[e002 s0900/1030] loss = 1.377243
[e002 s0950/1030] loss = 1.365706
[e002 s1000/1030] loss = 1.389569
Epoch 002: train_loss = 1.376859  MAE/GAME0 = 25.420  RMSE = 44.157  GAME1 = 27.467  GAME2 = 28.339  GAME3 = 28.666  lr = 5.28e-06  time = 16.6s
[e003 s0001/1030] loss = 0.516209
[e003 s0050/1030] loss = 0.923328
[e003 s0100/1030] loss = 1.026887
[e003 s0150/1030] loss = 1.608770
[e003 s0200/1030] loss = 2.191748
[e003 s0250/1030] loss = 1.924457
[e003 s0300/1030] loss = 1.896367
[e003 s0350/1030] loss = 1.707547
[e003 s0400/1030] loss = 1.709167
[e003 s0450/1030] loss = 1.646278
[e003 s0500/1030] loss = 1.573283
[e003 s0550/1030] loss = 1.500750
[e003 s0600/1030] loss = 1.476255
[e003 s0650/1030] loss = 1.448221
[e003 s0700/1030] loss = 1.438004
[e003 s0750/1030] loss = 1.439786
[e003 s0800/1030] loss = 1.413815
[e003 s0850/1030] loss = 1.399137
[e003 s0900/1030] loss = 1.396207
[e003 s0950/1030] loss = 1.391760
[e003 s1000/1030] loss = 1.364793
Epoch 003: train_loss = 1.376848  MAE/GAME0 = 25.652  RMSE = 46.160  GAME1 = 27.295  GAME2 = 27.661  GAME3 = 27.785  lr = 5.62e-06  time = 16.7s
[e004 s0001/1030] loss = 0.147331
[e004 s0050/1030] loss = 1.148132
[e004 s0100/1030] loss = 1.074600
[e004 s0150/1030] loss = 1.864069
[e004 s0200/1030] loss = 1.620269
[e004 s0250/1030] loss = 1.493112
[e004 s0300/1030] loss = 1.457881
[e004 s0350/1030] loss = 1.490877
[e004 s0400/1030] loss = 1.379982
[e004 s0450/1030] loss = 1.380120
[e004 s0500/1030] loss = 1.300219
[e004 s0550/1030] loss = 1.276689
[e004 s0600/1030] loss = 1.301368
[e004 s0650/1030] loss = 1.310897
[e004 s0700/1030] loss = 1.260955
[e004 s0750/1030] loss = 1.271793
[e004 s0800/1030] loss = 1.285400
[e004 s0850/1030] loss = 1.401488
[e004 s0900/1030] loss = 1.372015
[e004 s0950/1030] loss = 1.416538
[e004 s1000/1030] loss = 1.472882
Epoch 004: train_loss = 1.485703  MAE/GAME0 = 23.229  RMSE = 42.243  GAME1 = 23.235  GAME2 = 23.260  GAME3 = 23.261  lr = 6.10e-06  time = 16.3s
[e005 s0001/1030] loss = 0.176121
[e005 s0050/1030] loss = 0.745576
[e005 s0100/1030] loss = 1.005346
[e005 s0150/1030] loss = 1.130985
[e005 s0200/1030] loss = 1.184409
[e005 s0250/1030] loss = 1.338314
[e005 s0300/1030] loss = 1.343908
[e005 s0350/1030] loss = 1.281406
[e005 s0400/1030] loss = 1.403792
[e005 s0450/1030] loss = 1.373725
[e005 s0500/1030] loss = 1.348319
[e005 s0550/1030] loss = 1.358307
[e005 s0600/1030] loss = 1.335508
[e005 s0650/1030] loss = 1.488380
[e005 s0700/1030] loss = 1.470044
[e005 s0750/1030] loss = 1.491733
[e005 s0800/1030] loss = 1.449655
[e005 s0850/1030] loss = 1.442917
[e005 s0900/1030] loss = 1.426715
[e005 s0950/1030] loss = 1.396313
[e005 s1000/1030] loss = 1.384959
Epoch 005: train_loss = 1.376637  MAE/GAME0 = 23.221  RMSE = 42.244  GAME1 = 23.235  GAME2 = 23.241  GAME3 = 23.257  lr = 6.71e-06  time = 16.7s
[e006 s0001/1030] loss = 0.350466
[e006 s0050/1030] loss = 0.609835
[e006 s0100/1030] loss = 0.769773
[e006 s0150/1030] loss = 1.034367
[e006 s0200/1030] loss = 1.003321
[e006 s0250/1030] loss = 0.976030
[e006 s0300/1030] loss = 1.010231
[e006 s0350/1030] loss = 1.019725
[e006 s0400/1030] loss = 1.313961
[e006 s0450/1030] loss = 1.299383
[e006 s0500/1030] loss = 1.376961
[e006 s0550/1030] loss = 1.334196
[e006 s0600/1030] loss = 1.285664
[e006 s0650/1030] loss = 1.370932
[e006 s0700/1030] loss = 1.356022
[e006 s0750/1030] loss = 1.377349
[e006 s0800/1030] loss = 1.374431
[e006 s0850/1030] loss = 1.349125
[e006 s0900/1030] loss = 1.345995
[e006 s0950/1030] loss = 1.386113
[e006 s1000/1030] loss = 1.382773
Epoch 006: train_loss = 1.376638  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 7.45e-06  time = 16.6s
[e007 s0001/1030] loss = 0.448847
[e007 s0050/1030] loss = 1.132453
[e007 s0100/1030] loss = 1.149526
[e007 s0150/1030] loss = 1.232116
[e007 s0200/1030] loss = 1.199482
[e007 s0250/1030] loss = 1.283857
[e007 s0300/1030] loss = 1.192956
[e007 s0350/1030] loss = 1.302400
[e007 s0400/1030] loss = 1.651145
[e007 s0450/1030] loss = 1.661643
[e007 s0500/1030] loss = 1.589968
[e007 s0550/1030] loss = 1.599935
[e007 s0600/1030] loss = 1.537003
[e007 s0650/1030] loss = 1.497640
[e007 s0700/1030] loss = 1.445156
[e007 s0750/1030] loss = 1.415734
[e007 s0800/1030] loss = 1.380992
[e007 s0850/1030] loss = 1.355517
[e007 s0900/1030] loss = 1.407131
[e007 s0950/1030] loss = 1.391345
[e007 s1000/1030] loss = 1.377605
Epoch 007: train_loss = 1.376637  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 8.32e-06  time = 16.9s
[e008 s0001/1030] loss = 4.582637
[e008 s0050/1030] loss = 0.841980
[e008 s0100/1030] loss = 1.102808
[e008 s0150/1030] loss = 1.473702
[e008 s0200/1030] loss = 1.334086
[e008 s0250/1030] loss = 1.309827
[e008 s0300/1030] loss = 1.268176
[e008 s0350/1030] loss = 1.212252
[e008 s0400/1030] loss = 1.169580
[e008 s0450/1030] loss = 1.493757
[e008 s0500/1030] loss = 1.473860
[e008 s0550/1030] loss = 1.402355
[e008 s0600/1030] loss = 1.470264
[e008 s0650/1030] loss = 1.553189
[e008 s0700/1030] loss = 1.537866
[e008 s0750/1030] loss = 1.496618
[e008 s0800/1030] loss = 1.470579
[e008 s0850/1030] loss = 1.451071
[e008 s0900/1030] loss = 1.442981
[e008 s0950/1030] loss = 1.403017
[e008 s1000/1030] loss = 1.392485
Epoch 008: train_loss = 1.376637  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 9.30e-06  time = 16.4s
[e009 s0001/1030] loss = 0.516663
[e009 s0050/1030] loss = 2.416260
[e009 s0100/1030] loss = 1.874816
[e009 s0150/1030] loss = 1.938962
[e009 s0200/1030] loss = 2.268603
[e009 s0250/1030] loss = 1.960634
[e009 s0300/1030] loss = 1.913340
[e009 s0350/1030] loss = 1.837763
[e009 s0400/1030] loss = 1.769076
[e009 s0450/1030] loss = 1.665012
[e009 s0500/1030] loss = 1.604991
[e009 s0550/1030] loss = 1.554537
[e009 s0600/1030] loss = 1.496083
[e009 s0650/1030] loss = 1.491652
[e009 s0700/1030] loss = 1.449138
[e009 s0750/1030] loss = 1.445300
[e009 s0800/1030] loss = 1.418052
[e009 s0850/1030] loss = 1.406393
[e009 s0900/1030] loss = 1.394802
[e009 s0950/1030] loss = 1.361705
[e009 s1000/1030] loss = 1.349610
Epoch 009: train_loss = 1.376638  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 1.04e-05  time = 16.6s
[e010 s0001/1030] loss = 0.361412
[e010 s0050/1030] loss = 1.226775
[e010 s0100/1030] loss = 1.142244
[e010 s0150/1030] loss = 1.356399
[e010 s0200/1030] loss = 1.249729
[e010 s0250/1030] loss = 1.408405
[e010 s0300/1030] loss = 1.528339
[e010 s0350/1030] loss = 1.463952
[e010 s0400/1030] loss = 1.450722
[e010 s0450/1030] loss = 1.650031
[e010 s0500/1030] loss = 1.583957
[e010 s0550/1030] loss = 1.535032
[e010 s0600/1030] loss = 1.489735
[e010 s0650/1030] loss = 1.471864
[e010 s0700/1030] loss = 1.430558
[e010 s0750/1030] loss = 1.406540
[e010 s0800/1030] loss = 1.411050
[e010 s0850/1030] loss = 1.391668
[e010 s0900/1030] loss = 1.377516
[e010 s0950/1030] loss = 1.409579
[e010 s1000/1030] loss = 1.395868
Epoch 010: train_loss = 1.376731  MAE/GAME0 = 23.245  RMSE = 42.248  GAME1 = 23.245  GAME2 = 23.245  GAME3 = 23.245  lr = 1.16e-05  time = 16.8s
[e011 s0001/1030] loss = 1.460891
[e011 s0050/1030] loss = 1.279037
